seed,class_weight,class_label,support,precision,recall,f1
11,None,self-enhancing,39,0.3333,0.4103,0.3678
11,None,self-defeating,39,0.4054,0.3846,0.3947
11,balanced,aggressive,39,0.3636,0.3077,0.3333
11,balanced,affiliative,39,0.4615,0.4615,0.4615
11,balanced,self-enhancing,39,0.3617,0.4359,0.3953
11,balanced,self-defeating,39,0.4054,0.3846,0.3947
12,None,aggressive,39,0.3846,0.3846,0.3846
12,None,affiliative,39,0.3095,0.3333,0.321
12,None,self-enhancing,39,0.381,0.4103,0.3951
12,None,self-defeating,39,0.4242,0.359,0.3889
12,balanced,aggressive,39,0.3611,0.3333,0.3467
12,balanced,affiliative,39,0.3,0.3077,0.3038
12,balanced,self-enhancing,39,0.381,0.4103,0.3951
12,balanced,self-defeating,39,0.3947,0.3846,0.3896
13,None,aggressive,39,0.2895,0.2821,0.2857
13,None,affiliative,39,0.4386,0.641,0.5208
13,None,self-enhancing,39,0.5,0.4103,0.4507
13,None,self-defeating,39,0.4138,0.3077,0.3529
13,balanced,aggressive,39,0.3095,0.3333,0.321
13,balanced,affiliative,39,0.4615,0.6154,0.5275
13,balanced,self-enhancing,39,0.5,0.3846,0.4348
13,balanced,self-defeating,39,0.4062,0.3333,0.3662
14,None,aggressive,39,0.4,0.359,0.3784
14,None,affiliative,39,0.459,0.7179,0.56
14,None,self-enhancing,39,0.3571,0.2564,0.2985
14,None,self-defeating,39,0.375,0.3077,0.338
14,balanced,aggressive,39,0.3636,0.3077,0.3333
14,balanced,affiliative,39,0.4576,0.6923,0.551
14,balanced,self-enhancing,39,0.3333,0.2564,0.2899
14,balanced,self-defeating,39,0.3529,0.3077,0.3288
15,None,aggressive,39,0.4286,0.3077,0.3582
15,None,affiliative,39,0.3171,0.3333,0.325
15,None,self-enhancing,39,0.3191,0.3846,0.3488
15,None,self-defeating,39,0.4,0.4103,0.4051
15,balanced,aggressive,39,0.4062,0.3333,0.3662
15,balanced,affiliative,39,0.3714,0.3333,0.3514
15,balanced,self-enhancing,39,0.2857,0.359,0.3182
15,balanced,self-defeating,39,0.4,0.4103,0.4051
16,None,aggressive,39,0.5385,0.359,0.4308
16,None,affiliative,39,0.3111,0.359,0.3333
16,None,self-enhancing,39,0.2609,0.3077,0.2824
16,None,self-defeating,39,0.4359,0.4359,0.4359
16,balanced,aggressive,39,0.5,0.359,0.4179
16,balanced,affiliative,39,0.3333,0.3846,0.3571
16,balanced,self-enhancing,39,0.2667,0.3077,0.2857
16,balanced,self-defeating,39,0.4474,0.4359,0.4416
17,None,aggressive,39,0.4375,0.359,0.3944
17,None,affiliative,39,0.3478,0.4103,0.3765
17,None,self-enhancing,39,0.3478,0.4103,0.3765
17,None,self-defeating,39,0.375,0.3077,0.338
17,balanced,aggressive,39,0.4333,0.3333,0.3768
17,balanced,affiliative,39,0.3542,0.4359,0.3908
17,balanced,self-enhancing,39,0.3182,0.359,0.3373
17,balanced,self-defeating,39,0.3529,0.3077,0.3288
18,None,aggressive,39,0.4474,0.4359,0.4416
18,None,affiliative,39,0.3953,0.4359,0.4146
18,None,self-enhancing,39,0.3043,0.359,0.3294
18,None,self-defeating,39,0.4138,0.3077,0.3529
18,balanced,aggressive,39,0.4103,0.4103,0.4103
18,balanced,affiliative,39,0.4146,0.4359,0.425
18,balanced,self-enhancing,39,0.2979,0.359,0.3256
18,balanced,self-defeating,39,0.4138,0.3077,0.3529
19,None,aggressive,39,0.4211,0.4103,0.4156
19,None,affiliative,39,0.35,0.5385,0.4242
19,None,self-enhancing,39,0.1034,0.0769,0.0882
19,None,self-defeating,39,0.3448,0.2564,0.2941
19,balanced,aggressive,39,0.4444,0.4103,0.4267
19,balanced,affiliative,39,0.3889,0.5385,0.4516
19,balanced,self-enhancing,39,0.1622,0.1538,0.1579
19,balanced,self-defeating,39,0.3793,0.2821,0.3235
20,None,aggressive,39,0.375,0.3077,0.338
20,None,affiliative,39,0.2955,0.3333,0.3133
20,None,self-enhancing,39,0.2222,0.2564,0.2381
20,None,self-defeating,39,0.3714,0.3333,0.3514
20,balanced,aggressive,39,0.4375,0.359,0.3944
20,balanced,affiliative,39,0.2979,0.359,0.3256
20,balanced,self-enhancing,39,0.2444,0.2821,0.2619
20,balanced,self-defeating,39,0.4062,0.3333,0.3662
21,None,aggressive,39,0.3871,0.3077,0.3429
21,None,affiliative,39,0.4314,0.5641,0.4889
21,None,self-enhancing,39,0.3488,0.3846,0.3659
21,None,self-defeating,39,0.4516,0.359,0.4
21,balanced,aggressive,39,0.3793,0.2821,0.3235
21,balanced,affiliative,39,0.4038,0.5385,0.4615
21,balanced,self-enhancing,39,0.3556,0.4103,0.381
21,balanced,self-defeating,39,0.4333,0.3333,0.3768
22,None,aggressive,39,0.4375,0.359,0.3944
22,None,affiliative,39,0.3125,0.3846,0.3448
22,None,self-enhancing,39,0.2609,0.3077,0.2824
22,None,self-defeating,39,0.4667,0.359,0.4058
22,balanced,aggressive,39,0.4242,0.359,0.3889
22,balanced,affiliative,39,0.3556,0.4103,0.381
22,balanced,self-enhancing,39,0.2826,0.3333,0.3059
22,balanced,self-defeating,39,0.4375,0.359,0.3944
23,None,aggressive,39,0.3448,0.2564,0.2941
23,None,affiliative,39,0.2745,0.359,0.3111
23,None,self-enhancing,39,0.3125,0.3846,0.3448
23,None,self-defeating,39,0.5,0.359,0.4179
23,balanced,aggressive,39,0.3548,0.2821,0.3143
23,balanced,affiliative,39,0.28,0.359,0.3146
23,balanced,self-enhancing,39,0.3261,0.3846,0.3529
23,balanced,self-defeating,39,0.4828,0.359,0.4118
24,None,aggressive,39,0.36,0.2308,0.2812
24,None,affiliative,39,0.3667,0.2821,0.3188
24,None,self-enhancing,39,0.3594,0.5897,0.4466
24,None,self-defeating,39,0.4054,0.3846,0.3947
24,balanced,aggressive,39,0.36,0.2308,0.2812
24,balanced,affiliative,39,0.3667,0.2821,0.3188
24,balanced,self-enhancing,39,0.3438,0.5641,0.4272
24,balanced,self-defeating,39,0.4054,0.3846,0.3947
25,None,aggressive,39,0.3571,0.2564,0.2985
25,None,affiliative,39,0.3542,0.4359,0.3908
25,None,self-enhancing,39,0.3953,0.4359,0.4146
25,None,self-defeating,39,0.4324,0.4103,0.4211
25,balanced,aggressive,39,0.3636,0.3077,0.3333
25,balanced,affiliative,39,0.3636,0.4103,0.3855
25,balanced,self-enhancing,39,0.4419,0.4872,0.4634
25,balanced,self-defeating,39,0.4167,0.3846,0.4
26,None,aggressive,39,0.44,0.2821,0.3438
26,None,affiliative,39,0.4167,0.641,0.5051
26,None,self-enhancing,39,0.3333,0.2821,0.3056
26,None,self-defeating,39,0.4211,0.4103,0.4156
26,balanced,aggressive,39,0.5,0.3077,0.381
26,balanced,affiliative,39,0.4906,0.6667,0.5652
26,balanced,self-enhancing,39,0.4,0.4103,0.4051
26,balanced,self-defeating,39,0.4103,0.4103,0.4103
27,None,aggressive,39,0.28,0.1795,0.2188
27,None,affiliative,39,0.2273,0.2564,0.241
27,None,self-enhancing,39,0.2826,0.3333,0.3059
27,None,self-defeating,39,0.4146,0.4359,0.425
27,balanced,aggressive,39,0.2083,0.1282,0.1587
27,balanced,affiliative,39,0.25,0.3077,0.2759
27,balanced,self-enhancing,39,0.3191,0.3846,0.3488
27,balanced,self-defeating,39,0.4054,0.3846,0.3947
28,None,aggressive,39,0.3556,0.4103,0.381
28,None,affiliative,39,0.4717,0.641,0.5435
28,None,self-enhancing,39,0.3448,0.2564,0.2941
28,None,self-defeating,39,0.4483,0.3333,0.3824
28,balanced,aggressive,39,0.3333,0.3333,0.3333
28,balanced,affiliative,39,0.4615,0.6154,0.5275
28,balanced,self-enhancing,39,0.3824,0.3333,0.3562
28,balanced,self-defeating,39,0.4516,0.359,0.4
29,None,aggressive,39,0.4375,0.359,0.3944
29,None,affiliative,39,0.3556,0.4103,0.381
29,None,self-enhancing,39,0.4,0.5128,0.4494
29,None,self-defeating,39,0.4483,0.3333,0.3824
29,balanced,aggressive,39,0.4828,0.359,0.4118
29,balanced,affiliative,39,0.3542,0.4359,0.3908
29,balanced,self-enhancing,39,0.36,0.4615,0.4045
29,balanced,self-defeating,39,0.4828,0.359,0.4118
