seed,class_weight,source,n_rows,pr_auc,roc_auc,f1,precision,recall
24,None,wendys_human_type,126,0.9082,0.7708,0.7665,0.8889,0.6737
24,balanced,batch1_fortune100,152,0.5063,0.7563,0.5778,0.5652,0.5909
24,balanced,wendys_human_type,126,0.906,0.7684,0.7738,0.8904,0.6842
25,None,batch1_fortune100,151,0.5824,0.7848,0.5238,0.55,0.5
25,None,wendys_human_type,127,0.8207,0.6036,0.7168,0.7949,0.6526
25,balanced,batch1_fortune100,151,0.585,0.7853,0.5301,0.5641,0.5
25,balanced,wendys_human_type,127,0.8219,0.6053,0.7386,0.8025,0.6842
26,None,batch1_fortune100,143,0.7162,0.8425,0.6824,0.7073,0.6591
26,None,wendys_human_type,135,0.8271,0.6861,0.7582,0.7931,0.7263
26,balanced,batch1_fortune100,143,0.7184,0.8411,0.6667,0.7,0.6364
26,balanced,wendys_human_type,135,0.8254,0.6832,0.7582,0.7931,0.7263
27,None,batch1_fortune100,149,0.591,0.7931,0.5517,0.5581,0.5455
27,None,wendys_human_type,129,0.7959,0.5836,0.7333,0.7765,0.6947
27,balanced,batch1_fortune100,149,0.5906,0.7907,0.5517,0.5581,0.5455
27,balanced,wendys_human_type,129,0.7955,0.5848,0.7333,0.7765,0.6947
28,None,batch1_fortune100,151,0.5647,0.7816,0.5909,0.5909,0.5909
28,None,wendys_human_type,127,0.8786,0.703,0.7574,0.8649,0.6737
28,balanced,batch1_fortune100,151,0.5654,0.7819,0.5778,0.5652,0.5909
28,balanced,wendys_human_type,127,0.8816,0.7059,0.7574,0.8649,0.6737
29,None,batch1_fortune100,153,0.7201,0.8267,0.6136,0.6136,0.6136
29,None,wendys_human_type,125,0.8235,0.6288,0.7412,0.84,0.6632
29,balanced,batch1_fortune100,153,0.7095,0.8265,0.6136,0.6136,0.6136
29,balanced,wendys_human_type,125,0.8223,0.6242,0.7368,0.8289,0.6632
