seed,class_weight,threshold,precision,recall,f1,meets_primary,meets_secondary
11,None,0.2,0.5,1.0,0.6667,no,yes
11,None,0.3,0.5,1.0,0.6667,no,yes
11,None,0.4,0.5,1.0,0.6667,no,yes
11,None,0.5,0.75,0.6691,0.7072,yes,yes
11,None,0.6,0.0,0.0,0.0,no,no
11,None,0.7,0.0,0.0,0.0,no,no
11,None,0.8,0.0,0.0,0.0,no,no
11,balanced,0.2,0.5,1.0,0.6667,no,yes
11,balanced,0.3,0.5,1.0,0.6667,no,yes
11,balanced,0.4,0.5,1.0,0.6667,no,yes
11,balanced,0.5,0.7561,0.6691,0.7099,yes,yes
11,balanced,0.6,0.0,0.0,0.0,no,no
11,balanced,0.7,0.0,0.0,0.0,no,no
11,balanced,0.8,0.0,0.0,0.0,no,no
12,None,0.2,0.5,1.0,0.6667,no,yes
12,None,0.3,0.5,1.0,0.6667,no,yes
12,None,0.4,0.5,1.0,0.6667,no,yes
12,None,0.5,0.7097,0.6331,0.6692,yes,yes
12,None,0.6,0.0,0.0,0.0,no,no
12,None,0.7,0.0,0.0,0.0,no,no
12,None,0.8,0.0,0.0,0.0,no,no
12,balanced,0.2,0.5,1.0,0.6667,no,yes
12,balanced,0.3,0.5,1.0,0.6667,no,yes
12,balanced,0.4,0.5,1.0,0.6667,no,yes
12,balanced,0.5,0.696,0.6259,0.6591,yes,yes
12,balanced,0.6,0.0,0.0,0.0,no,no
12,balanced,0.7,0.0,0.0,0.0,no,no
12,balanced,0.8,0.0,0.0,0.0,no,no
13,None,0.2,0.5,1.0,0.6667,no,yes
13,None,0.3,0.5,1.0,0.6667,no,yes
13,None,0.4,0.5,1.0,0.6667,no,yes
13,None,0.5,0.7658,0.6115,0.68,yes,yes
13,None,0.6,0.0,0.0,0.0,no,no
13,None,0.7,0.0,0.0,0.0,no,no
13,None,0.8,0.0,0.0,0.0,no,no
13,balanced,0.2,0.5,1.0,0.6667,no,yes
13,balanced,0.3,0.5,1.0,0.6667,no,yes
13,balanced,0.4,0.5,1.0,0.6667,no,yes
13,balanced,0.5,0.7611,0.6187,0.6825,yes,yes
13,balanced,0.6,0.0,0.0,0.0,no,no
13,balanced,0.7,0.0,0.0,0.0,no,no
13,balanced,0.8,0.0,0.0,0.0,no,no
14,None,0.2,0.5,1.0,0.6667,no,yes
14,None,0.3,0.5,1.0,0.6667,no,yes
14,None,0.4,0.5,1.0,0.6667,no,yes
14,None,0.5,0.7167,0.6187,0.6641,yes,yes
14,None,0.6,0.0,0.0,0.0,no,no
14,None,0.7,0.0,0.0,0.0,no,no
14,None,0.8,0.0,0.0,0.0,no,no
14,balanced,0.2,0.5,1.0,0.6667,no,yes
