measurement_basis,hypothesis,model_id,included_time_fe,time_fe_count,dependent_variable,key_variable,coefficient,classical_ols_se,t_stat,p_value,stars,n_obs,n_firms,n_firm_dummy_variables,n_time_dummy_variables,reference_company_id,reference_company_identifier,r_squared,adj_r_squared,df_model,df_resid,rank,status,interpretation_level,firm_dummy_included,time_fe_included,controls_included,company_id_used_as_numeric,c_company_formula_used,n_joint_fe_cells,n_singleton_cells,n_within_obs,limitation
full_sample_predicted,H1,firm_dummy_month_week,"month,week",2,log1p_total_engagement,h1_humor_presence_pred_t50,0.141406,0.012577,11.2433,0.0,***,68039,99,98,14124,40,General Dynamics,0.769195,0.70819,14225,53814,1,success,preliminary_diagnostic,true,true,false,false,false,14223,3250,64789,h1_iv_is_classifier_predicted
batch1_human_coded,H1,firm_dummy_month_day,"month,day",2,log1p_total_engagement,human_humor_presence,-0.077344,0.237782,-0.3253,0.745662,ns,1482,97,96,1284,45,Home Depot,0.989191,0.838309,1383,99,1,success,preliminary_diagnostic,true,true,false,false,false,1381,1311,171,
full_sample_predicted,H1,firm_dummy_month_day,"month,day",2,log1p_total_engagement,h1_humor_presence_pred_t50,0.090707,0.017683,5.1295,0.0,***,68039,99,98,37620,40,General Dynamics,0.860973,0.688004,37721,30318,1,success,preliminary_diagnostic,true,true,false,false,false,37719,23794,44245,h1_iv_is_classifier_predicted
batch1_human_coded,H1,firm_dummy_month_hour,"month,hour",2,log1p_total_engagement,human_humor_presence,-0.042779,0.462606,-0.0925,0.927059,ns,1482,97,96,1358,45,Home Depot,0.997092,0.827728,1457,25,1,success,preliminary_diagnostic,true,true,false,false,false,1455,1429,53,
full_sample_predicted,H1,firm_dummy_month_hour,"month,hour",2,log1p_total_engagement,h1_humor_presence_pred_t50,0.158176,0.013756,11.4983,0.0,***,68039,99,98,25904,40,General Dynamics,0.834575,0.732235,26005,42034,1,success,preliminary_diagnostic,true,true,false,false,false,26003,11732,56307,h1_iv_is_classifier_predicted
batch1_human_coded,H1,firm_dummy_week_day,"week,day",2,log1p_total_engagement,human_humor_presence,-0.077344,0.237782,-0.3253,0.745662,ns,1482,97,96,1284,45,Home Depot,0.989191,0.838309,1383,99,1,success,preliminary_diagnostic,true,true,false,false,false,1381,1311,171,
full_sample_predicted,H1,firm_dummy_week_day,"week,day",2,log1p_total_engagement,h1_humor_presence_pred_t50,0.090707,0.017683,5.1295,0.0,***,68039,99,98,37620,40,General Dynamics,0.860973,0.688004,37721,30318,1,success,preliminary_diagnostic,true,true,false,false,false,37719,23794,44245,h1_iv_is_classifier_predicted
batch1_human_coded,H1,firm_dummy_week_hour,"week,hour",2,log1p_total_engagement,human_humor_presence,-0.042779,0.462606,-0.0925,0.927059,ns,1482,97,96,1358,45,Home Depot,0.997092,0.827728,1457,25,1,success,preliminary_diagnostic,true,true,false,false,false,1455,1429,53,
full_sample_predicted,H1,firm_dummy_week_hour,"week,hour",2,log1p_total_engagement,h1_humor_presence_pred_t50,0.146027,0.018117,8.0604,0.0,***,68039,99,98,43522,40,General Dynamics,0.906073,0.738263,43623,24416,1,success,preliminary_diagnostic,true,true,false,false,false,43621,30110,37929,h1_iv_is_classifier_predicted
batch1_human_coded,H1,firm_dummy_day_hour,"day,hour",2,log1p_total_engagement,human_humor_presence,-0.042779,0.462606,-0.0925,0.927059,ns,1482,97,96,1358,45,Home Depot,0.997092,0.827728,1457,25,1,success,preliminary_diagnostic,true,true,false,false,false,1455,1429,53,
full_sample_predicted,H1,firm_dummy_day_hour,"day,hour",2,log1p_total_engagement,h1_humor_presence_pred_t50,0.094198,0.028261,3.3331,0.000862,***,68039,99,98,56348,40,General Dynamics,0.951295,0.714081,56449,11590,1,success,preliminary_diagnostic,true,true,false,false,false,56447,49521,18518,h1_iv_is_classifier_predicted
batch1_human_coded,H1,firm_dummy_year_month_week,"year,month,week",3,log1p_total_engagement,human_humor_presence,0.254677,0.17558,1.4505,0.148308,ns,1482,97,96,1157,45,Home Depot,0.968852,0.795885,1256,226,1,success,preliminary_diagnostic,true,true,false,false,false,1254,1102,380,
full_sample_predicted,H1,firm_dummy_year_month_week,"year,month,week",3,log1p_total_engagement,h1_humor_presence_pred_t50,0.141406,0.012577,11.2433,0.0,***,68039,99,98,14124,40,General Dynamics,0.769195,0.70819,14225,53814,1,success,preliminary_diagnostic,true,true,false,false,false,14223,3250,64789,h1_iv_is_classifier_predicted
batch1_human_coded,H1,firm_dummy_year_month_day,"year,month,day",3,log1p_total_engagement,human_humor_presence,-0.077344,0.237782,-0.3253,0.745662,ns,1482,97,96,1284,45,Home Depot,0.989191,0.838309,1383,99,1,success,preliminary_diagnostic,true,true,false,false,false,1381,1311,171,
full_sample_predicted,H1,firm_dummy_year_month_day,"year,month,day",3,log1p_total_engagement,h1_humor_presence_pred_t50,0.090707,0.017683,5.1295,0.0,***,68039,99,98,37620,40,General Dynamics,0.860973,0.688004,37721,30318,1,success,preliminary_diagnostic,true,true,false,false,false,37719,23794,44245,h1_iv_is_classifier_predicted
batch1_human_coded,H1,firm_dummy_year_month_hour,"year,month,hour",3,log1p_total_engagement,human_humor_presence,-0.042779,0.462606,-0.0925,0.927059,ns,1482,97,96,1358,45,Home Depot,0.997092,0.827728,1457,25,1,success,preliminary_diagnostic,true,true,false,false,false,1455,1429,53,
full_sample_predicted,H1,firm_dummy_year_month_hour,"year,month,hour",3,log1p_total_engagement,h1_humor_presence_pred_t50,0.158176,0.013756,11.4983,0.0,***,68039,99,98,25904,40,General Dynamics,0.834575,0.732235,26005,42034,1,success,preliminary_diagnostic,true,true,false,false,false,26003,11732,56307,h1_iv_is_classifier_predicted
batch1_human_coded,H1,firm_dummy_year_week_day,"year,week,day",3,log1p_total_engagement,human_humor_presence,-0.077344,0.237782,-0.3253,0.745662,ns,1482,97,96,1284,45,Home Depot,0.989191,0.838309,1383,99,1,success,preliminary_diagnostic,true,true,false,false,false,1381,1311,171,
full_sample_predicted,H1,firm_dummy_year_week_day,"year,week,day",3,log1p_total_engagement,h1_humor_presence_pred_t50,0.090707,0.017683,5.1295,0.0,***,68039,99,98,37620,40,General Dynamics,0.860973,0.688004,37721,30318,1,success,preliminary_diagnostic,true,true,false,false,false,37719,23794,44245,h1_iv_is_classifier_predicted
batch1_human_coded,H1,firm_dummy_year_week_hour,"year,week,hour",3,log1p_total_engagement,human_humor_presence,-0.042779,0.462606,-0.0925,0.927059,ns,1482,97,96,1358,45,Home Depot,0.997092,0.827728,1457,25,1,success,preliminary_diagnostic,true,true,false,false,false,1455,1429,53,
full_sample_predicted,H1,firm_dummy_year_week_hour,"year,week,hour",3,log1p_total_engagement,h1_humor_presence_pred_t50,0.146403,0.018136,8.0724,0.0,***,68039,99,98,43553,40,General Dynamics,0.906146,0.738132,43654,24385,1,success,preliminary_diagnostic,true,true,false,false,false,43652,30157,37882,h1_iv_is_classifier_predicted
batch1_human_coded,H1,firm_dummy_year_day_hour,"year,day,hour",3,log1p_total_engagement,human_humor_presence,-0.042779,0.462606,-0.0925,0.927059,ns,1482,97,96,1358,45,Home Depot,0.997092,0.827728,1457,25,1,success,preliminary_diagnostic,true,true,false,false,false,1455,1429,53,
full_sample_predicted,H1,firm_dummy_year_day_hour,"year,day,hour",3,log1p_total_engagement,h1_humor_presence_pred_t50,0.094198,0.028261,3.3331,0.000862,***,68039,99,98,56348,40,General Dynamics,0.951295,0.714081,56449,11590,1,success,preliminary_diagnostic,true,true,false,false,false,56447,49521,18518,h1_iv_is_classifier_predicted
batch1_human_coded,H1,firm_dummy_month_week_day,"month,week,day",3,log1p_total_engagement,human_humor_presence,-0.077344,0.237782,-0.3253,0.745662,ns,1482,97,96,1284,45,Home Depot,0.989191,0.838309,1383,99,1,success,preliminary_diagnostic,true,true,false,false,false,1381,1311,171,
full_sample_predicted,H1,firm_dummy_month_week_day,"month,week,day",3,log1p_total_engagement,h1_humor_presence_pred_t50,0.090707,0.017683,5.1295,0.0,***,68039,99,98,37620,40,General Dynamics,0.860973,0.688004,37721,30318,1,success,preliminary_diagnostic,true,true,false,false,false,37719,23794,44245,h1_iv_is_classifier_predicted
batch1_human_coded,H1,firm_dummy_month_week_hour,"month,week,hour",3,log1p_total_engagement,human_humor_presence,-0.042779,0.462606,-0.0925,0.927059,ns,1482,97,96,1358,45,Home Depot,0.997092,0.827728,1457,25,1,success,preliminary_diagnostic,true,true,false,false,false,1455,1429,53,
full_sample_predicted,H1,firm_dummy_month_week_hour,"month,week,hour",3,log1p_total_engagement,h1_humor_presence_pred_t50,0.157489,0.018438,8.5414,0.0,***,68039,99,98,44250,40,General Dynamics,0.908727,0.73784,44351,23688,1,success,preliminary_diagnostic,true,true,false,false,false,44349,31150,36889,h1_iv_is_classifier_predicted
batch1_human_coded,H1,firm_dummy_month_day_hour,"month,day,hour",3,log1p_total_engagement,human_humor_presence,-0.042779,0.462606,-0.0925,0.927059,ns,1482,97,96,1358,45,Home Depot,0.997092,0.827728,1457,25,1,success,preliminary_diagnostic,true,true,false,false,false,1455,1429,53,
full_sample_predicted,H1,firm_dummy_month_day_hour,"month,day,hour",3,log1p_total_engagement,h1_humor_presence_pred_t50,0.094198,0.028261,3.3331,0.000862,***,68039,99,98,56348,40,General Dynamics,0.951295,0.714081,56449,11590,1,success,preliminary_diagnostic,true,true,false,false,false,56447,49521,18518,h1_iv_is_classifier_predicted
batch1_human_coded,H1,firm_dummy_week_day_hour,"week,day,hour",3,log1p_total_engagement,human_humor_presence,-0.042779,0.462606,-0.0925,0.927059,ns,1482,97,96,1358,45,Home Depot,0.997092,0.827728,1457,25,1,success,preliminary_diagnostic,true,true,false,false,false,1455,1429,53,
full_sample_predicted,H1,firm_dummy_week_day_hour,"week,day,hour",3,log1p_total_engagement,h1_humor_presence_pred_t50,0.094198,0.028261,3.3331,0.000862,***,68039,99,98,56348,40,General Dynamics,0.951295,0.714081,56449,11590,1,success,preliminary_diagnostic,true,true,false,false,false,56447,49521,18518,h1_iv_is_classifier_predicted
batch1_human_coded,H1,firm_dummy_year_month_week_day,"year,month,week,day",4,log1p_total_engagement,human_humor_presence,-0.077344,0.237782,-0.3253,0.745662,ns,1482,97,96,1284,45,Home Depot,0.989191,0.838309,1383,99,1,success,preliminary_diagnostic,true,true,false,false,false,1381,1311,171,
full_sample_predicted,H1,firm_dummy_year_month_week_day,"year,month,week,day",4,log1p_total_engagement,h1_humor_presence_pred_t50,0.090707,0.017683,5.1295,0.0,***,68039,99,98,37620,40,General Dynamics,0.860973,0.688004,37721,30318,1,success,preliminary_diagnostic,true,true,false,false,false,37719,23794,44245,h1_iv_is_classifier_predicted
batch1_human_coded,H1,firm_dummy_year_month_week_hour,"year,month,week,hour",4,log1p_total_engagement,human_humor_presence,-0.042779,0.462606,-0.0925,0.927059,ns,1482,97,96,1358,45,Home Depot,0.997092,0.827728,1457,25,1,success,preliminary_diagnostic,true,true,false,false,false,1455,1429,53,
full_sample_predicted,H1,firm_dummy_year_month_week_hour,"year,month,week,hour",4,log1p_total_engagement,h1_humor_presence_pred_t50,0.157489,0.018438,8.5414,0.0,***,68039,99,98,44250,40,General Dynamics,0.908727,0.73784,44351,23688,1,success,preliminary_diagnostic,true,true,false,false,false,44349,31150,36889,h1_iv_is_classifier_predicted
batch1_human_coded,H1,firm_dummy_year_month_day_hour,"year,month,day,hour",4,log1p_total_engagement,human_humor_presence,-0.042779,0.462606,-0.0925,0.927059,ns,1482,97,96,1358,45,Home Depot,0.997092,0.827728,1457,25,1,success,preliminary_diagnostic,true,true,false,false,false,1455,1429,53,
full_sample_predicted,H1,firm_dummy_year_month_day_hour,"year,month,day,hour",4,log1p_total_engagement,h1_humor_presence_pred_t50,0.094198,0.028261,3.3331,0.000862,***,68039,99,98,56348,40,General Dynamics,0.951295,0.714081,56449,11590,1,success,preliminary_diagnostic,true,true,false,false,false,56447,49521,18518,h1_iv_is_classifier_predicted
batch1_human_coded,H1,firm_dummy_year_week_day_hour,"year,week,day,hour",4,log1p_total_engagement,human_humor_presence,-0.042779,0.462606,-0.0925,0.927059,ns,1482,97,96,1358,45,Home Depot,0.997092,0.827728,1457,25,1,success,preliminary_diagnostic,true,true,false,false,false,1455,1429,53,
full_sample_predicted,H1,firm_dummy_year_week_day_hour,"year,week,day,hour",4,log1p_total_engagement,h1_humor_presence_pred_t50,0.094198,0.028261,3.3331,0.000862,***,68039,99,98,56348,40,General Dynamics,0.951295,0.714081,56449,11590,1,success,preliminary_diagnostic,true,true,false,false,false,56447,49521,18518,h1_iv_is_classifier_predicted
batch1_human_coded,H1,firm_dummy_month_week_day_hour,"month,week,day,hour",4,log1p_total_engagement,human_humor_presence,-0.042779,0.462606,-0.0925,0.927059,ns,1482,97,96,1358,45,Home Depot,0.997092,0.827728,1457,25,1,success,preliminary_diagnostic,true,true,false,false,false,1455,1429,53,
full_sample_predicted,H1,firm_dummy_month_week_day_hour,"month,week,day,hour",4,log1p_total_engagement,h1_humor_presence_pred_t50,0.094198,0.028261,3.3331,0.000862,***,68039,99,98,56348,40,General Dynamics,0.951295,0.714081,56449,11590,1,success,preliminary_diagnostic,true,true,false,false,false,56447,49521,18518,h1_iv_is_classifier_predicted
