model_id,threshold,oof_precision,oof_recall,oof_f1,n_predicted_aggressive,n_abstained,coverage_rate,meets_precision_target,meets_recall_target,meets_provisional_criteria,eval_basis
word_12_5k__lr_liblin_C01,0.3,0.0679,1.0,0.1272,648,0,1.0,no,yes,no,oof_5fold_cv
word_12_5k__lr_liblin_C01,0.35,0.0679,1.0,0.1272,648,0,1.0,no,yes,no,oof_5fold_cv
word_12_5k__lr_liblin_C01,0.4,0.0679,1.0,0.1272,648,0,1.0,no,yes,no,oof_5fold_cv
word_12_5k__lr_liblin_C01,0.45,0.1086,0.8864,0.1935,359,289,0.554,no,yes,no,oof_5fold_cv
word_12_5k__lr_liblin_C01,0.5,0.25,0.1136,0.1562,20,628,0.0309,no,no,no,oof_5fold_cv
word_12_5k__lr_liblin_C01,0.55,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_5k__lr_liblin_C01,0.6,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_5k__lr_liblin_C01,0.65,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_5k__lr_liblin_C01,0.7,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_5k__lr_liblin_C01,0.75,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_5k__lr_liblin_C01,0.8,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_5k__lr_liblin_C01,0.85,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_5k__lr_liblin_C01,0.9,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_5k__lr_liblin_C01,0.95,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_5k__lr_liblin_C5,0.05,0.0728,0.9773,0.1354,591,57,0.912,no,yes,no,oof_5fold_cv
word_12_5k__lr_liblin_C5,0.1,0.106,0.8409,0.1883,349,299,0.5386,no,yes,no,oof_5fold_cv
word_12_5k__lr_liblin_C5,0.15,0.1556,0.6364,0.25,180,468,0.2778,no,yes,no,oof_5fold_cv
word_12_5k__lr_liblin_C5,0.2,0.1881,0.4318,0.2621,101,547,0.1559,no,yes,no,oof_5fold_cv
word_12_5k__lr_liblin_C5,0.25,0.1765,0.2727,0.2143,68,580,0.1049,no,yes,no,oof_5fold_cv
word_12_5k__lr_liblin_C5,0.3,0.1628,0.1591,0.1609,43,605,0.0664,no,no,no,oof_5fold_cv
word_12_5k__lr_liblin_C5,0.35,0.1667,0.1136,0.1351,30,618,0.0463,no,no,no,oof_5fold_cv
word_12_5k__lr_liblin_C5,0.4,0.25,0.1136,0.1562,20,628,0.0309,no,no,no,oof_5fold_cv
word_12_5k__lr_liblin_C5,0.45,0.3571,0.1136,0.1724,14,634,0.0216,no,no,no,oof_5fold_cv
word_12_5k__lr_liblin_C5,0.5,0.4,0.0909,0.1481,10,638,0.0154,no,no,no,oof_5fold_cv
word_12_5k__lr_liblin_C5,0.55,0.2857,0.0455,0.0784,7,641,0.0108,no,no,no,oof_5fold_cv
word_12_5k__lr_liblin_C5,0.6,0.3333,0.0455,0.08,6,642,0.0093,no,no,no,oof_5fold_cv
word_12_5k__lr_liblin_C5,0.65,0.0,0.0,0.0,2,646,0.0031,no,no,no,oof_5fold_cv
word_12_5k__lr_liblin_C5,0.7,0.0,0.0,0.0,2,646,0.0031,no,no,no,oof_5fold_cv
word_12_5k__lr_liblin_C5,0.75,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_5k__lr_liblin_C5,0.8,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_5k__lr_liblin_C5,0.85,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_5k__lr_liblin_C5,0.9,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_5k__lr_liblin_C5,0.95,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_5k__svc_cal_bal,0.05,0.1093,0.7727,0.1915,311,337,0.4799,no,yes,no,oof_5fold_cv
word_12_5k__svc_cal_bal,0.1,0.1717,0.3864,0.2378,99,549,0.1528,no,yes,no,oof_5fold_cv
word_12_5k__svc_cal_bal,0.15,0.1707,0.1591,0.1647,41,607,0.0633,no,no,no,oof_5fold_cv
word_12_5k__svc_cal_bal,0.2,0.1613,0.1136,0.1333,31,617,0.0478,no,no,no,oof_5fold_cv
word_12_5k__svc_cal_bal,0.25,0.2273,0.1136,0.1515,22,626,0.034,no,no,no,oof_5fold_cv
word_12_5k__svc_cal_bal,0.3,0.2727,0.0682,0.1091,11,637,0.017,no,no,no,oof_5fold_cv
word_12_5k__svc_cal_bal,0.35,0.3333,0.0455,0.08,6,642,0.0093,no,no,no,oof_5fold_cv
word_12_5k__svc_cal_bal,0.4,0.3333,0.0455,0.08,6,642,0.0093,no,no,no,oof_5fold_cv
word_12_5k__svc_cal_bal,0.45,0.25,0.0227,0.0417,4,644,0.0062,no,no,no,oof_5fold_cv
word_12_5k__svc_cal_bal,0.5,0.3333,0.0227,0.0426,3,645,0.0046,no,no,no,oof_5fold_cv
word_12_5k__svc_cal_bal,0.55,0.0,0.0,0.0,1,647,0.0015,no,no,no,oof_5fold_cv
word_12_5k__svc_cal_bal,0.6,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_5k__svc_cal_bal,0.65,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_5k__svc_cal_bal,0.7,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_5k__svc_cal_bal,0.75,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_5k__svc_cal_bal,0.8,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_5k__svc_cal_bal,0.85,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_5k__svc_cal_bal,0.9,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_5k__svc_cal_bal,0.95,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_5k__sgd_log_bal,0.05,0.1292,0.7955,0.2222,271,377,0.4182,no,yes,no,oof_5fold_cv
word_12_5k__sgd_log_bal,0.1,0.1795,0.4773,0.2609,117,531,0.1806,no,yes,no,oof_5fold_cv
word_12_5k__sgd_log_bal,0.15,0.1733,0.2955,0.2185,75,573,0.1157,no,yes,no,oof_5fold_cv
word_12_5k__sgd_log_bal,0.2,0.1915,0.2045,0.1978,47,601,0.0725,no,yes,no,oof_5fold_cv
word_12_5k__sgd_log_bal,0.25,0.1714,0.1364,0.1519,35,613,0.054,no,no,no,oof_5fold_cv
word_12_5k__sgd_log_bal,0.3,0.2143,0.1364,0.1667,28,620,0.0432,no,no,no,oof_5fold_cv
word_12_5k__sgd_log_bal,0.35,0.2381,0.1136,0.1538,21,627,0.0324,no,no,no,oof_5fold_cv
word_12_5k__sgd_log_bal,0.4,0.2941,0.1136,0.1639,17,631,0.0262,no,no,no,oof_5fold_cv
word_12_5k__sgd_log_bal,0.45,0.4167,0.1136,0.1786,12,636,0.0185,no,no,no,oof_5fold_cv
word_12_5k__sgd_log_bal,0.5,0.4167,0.1136,0.1786,12,636,0.0185,no,no,no,oof_5fold_cv
word_12_5k__sgd_log_bal,0.55,0.25,0.0455,0.0769,8,640,0.0123,no,no,no,oof_5fold_cv
word_12_5k__sgd_log_bal,0.6,0.2857,0.0455,0.0784,7,641,0.0108,no,no,no,oof_5fold_cv
word_12_5k__sgd_log_bal,0.65,0.3333,0.0455,0.08,6,642,0.0093,no,no,no,oof_5fold_cv
word_12_5k__sgd_log_bal,0.7,0.25,0.0227,0.0417,4,644,0.0062,no,no,no,oof_5fold_cv
word_12_5k__sgd_log_bal,0.75,0.0,0.0,0.0,2,646,0.0031,no,no,no,oof_5fold_cv
word_12_5k__sgd_log_bal,0.8,0.0,0.0,0.0,1,647,0.0015,no,no,no,oof_5fold_cv
word_12_5k__sgd_log_bal,0.85,0.0,0.0,0.0,1,647,0.0015,no,no,no,oof_5fold_cv
word_12_5k__sgd_log_bal,0.9,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_5k__sgd_log_bal,0.95,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_5k__cnb,0.05,0.1048,0.8864,0.1875,372,276,0.5741,no,yes,no,oof_5fold_cv
word_12_5k__cnb,0.1,0.1483,0.7955,0.25,236,412,0.3642,no,yes,no,oof_5fold_cv
word_12_5k__cnb,0.15,0.1987,0.7045,0.31,156,492,0.2407,no,yes,no,oof_5fold_cv
word_12_5k__cnb,0.2,0.1982,0.5,0.2839,111,537,0.1713,no,yes,no,oof_5fold_cv
word_12_5k__cnb,0.25,0.1882,0.3636,0.2481,85,563,0.1312,no,yes,no,oof_5fold_cv
word_12_5k__cnb,0.3,0.1587,0.2273,0.1869,63,585,0.0972,no,yes,no,oof_5fold_cv
word_12_5k__cnb,0.35,0.1667,0.1818,0.1739,48,600,0.0741,no,no,no,oof_5fold_cv
word_12_5k__cnb,0.4,0.2162,0.1818,0.1975,37,611,0.0571,no,no,no,oof_5fold_cv
word_12_5k__cnb,0.45,0.2069,0.1364,0.1644,29,619,0.0448,no,no,no,oof_5fold_cv
word_12_5k__cnb,0.5,0.2308,0.1364,0.1714,26,622,0.0401,no,no,no,oof_5fold_cv
word_12_5k__cnb,0.55,0.3571,0.1136,0.1724,14,634,0.0216,no,no,no,oof_5fold_cv
word_12_5k__cnb,0.6,0.3636,0.0909,0.1455,11,637,0.017,no,no,no,oof_5fold_cv
word_12_5k__cnb,0.65,0.3333,0.0682,0.1132,9,639,0.0139,no,no,no,oof_5fold_cv
word_12_5k__cnb,0.7,0.2857,0.0455,0.0784,7,641,0.0108,no,no,no,oof_5fold_cv
word_12_5k__cnb,0.75,0.25,0.0227,0.0417,4,644,0.0062,no,no,no,oof_5fold_cv
word_12_5k__cnb,0.8,0.3333,0.0227,0.0426,3,645,0.0046,no,no,no,oof_5fold_cv
word_12_5k__cnb,0.85,0.0,0.0,0.0,2,646,0.0031,no,no,no,oof_5fold_cv
word_12_5k__cnb,0.9,0.0,0.0,0.0,1,647,0.0015,no,no,no,oof_5fold_cv
word_12_5k__cnb,0.95,0.0,0.0,0.0,1,647,0.0015,no,no,no,oof_5fold_cv
word_12_10k__lr_liblin_bal,0.05,0.0679,1.0,0.1272,648,0,1.0,no,yes,no,oof_5fold_cv
word_12_10k__lr_liblin_bal,0.1,0.0679,1.0,0.1272,648,0,1.0,no,yes,no,oof_5fold_cv
word_12_10k__lr_liblin_bal,0.15,0.0668,0.9773,0.125,644,4,0.9938,no,yes,no,oof_5fold_cv
word_12_10k__lr_liblin_bal,0.2,0.0778,0.9773,0.1441,553,95,0.8534,no,yes,no,oof_5fold_cv
word_12_10k__lr_liblin_bal,0.25,0.1067,0.8636,0.19,356,292,0.5494,no,yes,no,oof_5fold_cv
word_12_10k__lr_liblin_bal,0.3,0.1731,0.6136,0.27,156,492,0.2407,no,yes,no,oof_5fold_cv
word_12_10k__lr_liblin_bal,0.35,0.1667,0.25,0.2,66,582,0.1019,no,yes,no,oof_5fold_cv
word_12_10k__lr_liblin_bal,0.4,0.25,0.1591,0.1944,28,620,0.0432,no,no,no,oof_5fold_cv
word_12_10k__lr_liblin_bal,0.45,0.2727,0.0682,0.1091,11,637,0.017,no,no,no,oof_5fold_cv
word_12_10k__lr_liblin_bal,0.5,0.3333,0.0455,0.08,6,642,0.0093,no,no,no,oof_5fold_cv
word_12_10k__lr_liblin_bal,0.55,0.0,0.0,0.0,1,647,0.0015,no,no,no,oof_5fold_cv
word_12_10k__lr_liblin_bal,0.6,0.0,0.0,0.0,1,647,0.0015,no,no,no,oof_5fold_cv
word_12_10k__lr_liblin_bal,0.65,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_10k__lr_liblin_bal,0.7,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_10k__lr_liblin_bal,0.75,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_10k__lr_liblin_bal,0.8,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_10k__lr_liblin_bal,0.85,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_10k__lr_liblin_bal,0.9,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_10k__lr_liblin_bal,0.95,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_10k__lr_liblin_C01,0.05,0.0679,1.0,0.1272,648,0,1.0,no,yes,no,oof_5fold_cv
word_12_10k__lr_liblin_C01,0.1,0.0679,1.0,0.1272,648,0,1.0,no,yes,no,oof_5fold_cv
word_12_10k__lr_liblin_C01,0.15,0.0679,1.0,0.1272,648,0,1.0,no,yes,no,oof_5fold_cv
word_12_10k__lr_liblin_C01,0.2,0.0679,1.0,0.1272,648,0,1.0,no,yes,no,oof_5fold_cv
word_12_10k__lr_liblin_C01,0.25,0.0679,1.0,0.1272,648,0,1.0,no,yes,no,oof_5fold_cv
word_12_10k__lr_liblin_C01,0.3,0.0679,1.0,0.1272,648,0,1.0,no,yes,no,oof_5fold_cv
word_12_10k__lr_liblin_C01,0.35,0.0679,1.0,0.1272,648,0,1.0,no,yes,no,oof_5fold_cv
word_12_10k__lr_liblin_C01,0.4,0.0679,1.0,0.1272,648,0,1.0,no,yes,no,oof_5fold_cv
word_12_10k__lr_liblin_C01,0.45,0.1032,0.8864,0.1848,378,270,0.5833,no,yes,no,oof_5fold_cv
word_12_10k__lr_liblin_C01,0.5,0.375,0.0682,0.1154,8,640,0.0123,no,no,no,oof_5fold_cv
word_12_10k__lr_liblin_C01,0.55,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_10k__lr_liblin_C01,0.6,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_10k__lr_liblin_C01,0.65,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_10k__lr_liblin_C01,0.7,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_10k__lr_liblin_C01,0.75,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_10k__lr_liblin_C01,0.8,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_10k__lr_liblin_C01,0.85,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_10k__lr_liblin_C01,0.9,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_10k__lr_liblin_C01,0.95,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_10k__lr_liblin_C5,0.05,0.0706,0.9773,0.1317,609,39,0.9398,no,yes,no,oof_5fold_cv
word_12_10k__lr_liblin_C5,0.1,0.1089,0.8636,0.1934,349,299,0.5386,no,yes,no,oof_5fold_cv
word_12_10k__lr_liblin_C5,0.15,0.1709,0.6136,0.2673,158,490,0.2438,no,yes,no,oof_5fold_cv
word_12_10k__lr_liblin_C5,0.2,0.1757,0.2955,0.2203,74,574,0.1142,no,yes,no,oof_5fold_cv
word_12_10k__lr_liblin_C5,0.25,0.2,0.2045,0.2022,45,603,0.0694,no,yes,no,oof_5fold_cv
word_12_10k__lr_liblin_C5,0.3,0.2692,0.1591,0.2,26,622,0.0401,no,no,no,oof_5fold_cv
word_12_10k__lr_liblin_C5,0.35,0.2632,0.1136,0.1587,19,629,0.0293,no,no,no,oof_5fold_cv
word_12_10k__lr_liblin_C5,0.4,0.3333,0.0682,0.1132,9,639,0.0139,no,no,no,oof_5fold_cv
word_12_10k__lr_liblin_C5,0.45,0.375,0.0682,0.1154,8,640,0.0123,no,no,no,oof_5fold_cv
word_12_10k__lr_liblin_C5,0.5,0.3333,0.0227,0.0426,3,645,0.0046,no,no,no,oof_5fold_cv
word_12_10k__lr_liblin_C5,0.55,0.0,0.0,0.0,1,647,0.0015,no,no,no,oof_5fold_cv
word_12_10k__lr_liblin_C5,0.6,0.0,0.0,0.0,1,647,0.0015,no,no,no,oof_5fold_cv
word_12_10k__lr_liblin_C5,0.65,0.0,0.0,0.0,1,647,0.0015,no,no,no,oof_5fold_cv
word_12_10k__lr_liblin_C5,0.7,0.0,0.0,0.0,1,647,0.0015,no,no,no,oof_5fold_cv
word_12_10k__lr_liblin_C5,0.75,0.0,0.0,0.0,1,647,0.0015,no,no,no,oof_5fold_cv
word_12_10k__lr_liblin_C5,0.8,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_10k__lr_liblin_C5,0.85,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_10k__lr_liblin_C5,0.9,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_10k__lr_liblin_C5,0.95,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_10k__svc_cal_bal,0.05,0.1245,0.75,0.2136,265,383,0.409,no,yes,no,oof_5fold_cv
word_12_10k__svc_cal_bal,0.1,0.1613,0.3409,0.219,93,555,0.1435,no,yes,no,oof_5fold_cv
word_12_10k__svc_cal_bal,0.15,0.1923,0.2273,0.2083,52,596,0.0802,no,yes,no,oof_5fold_cv
word_12_10k__svc_cal_bal,0.2,0.1892,0.1591,0.1728,37,611,0.0571,no,no,no,oof_5fold_cv
word_12_10k__svc_cal_bal,0.25,0.1852,0.1136,0.1408,27,621,0.0417,no,no,no,oof_5fold_cv
word_12_10k__svc_cal_bal,0.3,0.3333,0.1136,0.1695,15,633,0.0231,no,no,no,oof_5fold_cv
word_12_10k__svc_cal_bal,0.35,0.375,0.0682,0.1154,8,640,0.0123,no,no,no,oof_5fold_cv
word_12_10k__svc_cal_bal,0.4,0.2857,0.0455,0.0784,7,641,0.0108,no,no,no,oof_5fold_cv
word_12_10k__svc_cal_bal,0.45,0.3333,0.0455,0.08,6,642,0.0093,no,no,no,oof_5fold_cv
word_12_10k__svc_cal_bal,0.5,0.25,0.0227,0.0417,4,644,0.0062,no,no,no,oof_5fold_cv
word_12_10k__svc_cal_bal,0.55,0.0,0.0,0.0,3,645,0.0046,no,no,no,oof_5fold_cv
word_12_10k__svc_cal_bal,0.6,0.0,0.0,0.0,2,646,0.0031,no,no,no,oof_5fold_cv
word_12_10k__svc_cal_bal,0.65,0.0,0.0,0.0,1,647,0.0015,no,no,no,oof_5fold_cv
word_12_10k__svc_cal_bal,0.7,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_10k__svc_cal_bal,0.75,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_10k__svc_cal_bal,0.8,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_10k__svc_cal_bal,0.85,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_10k__svc_cal_bal,0.9,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_10k__svc_cal_bal,0.95,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_10k__sgd_log_bal,0.05,0.1339,0.7273,0.2261,239,409,0.3688,no,yes,no,oof_5fold_cv
word_12_10k__sgd_log_bal,0.1,0.163,0.3409,0.2206,92,556,0.142,no,yes,no,oof_5fold_cv
word_12_10k__sgd_log_bal,0.15,0.1579,0.2045,0.1782,57,591,0.088,no,yes,no,oof_5fold_cv
word_12_10k__sgd_log_bal,0.2,0.2857,0.1818,0.2222,28,620,0.0432,no,no,no,oof_5fold_cv
word_12_10k__sgd_log_bal,0.25,0.2727,0.1364,0.1818,22,626,0.034,no,no,no,oof_5fold_cv
word_12_10k__sgd_log_bal,0.3,0.2778,0.1136,0.1613,18,630,0.0278,no,no,no,oof_5fold_cv
word_12_10k__sgd_log_bal,0.35,0.3,0.0682,0.1111,10,638,0.0154,no,no,no,oof_5fold_cv
word_12_10k__sgd_log_bal,0.4,0.375,0.0682,0.1154,8,640,0.0123,no,no,no,oof_5fold_cv
word_12_10k__sgd_log_bal,0.45,0.3333,0.0455,0.08,6,642,0.0093,no,no,no,oof_5fold_cv
word_12_10k__sgd_log_bal,0.5,0.4,0.0455,0.0816,5,643,0.0077,no,no,no,oof_5fold_cv
word_12_10k__sgd_log_bal,0.55,0.5,0.0227,0.0435,2,646,0.0031,no,no,no,oof_5fold_cv
word_12_10k__sgd_log_bal,0.6,0.5,0.0227,0.0435,2,646,0.0031,no,no,no,oof_5fold_cv
word_12_10k__sgd_log_bal,0.65,0.0,0.0,0.0,1,647,0.0015,no,no,no,oof_5fold_cv
word_12_10k__sgd_log_bal,0.7,0.0,0.0,0.0,1,647,0.0015,no,no,no,oof_5fold_cv
word_12_10k__sgd_log_bal,0.75,0.0,0.0,0.0,1,647,0.0015,no,no,no,oof_5fold_cv
word_12_10k__sgd_log_bal,0.8,0.0,0.0,0.0,1,647,0.0015,no,no,no,oof_5fold_cv
word_12_10k__sgd_log_bal,0.85,0.0,0.0,0.0,1,647,0.0015,no,no,no,oof_5fold_cv
word_12_10k__sgd_log_bal,0.9,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_10k__sgd_log_bal,0.95,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_10k__cnb,0.05,0.1333,0.7727,0.2274,255,393,0.3935,no,yes,no,oof_5fold_cv
word_12_10k__cnb,0.1,0.1724,0.5682,0.2646,145,503,0.2238,no,yes,no,oof_5fold_cv
word_12_10k__cnb,0.15,0.1818,0.4091,0.2517,99,549,0.1528,no,yes,no,oof_5fold_cv
word_12_10k__cnb,0.2,0.1875,0.2727,0.2222,64,584,0.0988,no,yes,no,oof_5fold_cv
word_12_10k__cnb,0.25,0.1957,0.2045,0.2,46,602,0.071,no,yes,no,oof_5fold_cv
word_12_10k__cnb,0.3,0.2222,0.1818,0.2,36,612,0.0556,no,no,no,oof_5fold_cv
word_12_10k__cnb,0.35,0.1852,0.1136,0.1408,27,621,0.0417,no,no,no,oof_5fold_cv
word_12_10k__cnb,0.4,0.15,0.0682,0.0938,20,628,0.0309,no,no,no,oof_5fold_cv
word_12_10k__cnb,0.45,0.1875,0.0682,0.1,16,632,0.0247,no,no,no,oof_5fold_cv
word_12_10k__cnb,0.5,0.2308,0.0682,0.1053,13,635,0.0201,no,no,no,oof_5fold_cv
word_12_10k__cnb,0.55,0.4286,0.0682,0.1176,7,641,0.0108,no,no,no,oof_5fold_cv
word_12_10k__cnb,0.6,0.5,0.0682,0.12,6,642,0.0093,no,no,no,oof_5fold_cv
word_12_10k__cnb,0.65,0.6,0.0682,0.1224,5,643,0.0077,yes,no,no,oof_5fold_cv
word_12_10k__cnb,0.7,0.5,0.0455,0.0833,4,644,0.0062,no,no,no,oof_5fold_cv
word_12_10k__cnb,0.75,0.3333,0.0227,0.0426,3,645,0.0046,no,no,no,oof_5fold_cv
word_12_10k__cnb,0.8,0.5,0.0227,0.0435,2,646,0.0031,no,no,no,oof_5fold_cv
word_12_10k__cnb,0.85,0.5,0.0227,0.0435,2,646,0.0031,no,no,no,oof_5fold_cv
word_12_10k__cnb,0.9,0.5,0.0227,0.0435,2,646,0.0031,no,no,no,oof_5fold_cv
word_12_10k__cnb,0.95,0.0,0.0,0.0,1,647,0.0015,no,no,no,oof_5fold_cv
word_13_5k__lr_liblin_bal,0.05,0.0679,1.0,0.1272,648,0,1.0,no,yes,no,oof_5fold_cv
word_13_5k__lr_liblin_bal,0.1,0.0679,1.0,0.1272,648,0,1.0,no,yes,no,oof_5fold_cv
word_13_5k__lr_liblin_bal,0.15,0.0679,0.9773,0.127,633,15,0.9769,no,yes,no,oof_5fold_cv
word_13_5k__lr_liblin_bal,0.2,0.0789,0.9773,0.146,545,103,0.841,no,yes,no,oof_5fold_cv
word_13_5k__lr_liblin_bal,0.25,0.1028,0.8409,0.1832,360,288,0.5556,no,yes,no,oof_5fold_cv
word_13_5k__lr_liblin_bal,0.3,0.1457,0.6591,0.2387,199,449,0.3071,no,yes,no,oof_5fold_cv
word_13_5k__lr_liblin_bal,0.35,0.1489,0.3182,0.2029,94,554,0.1451,no,yes,no,oof_5fold_cv
word_13_5k__lr_liblin_bal,0.4,0.1556,0.1591,0.1573,45,603,0.0694,no,no,no,oof_5fold_cv
word_13_5k__lr_liblin_bal,0.45,0.2,0.0909,0.125,20,628,0.0309,no,no,no,oof_5fold_cv
