dataset,source_file,dummy_column_name,company_id,company_name,n_obs_in_dataset,is_reference_firm
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_20,20,Charter Communications,2,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_21,21,Chevron,3,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_22,22,Cigna Group,4,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_23,23,Cisco Systems,7,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_24,24,Citigroup,3,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_25,25,Coca-Cola,6,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_26,26,Comcast,16,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_28,28,Dell Technologies,8,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_29,29,Delta Air Lines,10,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_32,32,Energy Transfer,7,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_33,33,Enterprise Products Partners,25,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_34,34,Exxon Mobil,2,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_36,36,FedEx,7,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_37,37,Ford Motor,20,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_39,39,Galaxy Digital,1,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_40,40,General Dynamics,9,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_41,41,General Motors,6,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_42,42,Goldman Sachs Group,1,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_43,43,HCA Healthcare,3,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_44,44,HP,5,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_45,45,Home Depot,14,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_46,46,Humana,8,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_47,47,IBM,9,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_48,48,Ingram Micro Holding,12,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_49,49,Intel,4,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_50,50,JPMorgan Chase,3,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_51,51,Johnson & Johnson,2,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_52,52,Kroger,21,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_53,53,Liberty Mutual Insurance Group,7,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_54,54,Lockheed Martin,9,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_55,55,Lowe's,10,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_56,56,Marathon Petroleum,4,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_57,57,Massachusetts Mutual Life,7,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_58,58,McKesson,2,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_59,59,Merck,1,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_60,60,MetLife,2,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_61,61,Meta Platforms,1,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_62,62,Microsoft,12,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_64,64,Morgan Stanley,2,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_65,65,Nationwide,18,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_66,66,New York Life Insurance,3,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_67,67,Nike,8,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_68,68,Nvidia,5,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_69,69,Oracle,3,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_70,70,PepsiCo,6,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_72,72,Pfizer,2,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_73,73,Phillips 66,4,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_74,74,Procter & Gamble,2,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_75,75,Progressive,8,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_76,76,Prudential Financial,7,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_77,77,Publix Super Markets,19,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_78,78,RTX,2,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_79,79,State Farm Insurance,3,false
