measurement_basis,hypothesis,model_id,fe_count,included_fe,key_variable,coefficient,classical_ols_se,t_stat,p_value,stars,n_obs,r_squared,adj_r_squared,df_model,df_resid,rank,status,interpretation_level,dependent_variable,n_aggressive_batch1,limitation,n_fe_cells,n_predicted_aggressive
full_sample_predicted,H2_1,year_hour,2,"year,hour",predicted_aggressive_vs_other,0.014251,0.038553,0.3697,0.711645,ns,28177,0.68574,0.287126,15756,12421,1,success,preliminary_diagnostic,log1p_total_engagement,,classifier_NOT_A_CANDIDATE,15755,6857
batch1_human_coded,H2_1,month_week,2,"month,week",aggressive_vs_other,0.857349,0.475135,1.8044,0.072023,*,648,0.603296,0.266665,298,350,1,success,preliminary_diagnostic,log1p_total_engagement,44,n_agg=44_low_power,297,
full_sample_predicted,H2_1,month_week,2,"month,week",predicted_aggressive_vs_other,0.082227,0.027236,3.019,0.002538,***,28177,0.211933,0.194962,595,27582,1,success,preliminary_diagnostic,log1p_total_engagement,,classifier_NOT_A_CANDIDATE,594,6857
batch1_human_coded,H2_1,month_day,2,"month,day",aggressive_vs_other,0.832038,0.763945,1.0891,0.278296,ns,648,0.882939,0.363541,529,119,1,success,preliminary_diagnostic,log1p_total_engagement,44,n_agg=44_low_power,528,
full_sample_predicted,H2_1,month_day,2,"month,day",predicted_aggressive_vs_other,0.070125,0.028446,2.4652,0.013699,**,28177,0.286397,0.20282,2955,25222,1,success,preliminary_diagnostic,log1p_total_engagement,,classifier_NOT_A_CANDIDATE,2954,6857
batch1_human_coded,H2_1,month_hour,2,"month,hour",aggressive_vs_other,0.064979,1.767511,0.0368,0.971129,ns,648,0.984203,0.36119,632,16,1,success,preliminary_diagnostic,log1p_total_engagement,44,n_agg=44_low_power,631,
full_sample_predicted,H2_1,month_hour,2,"month,hour",predicted_aggressive_vs_other,0.014251,0.038553,0.3697,0.711645,ns,28177,0.68574,0.287126,15756,12421,1,success,preliminary_diagnostic,log1p_total_engagement,,classifier_NOT_A_CANDIDATE,15755,6857
batch1_human_coded,H2_1,week_day,2,"week,day",aggressive_vs_other,0.832038,0.763945,1.0891,0.278296,ns,648,0.882939,0.363541,529,119,1,success,preliminary_diagnostic,log1p_total_engagement,44,n_agg=44_low_power,528,
full_sample_predicted,H2_1,week_day,2,"week,day",predicted_aggressive_vs_other,0.070125,0.028446,2.4652,0.013699,**,28177,0.286397,0.20282,2955,25222,1,success,preliminary_diagnostic,log1p_total_engagement,,classifier_NOT_A_CANDIDATE,2954,6857
batch1_human_coded,H2_1,week_hour,2,"week,hour",aggressive_vs_other,0.064979,1.767511,0.0368,0.971129,ns,648,0.984203,0.36119,632,16,1,success,preliminary_diagnostic,log1p_total_engagement,44,n_agg=44_low_power,631,
full_sample_predicted,H2_1,week_hour,2,"week,hour",predicted_aggressive_vs_other,0.014251,0.038553,0.3697,0.711645,ns,28177,0.68574,0.287126,15756,12421,1,success,preliminary_diagnostic,log1p_total_engagement,,classifier_NOT_A_CANDIDATE,15755,6857
batch1_human_coded,H2_1,day_hour,2,"day,hour",aggressive_vs_other,0.064979,1.767511,0.0368,0.971129,ns,648,0.984203,0.36119,632,16,1,success,preliminary_diagnostic,log1p_total_engagement,44,n_agg=44_low_power,631,
full_sample_predicted,H2_1,day_hour,2,"day,hour",predicted_aggressive_vs_other,0.014251,0.038553,0.3697,0.711645,ns,28177,0.68574,0.287126,15756,12421,1,success,preliminary_diagnostic,log1p_total_engagement,,classifier_NOT_A_CANDIDATE,15755,6857
batch1_human_coded,H2_1,year_month_week,3,"year,month,week",aggressive_vs_other,0.857349,0.475135,1.8044,0.072023,*,648,0.603296,0.266665,298,350,1,success,preliminary_diagnostic,log1p_total_engagement,44,n_agg=44_low_power,297,
full_sample_predicted,H2_1,year_month_week,3,"year,month,week",predicted_aggressive_vs_other,0.082227,0.027236,3.019,0.002538,***,28177,0.211933,0.194962,595,27582,1,success,preliminary_diagnostic,log1p_total_engagement,,classifier_NOT_A_CANDIDATE,594,6857
batch1_human_coded,H2_1,year_month_day,3,"year,month,day",aggressive_vs_other,0.832038,0.763945,1.0891,0.278296,ns,648,0.882939,0.363541,529,119,1,success,preliminary_diagnostic,log1p_total_engagement,44,n_agg=44_low_power,528,
full_sample_predicted,H2_1,year_month_day,3,"year,month,day",predicted_aggressive_vs_other,0.070125,0.028446,2.4652,0.013699,**,28177,0.286397,0.20282,2955,25222,1,success,preliminary_diagnostic,log1p_total_engagement,,classifier_NOT_A_CANDIDATE,2954,6857
batch1_human_coded,H2_1,year_month_hour,3,"year,month,hour",aggressive_vs_other,0.064979,1.767511,0.0368,0.971129,ns,648,0.984203,0.36119,632,16,1,success,preliminary_diagnostic,log1p_total_engagement,44,n_agg=44_low_power,631,
full_sample_predicted,H2_1,year_month_hour,3,"year,month,hour",predicted_aggressive_vs_other,0.014251,0.038553,0.3697,0.711645,ns,28177,0.68574,0.287126,15756,12421,1,success,preliminary_diagnostic,log1p_total_engagement,,classifier_NOT_A_CANDIDATE,15755,6857
batch1_human_coded,H2_1,year_week_day,3,"year,week,day",aggressive_vs_other,0.832038,0.763945,1.0891,0.278296,ns,648,0.882939,0.363541,529,119,1,success,preliminary_diagnostic,log1p_total_engagement,44,n_agg=44_low_power,528,
full_sample_predicted,H2_1,year_week_day,3,"year,week,day",predicted_aggressive_vs_other,0.070125,0.028446,2.4652,0.013699,**,28177,0.286397,0.20282,2955,25222,1,success,preliminary_diagnostic,log1p_total_engagement,,classifier_NOT_A_CANDIDATE,2954,6857
batch1_human_coded,H2_1,year_week_hour,3,"year,week,hour",aggressive_vs_other,0.064979,1.767511,0.0368,0.971129,ns,648,0.984203,0.36119,632,16,1,success,preliminary_diagnostic,log1p_total_engagement,44,n_agg=44_low_power,631,
full_sample_predicted,H2_1,year_week_hour,3,"year,week,hour",predicted_aggressive_vs_other,0.014251,0.038553,0.3697,0.711645,ns,28177,0.68574,0.287126,15756,12421,1,success,preliminary_diagnostic,log1p_total_engagement,,classifier_NOT_A_CANDIDATE,15755,6857
batch1_human_coded,H2_1,year_day_hour,3,"year,day,hour",aggressive_vs_other,0.064979,1.767511,0.0368,0.971129,ns,648,0.984203,0.36119,632,16,1,success,preliminary_diagnostic,log1p_total_engagement,44,n_agg=44_low_power,631,
full_sample_predicted,H2_1,year_day_hour,3,"year,day,hour",predicted_aggressive_vs_other,0.014251,0.038553,0.3697,0.711645,ns,28177,0.68574,0.287126,15756,12421,1,success,preliminary_diagnostic,log1p_total_engagement,,classifier_NOT_A_CANDIDATE,15755,6857
batch1_human_coded,H2_1,month_week_day,3,"month,week,day",aggressive_vs_other,0.832038,0.763945,1.0891,0.278296,ns,648,0.882939,0.363541,529,119,1,success,preliminary_diagnostic,log1p_total_engagement,44,n_agg=44_low_power,528,
full_sample_predicted,H2_1,month_week_day,3,"month,week,day",predicted_aggressive_vs_other,0.070125,0.028446,2.4652,0.013699,**,28177,0.286397,0.20282,2955,25222,1,success,preliminary_diagnostic,log1p_total_engagement,,classifier_NOT_A_CANDIDATE,2954,6857
batch1_human_coded,H2_1,month_week_hour,3,"month,week,hour",aggressive_vs_other,0.064979,1.767511,0.0368,0.971129,ns,648,0.984203,0.36119,632,16,1,success,preliminary_diagnostic,log1p_total_engagement,44,n_agg=44_low_power,631,
full_sample_predicted,H2_1,month_week_hour,3,"month,week,hour",predicted_aggressive_vs_other,0.014251,0.038553,0.3697,0.711645,ns,28177,0.68574,0.287126,15756,12421,1,success,preliminary_diagnostic,log1p_total_engagement,,classifier_NOT_A_CANDIDATE,15755,6857
batch1_human_coded,H2_1,month_day_hour,3,"month,day,hour",aggressive_vs_other,0.064979,1.767511,0.0368,0.971129,ns,648,0.984203,0.36119,632,16,1,success,preliminary_diagnostic,log1p_total_engagement,44,n_agg=44_low_power,631,
full_sample_predicted,H2_1,month_day_hour,3,"month,day,hour",predicted_aggressive_vs_other,0.014251,0.038553,0.3697,0.711645,ns,28177,0.68574,0.287126,15756,12421,1,success,preliminary_diagnostic,log1p_total_engagement,,classifier_NOT_A_CANDIDATE,15755,6857
batch1_human_coded,H2_1,week_day_hour,3,"week,day,hour",aggressive_vs_other,0.064979,1.767511,0.0368,0.971129,ns,648,0.984203,0.36119,632,16,1,success,preliminary_diagnostic,log1p_total_engagement,44,n_agg=44_low_power,631,
full_sample_predicted,H2_1,week_day_hour,3,"week,day,hour",predicted_aggressive_vs_other,0.014251,0.038553,0.3697,0.711645,ns,28177,0.68574,0.287126,15756,12421,1,success,preliminary_diagnostic,log1p_total_engagement,,classifier_NOT_A_CANDIDATE,15755,6857
batch1_human_coded,H2_1,year_month_week_day,4,"year,month,week,day",aggressive_vs_other,0.832038,0.763945,1.0891,0.278296,ns,648,0.882939,0.363541,529,119,1,success,preliminary_diagnostic,log1p_total_engagement,44,n_agg=44_low_power,528,
full_sample_predicted,H2_1,year_month_week_day,4,"year,month,week,day",predicted_aggressive_vs_other,0.070125,0.028446,2.4652,0.013699,**,28177,0.286397,0.20282,2955,25222,1,success,preliminary_diagnostic,log1p_total_engagement,,classifier_NOT_A_CANDIDATE,2954,6857
batch1_human_coded,H2_1,year_month_week_hour,4,"year,month,week,hour",aggressive_vs_other,0.064979,1.767511,0.0368,0.971129,ns,648,0.984203,0.36119,632,16,1,success,preliminary_diagnostic,log1p_total_engagement,44,n_agg=44_low_power,631,
full_sample_predicted,H2_1,year_month_week_hour,4,"year,month,week,hour",predicted_aggressive_vs_other,0.014251,0.038553,0.3697,0.711645,ns,28177,0.68574,0.287126,15756,12421,1,success,preliminary_diagnostic,log1p_total_engagement,,classifier_NOT_A_CANDIDATE,15755,6857
batch1_human_coded,H2_1,year_month_day_hour,4,"year,month,day,hour",aggressive_vs_other,0.064979,1.767511,0.0368,0.971129,ns,648,0.984203,0.36119,632,16,1,success,preliminary_diagnostic,log1p_total_engagement,44,n_agg=44_low_power,631,
full_sample_predicted,H2_1,year_month_day_hour,4,"year,month,day,hour",predicted_aggressive_vs_other,0.014251,0.038553,0.3697,0.711645,ns,28177,0.68574,0.287126,15756,12421,1,success,preliminary_diagnostic,log1p_total_engagement,,classifier_NOT_A_CANDIDATE,15755,6857
batch1_human_coded,H2_1,year_week_day_hour,4,"year,week,day,hour",aggressive_vs_other,0.064979,1.767511,0.0368,0.971129,ns,648,0.984203,0.36119,632,16,1,success,preliminary_diagnostic,log1p_total_engagement,44,n_agg=44_low_power,631,
full_sample_predicted,H2_1,year_week_day_hour,4,"year,week,day,hour",predicted_aggressive_vs_other,0.014251,0.038553,0.3697,0.711645,ns,28177,0.68574,0.287126,15756,12421,1,success,preliminary_diagnostic,log1p_total_engagement,,classifier_NOT_A_CANDIDATE,15755,6857
batch1_human_coded,H2_1,month_week_day_hour,4,"month,week,day,hour",aggressive_vs_other,0.064979,1.767511,0.0368,0.971129,ns,648,0.984203,0.36119,632,16,1,success,preliminary_diagnostic,log1p_total_engagement,44,n_agg=44_low_power,631,
full_sample_predicted,H2_1,month_week_day_hour,4,"month,week,day,hour",predicted_aggressive_vs_other,0.014251,0.038553,0.3697,0.711645,ns,28177,0.68574,0.287126,15756,12421,1,success,preliminary_diagnostic,log1p_total_engagement,,classifier_NOT_A_CANDIDATE,15755,6857
