measurement_basis,hypothesis,model_id,fe_count,included_fe,key_variable,coefficient,classical_ols_se,t_stat,p_value,stars,n_obs,r_squared,adj_r_squared,df_model,df_resid,rank,status,interpretation_level,dependent_variable,n_fe_cells
batch1_human_coded,H1,day_hour,2,"day,hour",human_humor_presence,0.615304,0.560508,1.0978,0.276422,ns,1482,0.969785,0.300797,1418,64,1,success,preliminary_diagnostic,log1p_total_engagement,1417
full_sample_predicted,H1,day_hour,2,"day,hour",h1_humor_presence_pred_t50,1.034839,0.018978,54.5273,0.0,***,68039,0.56614,0.296699,26067,41972,1,success,preliminary_diagnostic,log1p_total_engagement,26066
batch1_human_coded,H1,year_month_week,3,"year,month,week",human_humor_presence,0.955267,0.139582,6.8438,0.0,***,1482,0.47024,0.261229,420,1062,1,success,preliminary_diagnostic,log1p_total_engagement,419
full_sample_predicted,H1,year_month_week,3,"year,month,week",h1_humor_presence_pred_t50,1.13551,0.015284,74.2918,0.0,***,68039,0.208605,0.200888,658,67381,1,success,preliminary_diagnostic,log1p_total_engagement,657
batch1_human_coded,H1,year_month_day,3,"year,month,day",human_humor_presence,0.912211,0.20388,4.4743,1e-05,***,1482,0.767051,0.270619,1009,473,1,success,preliminary_diagnostic,log1p_total_engagement,1008
full_sample_predicted,H1,year_month_day,3,"year,month,day",h1_humor_presence_pred_t50,1.120205,0.015635,71.645,0.0,***,68039,0.264695,0.223652,3598,64441,1,success,preliminary_diagnostic,log1p_total_engagement,3597
batch1_human_coded,H1,year_month_hour,3,"year,month,hour",human_humor_presence,0.615304,0.560508,1.0978,0.276422,ns,1482,0.969785,0.300797,1418,64,1,success,preliminary_diagnostic,log1p_total_engagement,1417
full_sample_predicted,H1,year_month_hour,3,"year,month,hour",h1_humor_presence_pred_t50,1.07608,0.015348,70.1116,0.0,***,68039,0.259298,0.231383,2472,65567,1,success,preliminary_diagnostic,log1p_total_engagement,2471
batch1_human_coded,H1,year_week_day,3,"year,week,day",human_humor_presence,0.912211,0.20388,4.4743,1e-05,***,1482,0.767051,0.270619,1009,473,1,success,preliminary_diagnostic,log1p_total_engagement,1008
full_sample_predicted,H1,year_week_day,3,"year,week,day",h1_humor_presence_pred_t50,1.120205,0.015635,71.645,0.0,***,68039,0.264695,0.223652,3598,64441,1,success,preliminary_diagnostic,log1p_total_engagement,3597
batch1_human_coded,H1,year_week_hour,3,"year,week,hour",human_humor_presence,0.615304,0.560508,1.0978,0.276422,ns,1482,0.969785,0.300797,1418,64,1,success,preliminary_diagnostic,log1p_total_engagement,1417
full_sample_predicted,H1,year_week_hour,3,"year,week,hour",h1_humor_presence_pred_t50,1.076493,0.015923,67.6049,0.0,***,68039,0.343184,0.254609,8086,59953,1,success,preliminary_diagnostic,log1p_total_engagement,8085
batch1_human_coded,H1,year_day_hour,3,"year,day,hour",human_humor_presence,0.615304,0.560508,1.0978,0.276422,ns,1482,0.969785,0.300797,1418,64,1,success,preliminary_diagnostic,log1p_total_engagement,1417
full_sample_predicted,H1,year_day_hour,3,"year,day,hour",h1_humor_presence_pred_t50,1.034839,0.018978,54.5273,0.0,***,68039,0.56614,0.296699,26067,41972,1,success,preliminary_diagnostic,log1p_total_engagement,26066
batch1_human_coded,H1,month_week_day,3,"month,week,day",human_humor_presence,0.912211,0.20388,4.4743,1e-05,***,1482,0.767051,0.270619,1009,473,1,success,preliminary_diagnostic,log1p_total_engagement,1008
full_sample_predicted,H1,month_week_day,3,"month,week,day",h1_humor_presence_pred_t50,1.120205,0.015635,71.645,0.0,***,68039,0.264695,0.223652,3598,64441,1,success,preliminary_diagnostic,log1p_total_engagement,3597
batch1_human_coded,H1,month_week_hour,3,"month,week,hour",human_humor_presence,0.615304,0.560508,1.0978,0.276422,ns,1482,0.969785,0.300797,1418,64,1,success,preliminary_diagnostic,log1p_total_engagement,1417
full_sample_predicted,H1,month_week_hour,3,"month,week,hour",h1_humor_presence_pred_t50,1.077312,0.016014,67.2726,0.0,***,68039,0.351961,0.256083,8770,59269,1,success,preliminary_diagnostic,log1p_total_engagement,8769
batch1_human_coded,H1,month_day_hour,3,"month,day,hour",human_humor_presence,0.615304,0.560508,1.0978,0.276422,ns,1482,0.969785,0.300797,1418,64,1,success,preliminary_diagnostic,log1p_total_engagement,1417
full_sample_predicted,H1,month_day_hour,3,"month,day,hour",h1_humor_presence_pred_t50,1.034839,0.018978,54.5273,0.0,***,68039,0.56614,0.296699,26067,41972,1,success,preliminary_diagnostic,log1p_total_engagement,26066
batch1_human_coded,H1,week_day_hour,3,"week,day,hour",human_humor_presence,0.615304,0.560508,1.0978,0.276422,ns,1482,0.969785,0.300797,1418,64,1,success,preliminary_diagnostic,log1p_total_engagement,1417
full_sample_predicted,H1,week_day_hour,3,"week,day,hour",h1_humor_presence_pred_t50,1.034839,0.018978,54.5273,0.0,***,68039,0.56614,0.296699,26067,41972,1,success,preliminary_diagnostic,log1p_total_engagement,26066
batch1_human_coded,H1,year_month_week_day,4,"year,month,week,day",human_humor_presence,0.912211,0.20388,4.4743,1e-05,***,1482,0.767051,0.270619,1009,473,1,success,preliminary_diagnostic,log1p_total_engagement,1008
full_sample_predicted,H1,year_month_week_day,4,"year,month,week,day",h1_humor_presence_pred_t50,1.120205,0.015635,71.645,0.0,***,68039,0.264695,0.223652,3598,64441,1,success,preliminary_diagnostic,log1p_total_engagement,3597
batch1_human_coded,H1,year_month_week_hour,4,"year,month,week,hour",human_humor_presence,0.615304,0.560508,1.0978,0.276422,ns,1482,0.969785,0.300797,1418,64,1,success,preliminary_diagnostic,log1p_total_engagement,1417
full_sample_predicted,H1,year_month_week_hour,4,"year,month,week,hour",h1_humor_presence_pred_t50,1.077312,0.016014,67.2726,0.0,***,68039,0.351961,0.256083,8770,59269,1,success,preliminary_diagnostic,log1p_total_engagement,8769
batch1_human_coded,H1,year_month_day_hour,4,"year,month,day,hour",human_humor_presence,0.615304,0.560508,1.0978,0.276422,ns,1482,0.969785,0.300797,1418,64,1,success,preliminary_diagnostic,log1p_total_engagement,1417
full_sample_predicted,H1,year_month_day_hour,4,"year,month,day,hour",h1_humor_presence_pred_t50,1.034839,0.018978,54.5273,0.0,***,68039,0.56614,0.296699,26067,41972,1,success,preliminary_diagnostic,log1p_total_engagement,26066
batch1_human_coded,H1,year_week_day_hour,4,"year,week,day,hour",human_humor_presence,0.615304,0.560508,1.0978,0.276422,ns,1482,0.969785,0.300797,1418,64,1,success,preliminary_diagnostic,log1p_total_engagement,1417
full_sample_predicted,H1,year_week_day_hour,4,"year,week,day,hour",h1_humor_presence_pred_t50,1.034839,0.018978,54.5273,0.0,***,68039,0.56614,0.296699,26067,41972,1,success,preliminary_diagnostic,log1p_total_engagement,26066
batch1_human_coded,H1,month_week_day_hour,4,"month,week,day,hour",human_humor_presence,0.615304,0.560508,1.0978,0.276422,ns,1482,0.969785,0.300797,1418,64,1,success,preliminary_diagnostic,log1p_total_engagement,1417
full_sample_predicted,H1,month_week_day_hour,4,"month,week,day,hour",h1_humor_presence_pred_t50,1.034839,0.018978,54.5273,0.0,***,68039,0.56614,0.296699,26067,41972,1,success,preliminary_diagnostic,log1p_total_engagement,26066
