hypothesis,measurement_basis,model_id,fe_count,included_fe,raw_n_total,n_obs_after_fe_filter,n_fe_cells,status
H1,batch1_human_coded,year,1,year,1482,1482,12,success
H2_1,batch1_human_coded,year,1,year,648,648,12,success
H2_2,batch1_human_coded,year,1,year,648,648,12,success
H3,batch1_human_coded,year,1,year,88,,,not_applicable
H1,full_sample_predicted,year,1,year,68039,68039,14,success
H2_1,full_sample_predicted,year,1,year,28177,28177,12,success
H2_2,full_sample_predicted,year,1,year,28177,28177,12,success
H3,full_sample_predicted,year,1,year,3532,3532,12,success
H1,batch1_human_coded,year_day,2,"year,day",1482,1482,1008,success
H2_1,batch1_human_coded,year_day,2,"year,day",648,648,528,success
H2_2,batch1_human_coded,year_day,2,"year,day",648,648,528,success
H3,batch1_human_coded,year_day,2,"year,day",88,,,not_applicable
H1,full_sample_predicted,year_day,2,"year,day",68039,68039,3597,success
H2_1,full_sample_predicted,year_day,2,"year,day",28177,28177,2954,success
H2_2,full_sample_predicted,year_day,2,"year,day",28177,28177,2954,success
H3,full_sample_predicted,year_day,2,"year,day",3532,,,unavailable
H1,batch1_human_coded,year_day_hour,3,"year,day,hour",1482,1482,1417,success
H2_1,batch1_human_coded,year_day_hour,3,"year,day,hour",648,648,631,success
H2_2,batch1_human_coded,year_day_hour,3,"year,day,hour",648,648,631,success
H3,batch1_human_coded,year_day_hour,3,"year,day,hour",88,,,not_applicable
H1,full_sample_predicted,year_day_hour,3,"year,day,hour",68039,68039,26066,success
H2_1,full_sample_predicted,year_day_hour,3,"year,day,hour",28177,28177,15755,success
H2_2,full_sample_predicted,year_day_hour,3,"year,day,hour",28177,28177,15755,success
H3,full_sample_predicted,year_day_hour,3,"year,day,hour",3532,,,unavailable
H1,batch1_human_coded,year_hour,2,"year,hour",1482,1482,1417,success
H2_1,batch1_human_coded,year_hour,2,"year,hour",648,648,631,success
H2_2,batch1_human_coded,year_hour,2,"year,hour",648,648,631,success
H3,batch1_human_coded,year_hour,2,"year,hour",88,,,not_applicable
H1,full_sample_predicted,year_hour,2,"year,hour",68039,68039,270,success
H2_1,full_sample_predicted,year_hour,2,"year,hour",28177,28177,15755,success
H2_2,full_sample_predicted,year_hour,2,"year,hour",28177,28177,15755,success
H3,full_sample_predicted,year_hour,2,"year,hour",3532,,,unavailable
H1,batch1_human_coded,year_month,2,"year,month",1482,1482,115,success
H2_1,batch1_human_coded,year_month,2,"year,month",648,648,102,success
H2_2,batch1_human_coded,year_month,2,"year,month",648,648,102,success
H3,batch1_human_coded,year_month,2,"year,month",88,,,not_applicable
H1,full_sample_predicted,year_month,2,"year,month",68039,68039,133,success
H2_1,full_sample_predicted,year_month,2,"year,month",28177,28177,126,success
H2_2,full_sample_predicted,year_month,2,"year,month",28177,28177,126,success
H3,full_sample_predicted,year_month,2,"year,month",3532,3532,130,success
H1,batch1_human_coded,year_month_day,3,"year,month,day",1482,1482,1008,success
H2_1,batch1_human_coded,year_month_day,3,"year,month,day",648,648,528,success
H2_2,batch1_human_coded,year_month_day,3,"year,month,day",648,648,528,success
H3,batch1_human_coded,year_month_day,3,"year,month,day",88,,,not_applicable
H1,full_sample_predicted,year_month_day,3,"year,month,day",68039,68039,3597,success
H2_1,full_sample_predicted,year_month_day,3,"year,month,day",28177,28177,2954,success
H2_2,full_sample_predicted,year_month_day,3,"year,month,day",28177,28177,2954,success
H3,full_sample_predicted,year_month_day,3,"year,month,day",3532,,,unavailable
H1,batch1_human_coded,year_month_day_hour,4,"year,month,day,hour",1482,1482,1417,success
H2_1,batch1_human_coded,year_month_day_hour,4,"year,month,day,hour",648,648,631,success
H2_2,batch1_human_coded,year_month_day_hour,4,"year,month,day,hour",648,648,631,success
H3,batch1_human_coded,year_month_day_hour,4,"year,month,day,hour",88,,,not_applicable
H1,full_sample_predicted,year_month_day_hour,4,"year,month,day,hour",68039,68039,26066,success
H2_1,full_sample_predicted,year_month_day_hour,4,"year,month,day,hour",28177,28177,15755,success
H2_2,full_sample_predicted,year_month_day_hour,4,"year,month,day,hour",28177,28177,15755,success
H3,full_sample_predicted,year_month_day_hour,4,"year,month,day,hour",3532,,,unavailable
H1,batch1_human_coded,year_month_hour,3,"year,month,hour",1482,1482,1417,success
H2_1,batch1_human_coded,year_month_hour,3,"year,month,hour",648,648,631,success
H2_2,batch1_human_coded,year_month_hour,3,"year,month,hour",648,648,631,success
H3,batch1_human_coded,year_month_hour,3,"year,month,hour",88,,,not_applicable
H1,full_sample_predicted,year_month_hour,3,"year,month,hour",68039,68039,2471,success
H2_1,full_sample_predicted,year_month_hour,3,"year,month,hour",28177,28177,15755,success
H2_2,full_sample_predicted,year_month_hour,3,"year,month,hour",28177,28177,15755,success
H3,full_sample_predicted,year_month_hour,3,"year,month,hour",3532,,,unavailable
H1,batch1_human_coded,year_month_week,3,"year,month,week",1482,1482,419,success
H2_1,batch1_human_coded,year_month_week,3,"year,month,week",648,648,297,success
H2_2,batch1_human_coded,year_month_week,3,"year,month,week",648,648,297,success
H3,batch1_human_coded,year_month_week,3,"year,month,week",88,,,not_applicable
H1,full_sample_predicted,year_month_week,3,"year,month,week",68039,68039,657,success
H2_1,full_sample_predicted,year_month_week,3,"year,month,week",28177,28177,594,success
H2_2,full_sample_predicted,year_month_week,3,"year,month,week",28177,28177,594,success
H3,full_sample_predicted,year_month_week,3,"year,month,week",3532,,,unavailable
H1,batch1_human_coded,year_month_week_day,4,"year,month,week,day",1482,1482,1008,success
H2_1,batch1_human_coded,year_month_week_day,4,"year,month,week,day",648,648,528,success
H2_2,batch1_human_coded,year_month_week_day,4,"year,month,week,day",648,648,528,success
H3,batch1_human_coded,year_month_week_day,4,"year,month,week,day",88,,,not_applicable
H1,full_sample_predicted,year_month_week_day,4,"year,month,week,day",68039,68039,3597,success
H2_1,full_sample_predicted,year_month_week_day,4,"year,month,week,day",28177,28177,2954,success
H2_2,full_sample_predicted,year_month_week_day,4,"year,month,week,day",28177,28177,2954,success
H3,full_sample_predicted,year_month_week_day,4,"year,month,week,day",3532,,,unavailable
H1,batch1_human_coded,year_month_week_hour,4,"year,month,week,hour",1482,1482,1417,success
H2_1,batch1_human_coded,year_month_week_hour,4,"year,month,week,hour",648,648,631,success
H2_2,batch1_human_coded,year_month_week_hour,4,"year,month,week,hour",648,648,631,success
H3,batch1_human_coded,year_month_week_hour,4,"year,month,week,hour",88,,,not_applicable
H1,full_sample_predicted,year_month_week_hour,4,"year,month,week,hour",68039,68039,8769,success
H2_1,full_sample_predicted,year_month_week_hour,4,"year,month,week,hour",28177,28177,15755,success
H2_2,full_sample_predicted,year_month_week_hour,4,"year,month,week,hour",28177,28177,15755,success
H3,full_sample_predicted,year_month_week_hour,4,"year,month,week,hour",3532,,,unavailable
H1,batch1_human_coded,year_week,2,"year,week",1482,1482,393,success
H2_1,batch1_human_coded,year_week,2,"year,week",648,648,285,success
H2_2,batch1_human_coded,year_week,2,"year,week",648,648,285,success
H3,batch1_human_coded,year_week,2,"year,week",88,,,not_applicable
H1,full_sample_predicted,year_week,2,"year,week",68039,68039,563,success
H2_1,full_sample_predicted,year_week,2,"year,week",28177,28177,518,success
H2_2,full_sample_predicted,year_week,2,"year,week",28177,28177,518,success
H3,full_sample_predicted,year_week,2,"year,week",3532,,,unavailable
H1,batch1_human_coded,year_week_day,3,"year,week,day",1482,1482,1008,success
H2_1,batch1_human_coded,year_week_day,3,"year,week,day",648,648,528,success
H2_2,batch1_human_coded,year_week_day,3,"year,week,day",648,648,528,success
H3,batch1_human_coded,year_week_day,3,"year,week,day",88,,,not_applicable
H1,full_sample_predicted,year_week_day,3,"year,week,day",68039,68039,3597,success
H2_1,full_sample_predicted,year_week_day,3,"year,week,day",28177,28177,2954,success
H2_2,full_sample_predicted,year_week_day,3,"year,week,day",28177,28177,2954,success
H3,full_sample_predicted,year_week_day,3,"year,week,day",3532,,,unavailable
H1,batch1_human_coded,year_week_day_hour,4,"year,week,day,hour",1482,1482,1417,success
H2_1,batch1_human_coded,year_week_day_hour,4,"year,week,day,hour",648,648,631,success
H2_2,batch1_human_coded,year_week_day_hour,4,"year,week,day,hour",648,648,631,success
H3,batch1_human_coded,year_week_day_hour,4,"year,week,day,hour",88,,,not_applicable
H1,full_sample_predicted,year_week_day_hour,4,"year,week,day,hour",68039,68039,26066,success
H2_1,full_sample_predicted,year_week_day_hour,4,"year,week,day,hour",28177,28177,15755,success
H2_2,full_sample_predicted,year_week_day_hour,4,"year,week,day,hour",28177,28177,15755,success
H3,full_sample_predicted,year_week_day_hour,4,"year,week,day,hour",3532,,,unavailable
H1,batch1_human_coded,year_week_hour,3,"year,week,hour",1482,1482,1417,success
H2_1,batch1_human_coded,year_week_hour,3,"year,week,hour",648,648,631,success
H2_2,batch1_human_coded,year_week_hour,3,"year,week,hour",648,648,631,success
H3,batch1_human_coded,year_week_hour,3,"year,week,hour",88,,,not_applicable
H1,full_sample_predicted,year_week_hour,3,"year,week,hour",68039,68039,8085,success
H2_1,full_sample_predicted,year_week_hour,3,"year,week,hour",28177,28177,15755,success
H2_2,full_sample_predicted,year_week_hour,3,"year,week,hour",28177,28177,15755,success
H3,full_sample_predicted,year_week_hour,3,"year,week,hour",3532,,,unavailable
