fortune 2025 rank,name,type,id
137,Cummins,Organization,https://fortune.com/company/cummins/
138,Oneok,Organization,https://fortune.com/company/oneok/
139,PayPal Holdings,Organization,https://fortune.com/company/paypal-holdings/
140,GuideWell Mutual Holding,Organization,https://fortune.com/company/guidewell-mutual-holding/
141,Mastercard,Organization,https://fortune.com/company/mastercard/
142,Nucor,Organization,https://fortune.com/company/nucor/
143,Apollo Global Management,Organization,https://fortune.com/company/apollo-global-management/
144,Penske Automotive Group,Organization,https://fortune.com/company/penske-automotive-group/
145,Duke Energy,Organization,https://fortune.com/company/duke-energy/
146,United Natural Foods,Organization,https://fortune.com/company/united-natural-foods/
147,Ferguson Enterprises,Organization,https://fortune.com/company/ferguson/
148,Arrow Electronics,Organization,https://fortune.com/company/arrow-electronics/
149,NRG Energy,Organization,https://fortune.com/company/nrg-energy/
150,Truist Financial,Organization,https://fortune.com/company/bbt-corp/
151,Jabil,Organization,https://fortune.com/company/jabil-circuit/
152,Southern,Organization,https://fortune.com/company/southern/
153,Gilead Sciences,Organization,https://fortune.com/company/gilead-sciences/
154,PBF Energy,Organization,https://fortune.com/company/pbf-energy/
155,Paramount Skydance,Organization,https://fortune.com/company/cbs/
156,KKR,Organization,https://fortune.com/company/kkr/
157,Quanta Services,Organization,https://fortune.com/company/quanta-services/
158,Paccar,Organization,https://fortune.com/company/paccar/
159,Medline,Organization,https://fortune.com/company/medline/
160,Applied Materials,Organization,https://fortune.com/company/applied-materials/
160,Hartford Insurance Group,Organization,https://fortune.com/company/hartford-financial-services/
162,CarMax,Organization,https://fortune.com/company/carmax/
163,Southwest Airlines,Organization,https://fortune.com/company/southwest-airlines/
164,Baker Hughes,Organization,https://fortune.com/company/baker-hughes/
165,Charles Schwab,Organization,https://fortune.com/company/charles-schwab/
166,AutoNation,Organization,https://fortune.com/company/auto-nation/
167,NextEra Energy,Organization,https://fortune.com/company/nextera-energy/
168,Marsh & McLennan,Organization,https://fortune.com/company/marsh-mclennan/
169,Booking Holdings,Organization,https://fortune.com/company/booking-holdings/
170,McDonald's,Organization,https://fortune.com/company/mcdonalds/
171,HF Sinclair,Organization,https://fortune.com/company/hollyfrontier/
172,AIG,Organization,https://fortune.com/company/aig/
173,Occidental Petroleum,Organization,https://fortune.com/company/occidental-petroleum/
174,Marriott International,Organization,https://fortune.com/company/marriott-international/
175,Jones Lang LaSalle,Organization,https://fortune.com/company/jones-lang-lasalle/
176,International Paper,Organization,https://fortune.com/company/international-paper/
177,Freeport-McMoRan,Organization,https://fortune.com/company/freeport-mcmoran/
178,Constellation Energy,Organization,https://fortune.com/company/constellation-energy/
179,Waste Management,Organization,https://fortune.com/company/waste-management/
180,Live Nation Entertainment,Organization,https://fortune.com/company/live-nation-entertainment/
181,Stryker,Organization,https://fortune.com/company/stryker/
182,Dollar Tree,Organization,https://fortune.com/company/dollar-tree/
183,3M,Organization,https://fortune.com/company/3m/
184,Kraft Heinz,Organization,https://fortune.com/company/kraft-heinz/
185,PG&E,Organization,https://fortune.com/company/pge-corp/
186,Danaher,Organization,https://fortune.com/company/danaher/
187,Union Pacific,Organization,https://fortune.com/company/union-pacific/
188,Genuine Parts,Organization,https://fortune.com/company/genuine-parts/
189,Exelon,Organization,https://fortune.com/company/exelon/
190,BlackRock,Organization,https://fortune.com/company/blackrock/
191,Block,Organization,https://fortune.com/company/square/
192,Adobe,Organization,https://fortune.com/company/adobe-systems/
193,Reinsurance Group of America,Organization,https://fortune.com/company/reinsurance-group-of-america/
194,Sherwin-Williams,Organization,https://fortune.com/company/sherwin-williams/
195,WESCO International,Organization,https://fortune.com/company/wesco-international/
196,Lear,Organization,https://fortune.com/company/lear/
197,Synchrony,Organization,https://fortune.com/company/synchrony-financial/
198,Amphenol,Organization,https://fortune.com/company/amphenol/
199,Ross Stores,Organization,https://fortune.com/company/ross-stores/
200,Newmont,Organization,https://fortune.com/company/newmont-mining/
201,EOG Resources,Organization,https://fortune.com/company/eog-resources/
202,State Street,Organization,https://fortune.com/company/state-street-corp/
203,Macy's,Organization,https://fortune.com/company/macys/
204,Group 1 Automotive,Organization,https://fortune.com/company/group-1-automotive/
205,CDW,Organization,https://fortune.com/company/cdw/
206,Avnet,Organization,https://fortune.com/company/avnet/
207,Halliburton,Organization,https://fortune.com/company/halliburton/
208,Super Micro Computer,Organization,https://fortune.com/company/super-micro-computer/
209,American Electric Power,Organization,https://fortune.com/company/american-electric-power/
210,L3Harris Technologies,Organization,https://fortune.com/company/harris/
211,Becton Dickinson,Organization,https://fortune.com/company/becton-dickinson/
212,Carrier Global,Organization,https://fortune.com/company/carrier-global/
213,BJ's Wholesale Club,Organization,https://fortune.com/company/bjs-wholesale-club/
214,Tenet Healthcare,Organization,https://fortune.com/company/tenet-healthcare/
215,Fiserv,Organization,https://fortune.com/company/fiserv/
216,Cognizant Technology Solutions,Organization,https://fortune.com/company/cognizant-technology-solutions/
217,GE HealthCare Technologies,Organization,https://fortune.com/company/ge-healthcare-technologies/
218,Automatic Data Processing,Organization,https://fortune.com/company/adp/
219,Colgate-Palmolive,Organization,https://fortune.com/company/colgate-palmolive/
220,Carvana,Organization,https://fortune.com/company/carvana/
221,Altria Group,Organization,https://fortune.com/company/altria-group/
222,Boston Scientific,Organization,https://fortune.com/company/boston-scientific/
223,Cheniere Energy,Organization,https://fortune.com/company/cheniere-energy/
224,Parker-Hannifin,Organization,https://fortune.com/company/parker-hannifin/
225,Kimberly-Clark,Organization,https://fortune.com/company/kimberly-clark/
226,American Family Insurance Group,Organization,https://fortune.com/company/american-family-insurance-group/
227,General Mills,Organization,https://fortune.com/company/general-mills/
228,Edison International,Organization,https://fortune.com/company/edison-international/
229,AutoZone,Organization,https://fortune.com/company/autozone/
230,Ameriprise Financial,Organization,https://fortune.com/company/ameriprise-financial/
231,Intuit,Organization,https://fortune.com/company/intuit/
232,Guardian Life Ins. Co. of America,Organization,https://fortune.com/company/guardian-life-ins-co-of-america/
233,Cleveland-Cliffs,Organization,https://fortune.com/company/cleveland-cliffs/
234,Global Partners,Organization,https://fortune.com/company/global-partners/
235,Aramark,Organization,https://fortune.com/company/aramark/
236,Corebridge Financial,Organization,https://fortune.com/company/corebridge-financial/
237,Loews,Organization,https://fortune.com/company/loews/
238,Lam Research,Organization,https://fortune.com/company/lam-research/
239,Goodyear Tire & Rubber,Organization,https://fortune.com/company/goodyear-tire-rubber/
240,Pacific Life,Organization,https://fortune.com/company/pacific-life/
241,Auto-Owners Insurance,Organization,https://fortune.com/company/auto-owners-insurance/
242,Peter Kiewit Sons',Organization,https://fortune.com/company/peter-kiewit-sons/
243,Lincoln National,Organization,https://fortune.com/company/lincoln-national/
244,Steel Dynamics,Organization,https://fortune.com/company/steel-dynamics/
245,Emerson Electric,Organization,https://fortune.com/company/emerson-electric/
246,Asbury Automotive Group,Organization,https://fortune.com/company/asbury-automotive-group/
247,ManpowerGroup,Organization,https://fortune.com/company/manpowergroup/
248,W.W. Grainger,Organization,https://fortune.com/company/w-w-grainger/
249,Jones Financial (Edward Jones),Organization,https://fortune.com/company/edward-jones/
250,O'Reilly Automotive,Organization,https://fortune.com/company/oreilly-automotive/
251,Vistra,Organization,https://fortune.com/company/vistra-energy/
252,Texas Instruments,Organization,https://fortune.com/company/texas-instruments/
253,MGM Resorts International,Organization,https://fortune.com/company/mgm-resorts-international/
254,Corteva,Organization,https://fortune.com/company/corteva/
255,Universal Health Services,Organization,https://fortune.com/company/universal-health-services/
256,PulteGroup,Organization,https://fortune.com/company/pultegroup/
257,Omnicom Group,Organization,https://fortune.com/company/omnicom-group/
258,Dick's Sporting Goods,Organization,https://fortune.com/company/dicks-sporting-goods/
259,Devon Energy,Organization,https://fortune.com/company/devon-energy/
260,Leidos Holdings,Organization,https://fortune.com/company/leidos-holdings/
261,Aflac,Organization,https://fortune.com/company/aflac/
262,Targa Resources,Organization,https://fortune.com/company/targa-resources/
263,Murphy USA,Organization,https://fortune.com/company/murphy-usa/
264,LPL Financial Holdings,Organization,https://fortune.com/company/lpl-financial-holdings/
265,EMCOR Group,Organization,https://fortune.com/company/emcor-group/
266,Kinder Morgan,Organization,https://fortune.com/company/kinder-morgan/
267,Consolidated Edison,Organization,https://fortune.com/company/consolidated-edison/
268,Keurig Dr Pepper,Organization,https://fortune.com/company/dr-pepper-snapple-group/
269,Republic Services,Organization,https://fortune.com/company/republic-services/
270,Markel Group,Organization,https://fortune.com/company/markel/
271,Farmers Insurance Exchange,Organization,https://fortune.com/company/farmers-insurance-exchange/
272,Dominion Energy,Organization,https://fortune.com/company/dominion-resources/
273,Land O'Lakes,Organization,https://fortune.com/company/land-olakes/
274,IQVIA Holdings,Organization,https://fortune.com/company/quintiles-ims-holdings/
275,Fox,Organization,https://fortune.com/company/fox/
276,AECOM,Organization,https://fortune.com/company/aecom/
277,C.H. Robinson Worldwide,Organization,https://fortune.com/company/c-h-robinson-worldwide/
278,Bitgo Holdings,Organization,https://fortune.com/company/bitgo-holdings/
279,United Rentals,Organization,https://fortune.com/company/united-rentals/
280,Ecolab,Organization,https://fortune.com/company/ecolab/
281,Illinois Tool Works,Organization,https://fortune.com/company/illinois-tool-works/
282,Casey's General Stores,Organization,https://fortune.com/company/caseys-general-stores/
283,Raymond James Financial,Organization,https://fortune.com/company/raymond-james-financial/
284,PPG Industries,Organization,https://fortune.com/company/ppg-industries/
285,DTE Energy,Organization,https://fortune.com/company/dte-energy/
286,Corning,Organization,https://fortune.com/company/corning/
287,Principal Financial,Organization,https://fortune.com/company/principal-financial/
288,Mutual of Omaha,Organization,https://fortune.com/company/mutual-of-omaha-insurance/
289,Kohl's,Organization,https://fortune.com/company/kohls/
290,Tractor Supply,Organization,https://fortune.com/company/tractor-supply/
291,Whirlpool,Organization,https://fortune.com/company/whirlpool/
292,Fluor,Organization,https://fortune.com/company/fluor/
293,Gap,Organization,https://fortune.com/company/gap/
294,S&P Global,Organization,https://fortune.com/company/sp-global/
295,Ally Financial,Organization,https://fortune.com/company/ally-financial/
296,Builders FirstSource,Organization,https://fortune.com/company/builders-firstsource/
297,Sonic Automotive,Organization,https://fortune.com/company/sonic-automotive/
298,Stanley Black & Decker,Organization,https://fortune.com/company/stanley-black-decker/
299,Kenvue,Organization,https://fortune.com/company/kenvue/
300,Kyndryl Holdings,Organization,https://fortune.com/company/kyndryl-holdings/
301,Diamondback Energy,Organization,https://fortune.com/company/diamondback-energy/
302,EchoStar,Organization,https://fortune.com/company/echostar/
303,Textron,Organization,https://fortune.com/company/textron/
304,Expedia Group,Organization,https://fortune.com/company/expedia-group/
305,W.R. Berkley,Organization,https://fortune.com/company/w-r-berkley/
306,Xcel Energy,Organization,https://fortune.com/company/xcel-energy/
307,FirstEnergy,Organization,https://fortune.com/company/firstenergy/
308,Erie Insurance Group,Organization,https://fortune.com/company/erie-insurance-group/
309,First Citizens BancShares,Organization,https://fortune.com/company/first-citizens-bancshares/
310,Blackstone,Organization,https://fortune.com/company/blackstone-group/
311,Fidelity National Financial,Organization,https://fortune.com/company/fidelity-national-financial/
312,Otis Worldwide,Organization,https://fortune.com/company/otis-worldwide/
313,Amentum Holdings,Organization,https://fortune.com/company/amentum-holdings/
314,Regeneron Pharmaceuticals,Organization,https://fortune.com/company/regeneron-pharmaceuticals/
315,Estée Lauder,Organization,https://fortune.com/company/estee-lauder/
316,BorgWarner,Organization,https://fortune.com/company/borgwarner/
317,Northern Trust,Organization,https://fortune.com/company/northern-trust/
318,Viatris,Organization,https://fortune.com/company/viatris/
319,MasTec,Organization,https://fortune.com/company/mastec/
320,Reliance,Organization,https://fortune.com/company/reliance-steel-aluminum/
321,Western & Southern Financial Group,Organization,https://fortune.com/company/western-southern-financial/
322,Alaska Air Group,Organization,https://fortune.com/company/alaska-air-group/
323,BrightSpring Health Services,Organization,https://fortune.com/company/brightspring-health-services/
324,CSX,Organization,https://fortune.com/company/csx/
325,LKQ,Organization,https://fortune.com/company/lkq/
326,Labcorp Holdings,Organization,https://fortune.com/company/laboratory-corp-of-america/
327,Arthur J. Gallagher,Organization,https://fortune.com/company/arthur-j-gallagher/
328,Venture Global,Organization,https://fortune.com/company/venutre-global/
329,DoorDash,Organization,https://fortune.com/company/doordash/
330,Sempra,Organization,https://fortune.com/company/sempra-energy/
331,DaVita,Organization,https://fortune.com/company/davita/
332,Eversource Energy,Organization,https://fortune.com/company/eversource-energy/
333,ServiceNow,Organization,https://fortune.com/company/servicenow/
334,M&T Bank,Organization,https://fortune.com/company/mt-bank-corp/
335,Henry Schein,Organization,https://fortune.com/company/henry-schein/
336,GXO Logistics,Organization,https://fortune.com/company/gxo-logistics/
337,Ball,Organization,https://fortune.com/company/ball/
338,Unum Group,Organization,https://fortune.com/company/unum-group/
339,Las Vegas Sands,Organization,https://fortune.com/company/las-vegas-sands/
340,Entergy,Organization,https://fortune.com/company/entergy/
341,Fifth Third Bancorp,Organization,https://fortune.com/company/fifth-third-bancorp/
342,Graybar Electric,Organization,https://fortune.com/company/graybar-electric/
343,DXC Technology,Organization,https://fortune.com/company/dxc-technology/
344,Alcoa,Organization,https://fortune.com/company/alcoa/
345,Assurant,Organization,https://fortune.com/company/assurant/
346,Ryder System,Organization,https://fortune.com/company/ryder-system/
347,Intercontinental Exchange,Organization,https://fortune.com/company/intercontinental-exchange/
348,Cincinnati Financial,Organization,https://fortune.com/company/cincinnati-financial/
349,Chewy,Organization,https://fortune.com/company/chewy/
350,Community Health Systems,Organization,https://fortune.com/company/community-health-systems/
350,Huntington Bancshares,Organization,https://fortune.com/company/huntington-bancshares/
352,Huntington Ingalls Industries,Organization,https://fortune.com/company/huntington-ingalls-industries/
353,Wayfair,Organization,https://fortune.com/company/wayfair/
354,Lumen Technologies,Organization,https://fortune.com/company/centurylink/
355,Ulta Beauty,Organization,https://fortune.com/company/ulta-beauty/
356,Crown Holdings,Organization,https://fortune.com/company/crown-holdings/
357,Airbnb,Organization,https://fortune.com/company/airbnb/
358,AES,Organization,https://fortune.com/company/aes/
359,Norfolk Southern,Organization,https://fortune.com/company/norfolk-southern/
360,Public Service Enterprise Group,Organization,https://fortune.com/company/public-service-enterprise-group/
361,KLA,Organization,https://fortune.com/company/kla-tencor/
362,Expand Energy,Organization,https://fortune.com/company/chesapeake-energy/
363,Hormel Foods,Organization,https://fortune.com/company/hormel-foods/
364,Darden Restaurants,Organization,https://fortune.com/company/darden-restaurants/
365,Citizens Financial Group,Organization,https://fortune.com/company/citizens-financial-group/
366,Mosaic,Organization,https://fortune.com/company/mosaic/
367,Hilton Worldwide Holdings,Organization,https://fortune.com/company/hilton-worldwide-holdings/
368,Air Products & Chemicals,Organization,https://fortune.com/company/air-products-chemicals/
369,Jacobs Solutions,Organization,https://fortune.com/company/jacobs-engineering-group/
370,Vertex Pharmaceuticals,Organization,https://fortune.com/company/vertex-pharmaceuticals/
371,J.B. Hunt Transport Services,Organization,https://fortune.com/company/j-b-hunt-transport-services/
372,Booz Allen Hamilton Holding,Organization,https://fortune.com/company/booz-allen-hamilton/
373,Williams,Organization,https://fortune.com/company/williams/
374,Chipotle Mexican Grill,Organization,https://fortune.com/company/chipotle-mexican-grill/
375,Yum China Holdings,Organization,https://fortune.com/company/yum-china-holdings/
376,Oscar Health,Organization,https://fortune.com/company/oscar-health/
377,Hershey,Organization,https://fortune.com/company/hershey/
378,Motorola Solutions,Organization,https://fortune.com/company/motorola-solutions/
379,Equitable Holdings,Organization,https://fortune.com/company/equitable-holdings/
380,Avis Budget Group,Organization,https://fortune.com/company/avis-budget-group/
381,Conagra Brands,Organization,https://fortune.com/company/conagra-brands/
382,Baxter International,Organization,https://fortune.com/company/baxter-international/
383,Burlington Stores,Organization,https://fortune.com/company/burlington-stores/
384,Caesars Entertainment,Organization,https://fortune.com/company/eldorado-resorts/
385,Owens Corning,Organization,https://fortune.com/company/owens-corning/
386,KeyCorp,Organization,https://fortune.com/company/keycorp/
387,Thrivent Financial,Organization,https://fortune.com/company/thrivent-financial-for-lutherans/
388,Westlake,Organization,https://fortune.com/company/westlake-chemical/
389,Westinghouse Air Brake,Organization,https://fortune.com/company/westinghouse-air-brake/
390,Molson Coors Beverage,Organization,https://fortune.com/company/molson-coors-brewing/
391,Lululemon athletica,Organization,https://fortune.com/company/lululemon-athletica/
392,FM,Organization,https://fortune.com/company/fm-global/
393,Ebay,Organization,https://fortune.com/company/ebay/
394,Expeditors Intl. of Washington,Organization,https://fortune.com/company/expeditors-intl-of-washington/
395,Quest Diagnostics,Organization,https://fortune.com/company/quest-diagnostics/
396,Analog Devices,Organization,https://fortune.com/company/analog-devices/
397,Andersons,Organization,https://fortune.com/company/andersons/
398,Gold.com,Organization,https://fortune.com/company/a-mark-precious-metals/
399,Toll Brothers,Organization,https://fortune.com/company/toll-brothers/
400,International Flavors & Fragrances,Organization,https://fortune.com/company/international-flavors-fragrances/
401,Welltower,Organization,https://fortune.com/company/welltower/
402,Jefferies Financial Group,Organization,https://fortune.com/company/leucadia-national/
403,Autoliv,Organization,https://fortune.com/company/autoliv/
404,Mohawk Industries,Organization,https://fortune.com/company/mohawk-industries/
405,Delek US Holdings,Organization,https://fortune.com/company/delek-us-holdings/
406,Fidelity National Information (FIS),Organization,https://fortune.com/company/fidelity-national-information-services/
407,Accendra Health,Organization,https://fortune.com/company/owens-minor/
408,American Tower,Organization,https://fortune.com/company/american-tower/
409,NVR,Organization,https://fortune.com/company/nvr/
410,Interactive Brokers Group,Organization,https://fortune.com/company/interactive-brokers-group/
411,Oshkosh,Organization,https://fortune.com/company/oshkosh/
412,Cintas,Organization,https://fortune.com/company/cintas/
413,Campbell's,Organization,https://fortune.com/company/campbell-soup/
414,Vertiv Holdings,Organization,https://fortune.com/company/vertiv-holdings/
415,Global Payments,Organization,https://fortune.com/company/global-payments/
416,Constellation Brands,Organization,https://fortune.com/company/constellation-brands/
417,AGCO,Organization,https://fortune.com/company/agco/
418,Intuitive Surgical,Organization,https://fortune.com/company/intuitive-surgical/
419,Ace Hardware,Organization,https://fortune.com/company/ace-hardware-corporation/
420,Dana,Organization,https://fortune.com/company/dana/
421,Biogen,Organization,https://fortune.com/company/biogen/
422,News Corp.,Organization,https://fortune.com/company/news-corp/
423,Concentrix,Organization,https://fortune.com/company/concentrix/
424,WEC Energy Group,Organization,https://fortune.com/company/wec-energy-group/
425,VF,Organization,https://fortune.com/company/vf/
426,Seaboard,Organization,https://fortune.com/company/seaboard/
427,Icahn Enterprises,Organization,https://fortune.com/company/icahn-enterprises/
428,Regions Financial,Organization,https://fortune.com/company/regions-financial/
429,Thor Industries,Organization,https://fortune.com/company/thor-industries/
430,Workday,Organization,https://fortune.com/company/workday/
431,Celanese,Organization,https://fortune.com/company/celanese/
432,Western Digital,Organization,https://fortune.com/company/western-digital/
433,QVC Group,Organization,https://fortune.com/company/qurate-retail/
434,Zoetis,Organization,https://fortune.com/company/zoetis/
435,CenterPoint Energy,Organization,https://fortune.com/company/centerpoint-energy/
436,Equinix,Organization,https://fortune.com/company/equinix/
437,Palo Alto Networks,Organization,https://fortune.com/company/palo-alto-networks/
438,APA,Organization,https://fortune.com/company/apache/
439,Old Republic International,Organization,https://fortune.com/company/old-republic-international/
440,Comfort Systems USA,Organization,https://fortune.com/company/comfort-systems-usa/
441,JetBlue Airways,Organization,https://fortune.com/company/jetblue-airways/
442,PPL,Organization,https://fortune.com/company/ppl/
443,Xylem,Organization,https://fortune.com/company/xylem/
444,Arista Networks,Organization,https://fortune.com/company/arista-networks/
