model,hypothesis,contrast,estimate,std_error,t_stat,p_value,stars,direction,support,n,inc_controls,inc_time,inc_company
M3_Human_coded,H1,Weighted Humor Effect (vs non-humorous),1.008849,0.086618,11.6471,0.0,***,positive,supported,3574,True,True,False
M3_Human_coded,H2-1,Aggressive − Other humor (weighted avg),1.468577,0.20085,7.3118,0.0,***,positive,supported,3574,True,True,False
M3_Human_coded,H2-2,Aggressive − SELF (se+sd weighted avg),1.39096,0.215487,6.4549,0.0,***,positive,supported,3574,True,True,False
M3_Human_coded,H2-3,Aggressive − Affiliative,1.533335,0.211322,7.2559,0.0,***,positive,supported,3574,True,True,False
M3_Human_coded,H2-3,Aggressive − Self-Enhancing,1.489566,0.218526,6.8164,0.0,***,positive,supported,3574,True,True,False
M3_Human_coded,H2-3,Aggressive − Self-Defeating,0.449549,0.38987,1.1531,0.248958,,positive,not_supported,3574,True,True,False
M4_Human_coded,H1,Weighted Humor Effect (vs non-humorous),0.218941,0.054188,4.0404,5.5e-05,***,positive,supported,3574,True,True,True
M4_Human_coded,H2-1,Aggressive − Other humor (weighted avg),0.333472,0.118629,2.811,0.004966,***,positive,supported,3574,True,True,True
M4_Human_coded,H2-2,Aggressive − SELF (se+sd weighted avg),0.355166,0.127248,2.7911,0.005281,***,positive,supported,3574,True,True,True
M4_Human_coded,H2-3,Aggressive − Affiliative,0.315372,0.124786,2.5273,0.011539,**,positive,supported,3574,True,True,True
M4_Human_coded,H2-3,Aggressive − Self-Enhancing,0.41513,0.129253,3.2118,0.001331,***,positive,supported,3574,True,True,True
M4_Human_coded,H2-3,Aggressive − Self-Defeating,-0.217319,0.226397,-0.9599,0.337172,,negative,not_supported,3574,True,True,True
