model,term,coefficient,std_error,t_stat,p_value,stars,n,k,df_resid,r_squared,adj_r_squared,inc_controls,inc_time,inc_company
M2_Human_coded,self_defeating,1.73843,0.38132,4.559,5e-06,***,3574,8,3566,0.101305,0.099541,True,False,False
M2_Human_coded,text_length,-0.000774,0.000311,-2.489,0.012854,**,3574,8,3566,0.101305,0.099541,True,False,False
M2_Human_coded,hashtag_count,-0.562067,0.055928,-10.0499,0.0,***,3574,8,3566,0.101305,0.099541,True,False,False
M2_Human_coded,mention_count,-0.198549,0.053323,-3.7235,0.0002,***,3574,8,3566,0.101305,0.099541,True,False,False
M3_Human_coded,intercept,3.651287,1.449741,2.5186,0.011827,**,3574,30,3544,0.260949,0.254902,True,True,False
M3_Human_coded,aggressive,2.288907,0.196549,11.6455,0.0,***,3574,30,3544,0.260949,0.254902,True,True,False
M3_Human_coded,affiliative,0.755571,0.111181,6.7959,0.0,***,3574,30,3544,0.260949,0.254902,True,True,False
M3_Human_coded,self_enhancing,0.79934,0.124238,6.434,0.0,***,3574,30,3544,0.260949,0.254902,True,True,False
M3_Human_coded,self_defeating,1.839358,0.348025,5.2851,0.0,***,3574,30,3544,0.260949,0.254902,True,True,False
M3_Human_coded,text_length,-0.00147,0.000287,-5.1188,0.0,***,3574,30,3544,0.260949,0.254902,True,True,False
M3_Human_coded,hashtag_count,-0.533783,0.052259,-10.2141,0.0,***,3574,30,3544,0.260949,0.254902,True,True,False
M3_Human_coded,mention_count,-0.075977,0.049435,-1.5369,0.124404,,3574,30,3544,0.260949,0.254902,True,True,False
M4_Human_coded,intercept,3.136103,1.477671,2.1223,0.033881,**,3574,127,3447,0.763394,0.754745,True,True,True
M4_Human_coded,aggressive,0.509605,0.117433,4.3395,1.5e-05,***,3574,127,3447,0.763394,0.754745,True,True,True
M4_Human_coded,affiliative,0.194234,0.067165,2.8919,0.003853,***,3574,127,3447,0.763394,0.754745,True,True,True
M4_Human_coded,self_enhancing,0.094476,0.076259,1.2389,0.215477,,3574,127,3447,0.763394,0.754745,True,True,True
M4_Human_coded,self_defeating,0.726924,0.204043,3.5626,0.000372,***,3574,127,3447,0.763394,0.754745,True,True,True
M4_Human_coded,text_length,0.000349,0.000174,2.004,0.045153,**,3574,127,3447,0.763394,0.754745,True,True,True
M4_Human_coded,hashtag_count,0.115527,0.033969,3.401,0.000679,***,3574,127,3447,0.763394,0.754745,True,True,True
M4_Human_coded,mention_count,-0.153499,0.02952,-5.1997,0.0,***,3574,127,3447,0.763394,0.754745,True,True,True
