category,variable,VIF,R2_aux,model,inc_controls,inc_time,inc_company,type,n,k,matrix_rank,df_resid,condition_number,rank_deficient
vif,AggressiveIntensity,4.6789,0.786277,M3_Full_sample,True,True,False,,,,,,,
vif,AggressiveIntensity_sq,3.6957,0.729414,M3_Full_sample,True,True,False,,,,,,,
vif,mean_text_length,1.5748,0.364993,M3_Full_sample,True,True,False,,,,,,,
vif,mean_hashtag_count,1.1423,0.124597,M3_Full_sample,True,True,False,,,,,,,
vif,mean_mention_count,1.0849,0.078249,M3_Full_sample,True,True,False,,,,,,,
vif,log_total_posts,1.0677,0.063381,M3_Full_sample,True,True,False,,,,,,,
vif,aggressive,1.0664,0.062306,M4_Full_sample,True,True,True,,,,,,,
vif,affiliative,1.0771,0.071554,M4_Full_sample,True,True,True,,,,,,,
vif,self_enhancing,1.0656,0.061557,M4_Full_sample,True,True,True,,,,,,,
vif,self_defeating,1.0109,0.01077,M4_Full_sample,True,True,True,,,,,,,
vif,text_length,1.1192,0.106506,M4_Full_sample,True,True,True,,,,,,,
vif,hashtag_count,1.0434,0.041608,M4_Full_sample,True,True,True,,,,,,,
vif,mention_count,1.0242,0.023601,M4_Full_sample,True,True,True,,,,,,,
vif,AggressiveIntensity,4.6789,0.786277,M4_Full_sample,True,True,True,,,,,,,
vif,AggressiveIntensity_sq,3.6957,0.729414,M4_Full_sample,True,True,True,,,,,,,
vif,mean_text_length,1.5748,0.364993,M4_Full_sample,True,True,True,,,,,,,
vif,mean_hashtag_count,1.1423,0.124597,M4_Full_sample,True,True,True,,,,,,,
vif,mean_mention_count,1.0849,0.078249,M4_Full_sample,True,True,True,,,,,,,
vif,log_total_posts,1.0677,0.063381,M4_Full_sample,True,True,True,,,,,,,
vif,aggressive,1.0288,0.027958,M1_Human_coded,False,False,False,,,,,,,
vif,affiliative,1.0641,0.060243,M1_Human_coded,False,False,False,,,,,,,
vif,self_enhancing,1.0591,0.055841,M1_Human_coded,False,False,False,,,,,,,
vif,self_defeating,1.0093,0.009213,M1_Human_coded,False,False,False,,,,,,,
vif,AggressiveIntensity,5.6698,0.823628,M1_Human_coded,False,False,False,,,,,,,
vif,AggressiveIntensity_sq,5.6698,0.823628,M1_Human_coded,False,False,False,,,,,,,
vif,aggressive,1.05,0.047598,M2_Human_coded,True,False,False,,,,,,,
vif,affiliative,1.0733,0.068259,M2_Human_coded,True,False,False,,,,,,,
vif,self_enhancing,1.0619,0.058273,M2_Human_coded,True,False,False,,,,,,,
vif,self_defeating,1.0148,0.014601,M2_Human_coded,True,False,False,,,,,,,
vif,text_length,1.0621,0.058493,M2_Human_coded,True,False,False,,,,,,,
vif,hashtag_count,1.0361,0.034883,M2_Human_coded,True,False,False,,,,,,,
vif,mention_count,1.0267,0.026003,M2_Human_coded,True,False,False,,,,,,,
vif,AggressiveIntensity,6.6359,0.849304,M2_Human_coded,True,False,False,,,,,,,
vif,AggressiveIntensity_sq,6.4161,0.844141,M2_Human_coded,True,False,False,,,,,,,
vif,mean_text_length,1.1041,0.094259,M2_Human_coded,True,False,False,,,,,,,
vif,mean_hashtag_count,1.061,0.057496,M2_Human_coded,True,False,False,,,,,,,
vif,mean_mention_count,1.0282,0.027454,M2_Human_coded,True,False,False,,,,,,,
vif,log_total_posts,1.1491,0.129786,M2_Human_coded,True,False,False,,,,,,,
vif,aggressive,1.05,0.047598,M3_Human_coded,True,True,False,,,,,,,
vif,affiliative,1.0733,0.068259,M3_Human_coded,True,True,False,,,,,,,
vif,self_enhancing,1.0619,0.058273,M3_Human_coded,True,True,False,,,,,,,
vif,self_defeating,1.0148,0.014601,M3_Human_coded,True,True,False,,,,,,,
vif,text_length,1.0621,0.058493,M3_Human_coded,True,True,False,,,,,,,
vif,hashtag_count,1.0361,0.034883,M3_Human_coded,True,True,False,,,,,,,
vif,mention_count,1.0267,0.026003,M3_Human_coded,True,True,False,,,,,,,
vif,AggressiveIntensity,6.6359,0.849304,M3_Human_coded,True,True,False,,,,,,,
vif,AggressiveIntensity_sq,6.4161,0.844141,M3_Human_coded,True,True,False,,,,,,,
vif,mean_text_length,1.1041,0.094259,M3_Human_coded,True,True,False,,,,,,,
vif,mean_hashtag_count,1.061,0.057496,M3_Human_coded,True,True,False,,,,,,,
vif,mean_mention_count,1.0282,0.027454,M3_Human_coded,True,True,False,,,,,,,
vif,log_total_posts,1.1491,0.129786,M3_Human_coded,True,True,False,,,,,,,
vif,aggressive,1.05,0.047598,M4_Human_coded,True,True,True,,,,,,,
vif,affiliative,1.0733,0.068259,M4_Human_coded,True,True,True,,,,,,,
vif,self_enhancing,1.0619,0.058273,M4_Human_coded,True,True,True,,,,,,,
vif,self_defeating,1.0148,0.014601,M4_Human_coded,True,True,True,,,,,,,
vif,text_length,1.0621,0.058493,M4_Human_coded,True,True,True,,,,,,,
vif,hashtag_count,1.0361,0.034883,M4_Human_coded,True,True,True,,,,,,,
vif,mention_count,1.0267,0.026003,M4_Human_coded,True,True,True,,,,,,,
vif,AggressiveIntensity,6.6359,0.849304,M4_Human_coded,True,True,True,,,,,,,
vif,AggressiveIntensity_sq,6.4161,0.844141,M4_Human_coded,True,True,True,,,,,,,
vif,mean_text_length,1.1041,0.094259,M4_Human_coded,True,True,True,,,,,,,
vif,mean_hashtag_count,1.061,0.057496,M4_Human_coded,True,True,True,,,,,,,
vif,mean_mention_count,1.0282,0.027454,M4_Human_coded,True,True,True,,,,,,,
vif,log_total_posts,1.1491,0.129786,M4_Human_coded,True,True,True,,,,,,,
rank,,,,M1_Full_sample,False,False,False,H1H2,68039,5,5,68034,11.61,False
rank,,,,M1_Full_sample,False,False,False,H3,1420,3,3,1417,51.22,False
rank,,,,M2_Full_sample,True,False,False,H1H2,68039,8,8,68031,2566.19,False
rank,,,,M2_Full_sample,True,False,False,H3,1420,7,7,1413,10934.5,False
rank,,,,M3_Full_sample,True,True,False,H1H2,68039,32,32,68007,220366.6,False
rank,,,,M3_Full_sample,True,True,False,H3,1420,23,23,1397,28620.17,False
rank,,,,M4_Full_sample,True,True,True,H1H2,68039,130,130,67909,220497.64,False
rank,,,,M4_Full_sample,True,True,True,H3,1420,121,121,1299,29443.59,False
rank,,,,M1_Human_coded,False,False,False,H1H2,3574,5,5,3569,8.59,False
rank,,,,M1_Human_coded,False,False,False,H3,925,3,3,922,31.99,False
rank,,,,M2_Human_coded,True,False,False,H1H2,3574,8,8,3566,1967.32,False
rank,,,,M2_Human_coded,True,False,False,H3,925,7,7,918,7257.78,False
rank,,,,M3_Human_coded,True,True,False,H1H2,3574,30,30,3544,28257.74,False
rank,,,,M3_Human_coded,True,True,False,H3,925,21,21,904,13066.04,False
rank,,,,M4_Human_coded,True,True,True,H1H2,3574,127,127,3447,52103.44,False
rank,,,,M4_Human_coded,True,True,True,H3,925,118,118,807,33892.24,False
