no,id,tweet_url,text,text_preprocessed,final_humor_binary,final_humor_source
15,2057590262373785937,https://x.com/Wendys/status/2057590262373785937,@James_Holzhauer,<mention>,0,human
16,2057589742649192842,https://x.com/Wendys/status/2057589742649192842,it's not roasting if it's true 😌 @Jeopardy https://t.co/Da3mvCbEFB,it's not roasting if it's true 😌 <mention> <url>,1,human
17,2057509387422380064,https://x.com/Wendys/status/2057509387422380064,"From one redheaded baddie to another, we just wanted to formally invite you to compete in our Wendy’s look-alike contest this weekend for #worldredheadday

https://t.co/Plz0ZCapd2","from one redheaded baddie to another, we just wanted to formally invite you to compete in our wendy’s look-alike contest this weekend for worldredheadday <url>",1,human
18,2056803537636467033,https://x.com/Wendys/status/2056803537636467033,might change my name to Wemby’s and only serve french fries after last night’s game,might change my name to wemby’s and only serve french fries after last night’s game,1,human
19,2056485781707821429,https://x.com/Wendys/status/2056485781707821429,"If you have flaming locks of auburn hair and a face card that never declines, we have the perfect contest for you 😉
Wendy’s Look-Alike Contest is 3:30-5:30pm May 26th at Seaport Square in NYC! https://t.co/sEUa15Db7G","if you have flaming locks of auburn hair and a face card that never declines, we have the perfect contest for you 😉 wendy’s look-alike contest is 3:30-5:30pm may 26th at seaport square in nyc! <url>",0,human
20,2054933542442848652,https://x.com/Wendys/status/2054933542442848652,🟨🟦🍟 https://t.co/y9M33fb83V,🟨🟦🍟 <url>,0,human
21,2054257059399389281,https://x.com/Wendys/status/2054257059399389281,Did you know? One cookie dough frosty is the equivalent of 12 dancing fruit videos?,did you know? one cookie dough frosty is the equivalent of 12 dancing fruit videos?,1,human
22,2052863834503700774,https://x.com/Wendys/status/2052863834503700774,Their love story is almost as fresh as our beef ❤️ https://t.co/OydNIkjSGV,their love story is almost as fresh as our beef ❤️ <url>,1,human
23,2052727809756348567,https://x.com/Wendys/status/2052727809756348567,"Sir, this is a banana https://t.co/mtSrVrahpo","sir, this is a banana <url>",1,human
24,2052536825336729602,https://x.com/Wendys/status/2052536825336729602,"Rick Devens after last night’s tribal council 
@Rick_Devens @MrBeast #Survivor50",rick devens after last night’s tribal council <mention> <mention> survivor50,1,human
25,2052513071906619715,https://x.com/Wendys/status/2052513071906619715,The necklace of every mom’s dreams is here. Tag a mom and tell us why she deserves one below and we might just surprise a few ❤️ https://t.co/p9208Rvu4D,the necklace of every mom’s dreams is here. tag a mom and tell us why she deserves one below and we might just surprise a few ❤️ <url>,0,human
26,2050328345645133837,https://x.com/Wendys/status/2050328345645133837,new spicy chicken sandwich slaps https://t.co/nDUnSsL79R,new spicy chicken sandwich slaps <url>,0,human
27,2050307931778732264,https://x.com/Wendys/status/2050307931778732264,I'm trying to get as crispy as the bacon on our Baconator this Girls Trip 😎☀️🌺 https://t.co/8oGyl5S3GO,i'm trying to get as crispy as the bacon on our baconator this girls trip 😎☀️🌺 <url>,1,human
28,2050243908991328359,https://x.com/Wendys/status/2050243908991328359,"that bow is not just blue, it's not turquoise, it's not lapis, it's actually cerulean. https://t.co/mswbnGHkgg","that bow is not just blue, it's not turquoise, it's not lapis, it's actually cerulean. <url>",1,human
29,2048730947017654333,https://x.com/Wendys/status/2048730947017654333,"Sweet &amp; Sour is BACK… but only for a limited time unless y’all get loud. Go get the sauce in-restaurant + like, comment and share this post to save it. SWEET &amp; SOUR ARMY DO UR THING. https://t.co/ndF0vOrTpo","sweet &amp; sour is back… but only for a limited time unless y’all get loud. go get the sauce in-restaurant + like, comment and share this post to save it. sweet &amp; sour army do ur thing. <url>",0,human
30,2047463502583869524,https://x.com/Wendys/status/2047463502583869524,THIS would happen at Wendy's 👀 https://t.co/lNjM2bD6pb,this would happen at wendy's 👀 <url>,1,human
31,2042359791239024659,https://x.com/Wendys/status/2042359791239024659,She a baddie with her baddie friend (I'm the baddie friend),she a baddie with her baddie friend (i'm the baddie friend),1,human
32,2042345361310957745,https://x.com/Wendys/status/2042345361310957745,still rich still craving @wendys new spicy chicken sandwich #wendyspartner,still rich still craving <mention> new spicy chicken sandwich wendyspartner,0,human
33,2042276646711894177,https://x.com/Wendys/status/2042276646711894177,WE’VE GOT OUR WINNER🏆 the Pretzel Bacon Pub Burger is coming back to the menu soon https://t.co/jdeIQgJBnp,we’ve got our winner🏆 the pretzel bacon pub burger is coming back to the menu soon <url>,0,human
34,2041987332509782141,https://x.com/Wendys/status/2041987332509782141,The universe called. It said add me on Co-Star. @ wendys_official https://t.co/7HYmQbBfv7,the universe called. it said add me on co-star. @ wendys_official <url>,1,human
35,2041526924149690528,https://x.com/Wendys/status/2041526924149690528,"Offer only available in-restaurant upon request at participating U.S. Wendy’s on April 7, 2026. No purchase necessary. Limit one (1) free Small Fry and Small Frosty Classic per person. A la carte only. While supplies last.","offer only available in-restaurant upon request at participating u.s. wendy’s on april 7, 2026. no purchase necessary. limit one (1) free small fry and small frosty classic per person. a la carte only. while supplies last.",0,human
36,2041526852036988999,https://x.com/Wendys/status/2041526852036988999,🫵 YOU GET A FREE FRY AND FROSTY 🫵 AND YOU GET A FREE FRY AND FROSTY 🫵 AND YOU GET A FREE FRY AND FROSTY 🫵 https://t.co/OQ2OI18i5U,🫵 you get a free fry and frosty 🫵 and you get a free fry and frosty 🫵 and you get a free fry and frosty 🫵 <url>,0,human
37,2041332734883201293,https://x.com/Wendys/status/2041332734883201293,"Offer only available in-restaurant upon request at participating U.S. Wendy’s on April 7, 2026. No purchase necessary. Limit one (1) free Small Fry and Small Frosty Classic per person. A la carte only. While supplies last.","offer only available in-restaurant upon request at participating u.s. wendy’s on april 7, 2026. no purchase necessary. limit one (1) free small fry and small frosty classic per person. a la carte only. while supplies last.",0,human
38,2041332610928951432,https://x.com/Wendys/status/2041332610928951432,"WE HAVE A DUNK 🚨that means all of America gets free small fry and Frosty on April 7th. Not to be dramatic, but that was the greatest moment in dunk history.","we have a dunk 🚨that means all of america gets free small fry and frosty on april 7th. not to be dramatic, but that was the greatest moment in dunk history.",1,human
39,2041332103036412007,https://x.com/Wendys/status/2041332103036412007,GET UP RODDY GAYLE 🤯 https://t.co/Yz0SkHVdwC,get up roddy gayle 🤯 <url>,1,human
40,2041317545412546926,https://x.com/Wendys/status/2041317545412546926,Tip off time here we goooooo 🫣🏀,tip off time here we goooooo 🫣🏀,1,human
41,2041286930231373912,https://x.com/Wendys/status/2041286930231373912,"You: Wow I hope so and so team wins

Me: DUNKS DUNKS DUNKS DUNKS",you: wow i hope so and so team wins me: dunks dunks dunks dunks,1,human
42,2041274861461586245,https://x.com/Wendys/status/2041274861461586245,"Offer only available in-restaurant upon request at participating U.S. Wendy’s on April 7, 2026. No purchase necessary. Limit one (1) free Small Fry and Small Frosty Classic per person. A la carte only. While supplies last.","offer only available in-restaurant upon request at participating u.s. wendy’s on april 7, 2026. no purchase necessary. limit one (1) free small fry and small frosty classic per person. a la carte only. while supplies last.",0,human
43,2041274790418485741,https://x.com/Wendys/status/2041274790418485741,"Who shall fulfill the prophecy?!?!?!?!

Tag us when you see who unlocks it 👀 https://t.co/mmdG7uqh7a",who shall fulfill the prophecy?!?!?!?! tag us when you see who unlocks it 👀 <url>,1,human
44,2041273129272824054,https://x.com/Wendys/status/2041273129272824054,Get your votes in!,get your votes in!,0,human
45,2041272778461258077,https://x.com/Wendys/status/2041272778461258077,The Bourbon Bacon Cheeseburger and Pretzel Bacon Pub Burger have made it to our championship! Get your votes in to decide who will be crowned the winner and end up back on the menu https://t.co/VIgjuIMDNF,the bourbon bacon cheeseburger and pretzel bacon pub burger have made it to our championship! get your votes in to decide who will be crowned the winner and end up back on the menu <url>,1,human
46,2041270386478780749,https://x.com/Wendys/status/2041270386478780749,ONLY A FEW HOURS UNTIL SOMEONE DUNKS THEIR WAY INTO AMERICAN HISTORY,only a few hours until someone dunks their way into american history,1,human
47,2041241219603554599,https://x.com/Wendys/status/2041241219603554599,Tonight we are anti lay ups and anti fundamentals and pro massive jams,tonight we are anti lay ups and anti fundamentals and pro massive jams,1,human
48,2041187810728727004,https://x.com/Wendys/status/2041187810728727004,"Offer only available in-restaurant upon request at participating U.S. Wendy’s on April 7, 2026. No purchase necessary. Limit one (1) free Small Fry and Small Frosty Classic per person. A la carte only. While supplies last.","offer only available in-restaurant upon request at participating u.s. wendy’s on april 7, 2026. no purchase necessary. limit one (1) free small fry and small frosty classic per person. a la carte only. while supplies last.",0,human
49,2041187699764163013,https://x.com/Wendys/status/2041187699764163013,woke up thinking about who’s gonna dunk in the national championship game tonight to unlock a free small fry and Frosty for America tomorrow,woke up thinking about who’s gonna dunk in the national championship game tonight to unlock a free small fry and frosty for america tomorrow,1,human
50,2040186917312979266,https://x.com/Wendys/status/2040186917312979266,Oh good you made it. Introducing: The Official Dunks Menu 🏀 Order in the Wendy’s app all March Madness® long for the chance to win prizes in the Dunkstakes https://t.co/hI3HxiD7VV,oh good you made it. introducing: the official dunks menu 🏀 order in the wendy’s app all march madness® long for the chance to win prizes in the dunkstakes <url>,0,human
51,2040186893468393651,https://x.com/Wendys/status/2040186893468393651,YOU COULD GO ALL THE WAY https://t.co/JG6srzZZTh,you could go all the way <url>,1,human
52,2040186889131479302,https://x.com/Wendys/status/2040186889131479302,keep scrolling 👇👇👇 https://t.co/O8onjjhdsH,keep scrolling 👇👇👇 <url>,0,human
53,2040186885704683992,https://x.com/Wendys/status/2040186885704683992,Scroll for a #MarchMadness surprise 👀 🏀 https://t.co/FJ4PuPVkOq,scroll for a marchmadness surprise 👀 🏀 <url>,0,human
54,2039915068729541060,https://x.com/Wendys/status/2039915068729541060,"Offer only available in-restaurant upon request at participating U.S. Wendy’s on April 7, 2026. No purchase necessary. Limit one (1) free Small Fry and Small Frosty Classic per person. A la carte only. While supplies last. Not valid for digital or delivery orders or with any other discount or offer. No substitutions.","offer only available in-restaurant upon request at participating u.s. wendy’s on april 7, 2026. no purchase necessary. limit one (1) free small fry and small frosty classic per person. a la carte only. while supplies last. not valid for digital or delivery orders or with any other discount or offer. no substitutions.",0,human
55,2039900754387869992,https://x.com/Wendys/status/2039900754387869992,Help us give the people what they want! If there’s a dunk during the natty everyone in America gets a free small fry and classic Frosty on April 7th https://t.co/UnfLgpYclZ,help us give the people what they want! if there’s a dunk during the natty everyone in america gets a free small fry and classic frosty on april 7th <url>,0,human
56,2039789214120996993,https://x.com/Wendys/status/2039789214120996993,Congrats to these Official Wendy’s Dunk Team athletes on making it to the Final Four. You dunked into hoops. You dunked into Frosty. You dunked into our hearts. https://t.co/b6IeqJW8YD,congrats to these official wendy’s dunk team athletes on making it to the final four. you dunked into hoops. you dunked into frosty. you dunked into our hearts. <url>,1,human
57,2039714223337463977,https://x.com/Wendys/status/2039714223337463977,Vote!,vote!,0,human
58,2039714041212358979,https://x.com/Wendys/status/2039714041212358979,Vote!,vote!,0,human
59,2039713760378487274,https://x.com/Wendys/status/2039713760378487274,We’ve got our final four! It’s time to decide who will make it to the championship and ultimately end up back on the menu. Get your votes in now! https://t.co/Yat9QPbeFA,we’ve got our final four! it’s time to decide who will make it to the championship and ultimately end up back on the menu. get your votes in now! <url>,0,human
60,2038738065678811271,https://x.com/Wendys/status/2038738065678811271,Vote!,vote!,0,human
61,2038737809075565002,https://x.com/Wendys/status/2038737809075565002,Vote!,vote!,0,human
62,2038737532473803096,https://x.com/Wendys/status/2038737532473803096,Vote!,vote!,0,human
63,2038737391863869923,https://x.com/Wendys/status/2038737391863869923,Vote!,vote!,0,human
64,2038736376653554124,https://x.com/Wendys/status/2038736376653554124,"After a tough fight to make it on the bracket, we have our finalists! America, we want to hear from you! Tell us what you want to see back on the menu. Voting starts… NOW!

Better luck next time to the Sunroom, Salad SuperBar, Giant JBC, and Trex burger. https://t.co/Ypg0dTCSnT","after a tough fight to make it on the bracket, we have our finalists! america, we want to hear from you! tell us what you want to see back on the menu. voting starts… now! better luck next time to the sunroom, salad superbar, giant jbc, and trex burger. <url>",0,human
65,2037346325923278851,https://x.com/Wendys/status/2037346325923278851,Okay not a dunk but that’s STILL OUR GUY @jmilly2410,okay not a dunk but that’s still our guy <mention>,0,human
66,2037342589230408021,https://x.com/Wendys/status/2037342589230408021,"TREY KAUFMAN-RENN GAME-WINNER 🚨

PURDUE ADVANCES TO THE ELITE 8 🤯 https://t.co/CYj7ltsGXT",trey kaufman-renn game-winner 🚨 purdue advances to the elite 8 🤯 <url>,0,human
67,2036210859299455486,https://x.com/Wendys/status/2036210859299455486,“Fries + Frosty = The Best of Both Worlds” https://t.co/ixuIhrXwcR,“fries + frosty = the best of both worlds” <url>,0,human
68,2035444365800214846,https://x.com/Wendys/status/2035444365800214846,"On and off the court, Coen Carr can’t stop (won’t stop) dunking. https://t.co/pvLNEM1zSj","on and off the court, coen carr can’t stop (won’t stop) dunking. <url>",1,human
69,2035438297070096829,https://x.com/Wendys/status/2035438297070096829,Fears ➡️ Carr 🔨 https://t.co/Y7Wa3vl7X5,fears ➡️ carr 🔨 <url>,0,human
70,2035415108646490534,https://x.com/Wendys/status/2035415108646490534,I hope Yaxel doesn’t dunk his fries in his Frosty this violently https://t.co/l75Yp2p6YX,i hope yaxel doesn’t dunk his fries in his frosty this violently <url>,1,human
71,2035414922763350398,https://x.com/Wendys/status/2035414922763350398,"Tarris Reed stat line: buckets, boards, and dunks. Basically a Dunk Menu combo. https://t.co/rktHfBeiwV","tarris reed stat line: buckets, boards, and dunks. basically a dunk menu combo. <url>",1,human
72,2035411565797634404,https://x.com/Wendys/status/2035411565797634404,"YAXEL LENDEBORG. ABSOLUTELY DISGUSTING.

#MarchMadness https://t.co/GzFu2ZqKzo",yaxel lendeborg. absolutely disgusting. marchmadness <url>,1,human
73,2035213787020575096,https://x.com/Wendys/status/2035213787020575096,Tarris Reed throws it down 🔨 https://t.co/kGW6Ewxnon,tarris reed throws it down 🔨 <url>,1,human
74,2035089780396953839,https://x.com/Wendys/status/2035089780396953839,"“Hold my Frosty” – Coen Carr, probably. @Coencarr2 https://t.co/8hGMcWQRSr","“hold my frosty” – coen carr, probably. <mention> <url>",0,human
75,2035036863413805229,https://x.com/Wendys/status/2035036863413805229,"A championship-caliber roster that dunks on and off the court: introducing the Official Wendy’s Dunk Team 🤝Tune in for the dunks, then try your own with the Dunk Menu, only in the app. https://t.co/ACwbEmgmQE","a championship-caliber roster that dunks on and off the court: introducing the official wendy’s dunk team 🤝tune in for the dunks, then try your own with the dunk menu, only in the app. <url>",0,human
76,2034753037797904417,https://x.com/Wendys/status/2034753037797904417,Coen Carr AGAIN 😤 https://t.co/Hwfed2ciRF,coen carr again 😤 <url>,0,human
77,2033636564551524646,https://x.com/Wendys/status/2033636564551524646,truly life changing https://t.co/0tX6CyMW2P,truly life changing <url>,0,human
78,2033326344264888604,https://x.com/Wendys/status/2033326344264888604,Congrats to our Aunt on winning Best Supporting Actress! https://t.co/5EVi2wrFcH,congrats to our aunt on winning best supporting actress! <url>,0,human
79,2032563031024996510,https://x.com/Wendys/status/2032563031024996510,"Head to https://t.co/lkd5mlJoiZ to see how to apply. WHAT ARE YOU WAITING FOR?!?!?!?! IT’S $100,000 !!!!!

No purch nec. 50 US/DC, 18+. Ends 3/30. Rules: https://t.co/mNIqecbPOQ

#WendysCTOContest https://t.co/WD3ZxE9iee","head to <url> to see how to apply. what are you waiting for?!?!?!?! it’s $100,000 !!!!! no purch nec. 50 us/dc, 18+. ends 3/30. rules: <url> wendysctocontest <url>",0,human
80,2031884901557965271,https://x.com/Wendys/status/2031884901557965271,What the fries at the bottom of my biggie bag see when I go scavenging for them https://t.co/qO9JGCgaXs,what the fries at the bottom of my biggie bag see when i go scavenging for them <url>,1,human
81,2031738937870364955,https://x.com/Wendys/status/2031738937870364955,travis gonna love the drive thru at his mom's house https://t.co/ssjGEuifjO,travis gonna love the drive thru at his mom's house <url>,1,human
82,2030448455412252800,https://x.com/Wendys/status/2030448455412252800,"Travis and Jason Kelce’s mom, Donna Kelce, is in the middle of a home renovation ... TMZ has learned.

Read more: https://t.co/4KursdUOlk https://t.co/FsAv2tPWyz","travis and jason kelce’s mom, donna kelce, is in the middle of a home renovation ... tmz has learned. read more: <url> <url>",0,human
83,2030030225254359259,https://x.com/Wendys/status/2030030225254359259,"No purch nec. 50 US/DC, 18+. Ends 3/30. Rules: https://t.co/mNIqecbPOQ. To qualify tag @Wendys and #WendysCTOcontest","no purch nec. 50 us/dc, 18+. ends 3/30. rules: <url> to qualify tag <mention> and wendysctocontest",0,human
84,2030030060720164942,https://x.com/Wendys/status/2030030060720164942,.@GenoSmith3 in case things don’t work out in free agency we’re looking for a Chief Tasting Officer…,.<mention> in case things don’t work out in free agency we’re looking for a chief tasting officer…,1,coder2
85,2030021566528893409,https://x.com/Wendys/status/2030021566528893409,".@maurahiggins Since being a faithful fell through, here’s a job to get u more Birkins 
https://t.co/mNIqecbPOQ.

No purch nec. 50 US/DC, 18+. Ends 3/30. Rules: To qualify tag @Wendys and #WendysCTOContest https://t.co/RWQGC4PJmA",".<mention> since being a faithful fell through, here’s a job to get u more birkins <url> no purch nec. 50 us/dc, 18+. ends 3/30. rules: to qualify tag <mention> and wendysctocontest <url>",0,human
86,2029952811224514866,https://x.com/Wendys/status/2029952811224514866,"Breaking: The Raiders are releasing last season’s starting QB Geno Smith, barring a trade before the start of the new league year, sources tell @AdamSchefter.  

By releasing Smith, the Raiders will open up $8M in salary cap space while taking on $18.5M in dead money.

Get breaking news alerts from Adam Schefter through the ESPN App: https://t.co/wLAog0kJUB","breaking: the raiders are releasing last season’s starting qb geno smith, barring a trade before the start of the new league year, sources tell <mention>. by releasing smith, the raiders will open up $8m in salary cap space while taking on $18.5m in dead money. get breaking news alerts from adam schefter through the espn app: <url>",0,human
87,2029687889098068156,https://x.com/Wendys/status/2029687889098068156,"Our first Chief Tasting Officer application is in, and lets just say the bar is LOW. Apply now and make your video more than a McNibble. Link in bio to enter the first #WendysCTOcontest https://t.co/JXujBHw5pP","our first chief tasting officer application is in, and lets just say the bar is low. apply now and make your video more than a mcnibble. link in bio to enter the first wendysctocontest <url>",1,human
88,2029585417066946625,https://x.com/Wendys/status/2029585417066946625,Ever wish you could eat Wendy’s professionally? Now you can (oh and make $100k). See how to apply at https://t.co/mNIqecbPOQ #WendysCTOcontest https://t.co/bQZSEBjfAx,ever wish you could eat wendy’s professionally? now you can (oh and make $100k). see how to apply at <url> wendysctocontest <url>,0,human
89,2029290891425529996,https://x.com/Wendys/status/2029290891425529996,This is what it looks like when you don’t have to pretend to like your “product”,this is what it looks like when you don’t have to pretend to like your “product”,0,coder2
90,2029249180762341501,https://x.com/Wendys/status/2029249180762341501,Wendy’s US President posts new video amid burger battle with McDonald’s &amp; Burger King. https://t.co/R6IALUetCC,wendy’s us president posts new video amid burger battle with mcdonald’s &amp; burger king. <url>,1,human
91,2027127868791431190,https://x.com/Wendys/status/2027127868791431190,No trowaway votes around here… https://t.co/KuKsN6ZoOj,no trowaway votes around here… <url>,1,human
92,2027105501260202278,https://x.com/Wendys/status/2027105501260202278,i’ll take ew for 400 https://t.co/ShRmiSgG6W,i’ll take ew for 400 <url>,0,human
93,2026335579764343176,https://x.com/Wendys/status/2026335579764343176,McDonald's is launching the Big Arch burger in the US on March 3 https://t.co/U5n8YWn3U4,mcdonald's is launching the big arch burger in the us on march 3 <url>,0,human
94,2022846838726922625,https://x.com/Wendys/status/2022846838726922625,Based on the results from today’s dunk contest this would blow the judges minds https://t.co/6nP4bbhJ2h,based on the results from today’s dunk contest this would blow the judges minds <url>,0,human
95,2021355348100313369,https://x.com/Wendys/status/2021355348100313369,Sir this is a DAYTONA discount code,sir this is a daytona discount code,0,human
96,2021268433296367729,https://x.com/Wendys/status/2021268433296367729,"We're cooking something up.

Use code DAYTONA in the @Wendys app to get a $1 Classic or Spicy Chicken Sandwich with purchase, starting at the beginning of the race on Sunday 2/15 and available all day Monday 2/16. https://t.co/nsXc16Pwpj","we're cooking something up. use code daytona in the <mention> app to get a $1 classic or spicy chicken sandwich with purchase, starting at the beginning of the race on sunday 2/15 and available all day monday 2/16. <url>",0,human
97,2020685488789815407,https://x.com/Wendys/status/2020685488789815407,Has a kicker ever won MVP?,has a kicker ever won mvp?,1,human
98,2019221773569728518,https://x.com/Wendys/status/2019221773569728518,also okc receives a first round pick somehow @ShamsCharania https://t.co/WUoYrt9zY7,also okc receives a first round pick somehow <mention> <url>,0,human
99,2015935710449009033,https://x.com/Wendys/status/2015935710449009033,kind of seems like you just wanted a reason to eat nothing but wendys chili for a month?,kind of seems like you just wanted a reason to eat nothing but wendys chili for a month?,1,human
100,2014446063961178239,https://x.com/Wendys/status/2014446063961178239,If Scottie Scheffler wins this week I will only eat Wendy’s chili for a month. It’s not happening folks. ZERO chance.,if scottie scheffler wins this week i will only eat wendy’s chili for a month. it’s not happening folks. zero chance.,1,human
101,2014093064155889768,https://x.com/Wendys/status/2014093064155889768,We don’t chikin out on Sundays https://t.co/pA1BXe0Sc0,we don’t chikin out on sundays <url>,0,human
102,2012261535259726070,https://x.com/Wendys/status/2012261535259726070,"CLOWNS ARE GOIN DOWN. We’re live right now over on
https://t.co/P0GZ7DIn5g",clowns are goin down. we’re live right now over on <url>,1,human
103,2012226909820621147,https://x.com/Wendys/status/2012226909820621147,TENDYS VS CLOWNS. WHO U GOT? Streaming some College Football ‘26 later today on twitch https://t.co/FJANT6bsl5,tendys vs clowns. who u got? streaming some college football ‘26 later today on twitch <url>,1,coder2
104,2009777266847363171,https://x.com/Wendys/status/2009777266847363171,life is so crazy bc wdym i’m giving out bogo dave’s singles or doubles on doordash just bc some lady asked where’s the beef 42 years ago,life is so crazy bc wdym i’m giving out bogo dave’s singles or doubles on doordash just bc some lady asked where’s the beef 42 years ago,1,coder2
106,2001787208093614204,https://x.com/Wendys/status/2001787208093614204,DMing myself 75% off an energy drink rn lol,dming myself 75% off an energy drink rn lol,1,coder2
107,2001787158034866204,https://x.com/Wendys/status/2001787158034866204,We’ll go first! Here’s my sleep score 😴 https://t.co/TPfPApvtJj,we’ll go first! here’s my sleep score 😴 <url>,0,coder2
108,2001787068914225487,https://x.com/Wendys/status/2001787068914225487,"Attn insomniacs

drop your sleep score below &amp; i’ll give you an energy drink deal based on how much your score sucks (but hurry bc you have to share it by 12/22)",attn insomniacs drop your sleep score below &amp; i’ll give you an energy drink deal based on how much your score sucks (but hurry bc you have to share it by 12/22),1,coder2
109,1996659770724696551,https://x.com/Wendys/status/1996659770724696551,im hot and im cold https://t.co/BVtiB1CiRA,im hot and im cold <url>,0,coder2
110,1996272892787778047,https://x.com/Wendys/status/1996272892787778047,"we would never do “a nicer ham restaurant.”  Or would we, Tim Robinson? https://t.co/ztdidCUJQ5","we would never do “a nicer ham restaurant.” or would we, tim robinson? <url>",0,coder2
111,1993735456609972272,https://x.com/Wendys/status/1993735456609972272,Let’s get u to bed wendy https://t.co/DY3BoVEDUi,let’s get u to bed wendy <url>,0,coder2
112,1991966149815496874,https://x.com/Wendys/status/1991966149815496874,"don’t ask for her ig, ask for her wendy's order https://t.co/97FPbtJodn","don’t ask for her ig, ask for her wendy's order <url>",0,coder2
113,1988671571091980633,https://x.com/Wendys/status/1988671571091980633,.@fibulaa said we’re Tendy’s now and who are we to argue? Try our new chicken tendys today! https://t.co/8FccP5qRR5,.<mention> said we’re tendy’s now and who are we to argue? try our new chicken tendys today! <url>,1,coder2
114,1980393481068831176,https://x.com/Wendys/status/1980393481068831176,ok so maybe don’t hang it in the louvre,ok so maybe don’t hang it in the louvre,1,coder2
115,1976057070555132086,https://x.com/Wendys/status/1976057070555132086,Canceling my hair appointment at angie’s 1.5 salons,canceling my hair appointment at angie’s 1.5 salons,1,coder2
118,1965414892438958172,https://x.com/Wendys/status/1965414892438958172,Here comes the sun with SVG's @Wendys car lighting up Saturday's race with a breakfast worth getting up for. https://t.co/Im0FWviGot,here comes the sun with svg's <mention> car lighting up saturday's race with a breakfast worth getting up for. <url>,1,coder2
120,1957893154453041344,https://x.com/Wendys/status/1957893154453041344,Today is the most important day on the calendar (national baked potato day),today is the most important day on the calendar (national baked potato day),0,coder2
121,1948426303293579682,https://x.com/Wendys/status/1948426303293579682,i hope my misfortune comes with fries https://t.co/II0cqSofil,i hope my misfortune comes with fries <url>,0,coder2
122,1946349498231345200,https://x.com/Wendys/status/1946349498231345200,kinda want to see how they share chili,kinda want to see how they share chili,0,coder2
124,1942770676286505156,https://x.com/Wendys/status/1942770676286505156,Am I too chronically online,am i too chronically online,0,coder2
125,1942767810238632071,https://x.com/Wendys/status/1942767810238632071,She’s got bette davis friesssss,she’s got bette davis friesssss,0,coder2
126,1938000813210714481,https://x.com/Wendys/status/1938000813210714481,mommy? https://t.co/d3bMKmPhaE,mommy? <url>,0,coder2
127,1934989870239261157,https://x.com/Wendys/status/1934989870239261157,if you can guess what it is you win @TakisUSA https://t.co/P9mgUnvngw,if you can guess what it is you win <mention> <url>,0,coder2
128,1920237379442397554,https://x.com/Wendys/status/1920237379442397554,.@TSA do I still need a real id if I have a Frosty key tag,.<mention> do i still need a real id if i have a frosty key tag,0,coder2
