게시물ID,작성일,작성연도,작성월,작성시간,연도분기,log1p_engagement_total,유머예측이진,유머비율LOO분기,유머비율LOO분기_평균중심화,유머비율LOO분기_평균중심화제곱,유머X유머강도중심화,유머X유머강도중심화제곱,텍스트길이,해시태그수,멘션수,H3분석표본
1879575467256422436,2025-01-15,2025,1,17,2025-Q1,8.25062008,0,0.45,-0.130208349,0.0169542141,-0.0,0.0,33,0,0,1
1874908984093876692,2025-01-02,2025,1,20,2025-Q1,6.56244409,0,0.45,-0.130208349,0.0169542141,-0.0,0.0,66,0,0,1
1874116245085446380,2024-12-31,2024,12,15,2024-Q4,12.72847599,1,0.157895,-0.422313349,0.1783485647,-0.422313349,0.1783485647,218,0,0,1
1869446006234104036,2024-12-18,2024,12,18,2024-Q4,7.2211051,1,0.157895,-0.422313349,0.1783485647,-0.422313349,0.1783485647,55,0,0,1
1869053674779291778,2024-12-17,2024,12,16,2024-Q4,6.00141488,0,0.210526,-0.369682349,0.1366650391,-0.0,0.0,63,0,0,1
1868743844931797186,2024-12-16,2024,12,19,2024-Q4,5.84932478,0,0.210526,-0.369682349,0.1366650391,-0.0,0.0,105,0,0,1
1865181393224974679,2024-12-06,2024,12,23,2024-Q4,7.66902829,0,0.210526,-0.369682349,0.1366650391,-0.0,0.0,54,0,0,1
1864694795936899378,2024-12-05,2024,12,15,2024-Q4,8.90449433,0,0.210526,-0.369682349,0.1366650391,-0.0,0.0,295,1,0,1
1864373989759471899,2024-12-04,2024,12,18,2024-Q4,4.81218436,0,0.210526,-0.369682349,0.1366650391,-0.0,0.0,9,0,1,1
1864360277942075898,2024-12-04,2024,12,17,2024-Q4,6.15060277,0,0.210526,-0.369682349,0.1366650391,-0.0,0.0,48,0,0,1
1861447874346934316,2024-11-26,2024,11,16,2024-Q4,6.18001665,0,0.210526,-0.369682349,0.1366650391,-0.0,0.0,99,0,0,1
1859714761916555425,2024-11-21,2024,11,21,2024-Q4,7.068172,0,0.210526,-0.369682349,0.1366650391,-0.0,0.0,62,0,0,1
1859336640713330801,2024-11-20,2024,11,20,2024-Q4,6.28785856,0,0.210526,-0.369682349,0.1366650391,-0.0,0.0,65,0,0,1
1849526709361480181,2024-10-24,2024,10,19,2024-Q4,6.5220928,0,0.210526,-0.369682349,0.1366650391,-0.0,0.0,49,0,0,1
1847306069816594818,2024-10-18,2024,10,15,2024-Q4,7.98104976,1,0.157895,-0.422313349,0.1783485647,-0.422313349,0.1783485647,86,0,0,1
1846290474933670375,2024-10-15,2024,10,20,2024-Q4,6.70563909,0,0.210526,-0.369682349,0.1366650391,-0.0,0.0,89,0,1,1
1844751905022447697,2024-10-11,2024,10,14,2024-Q4,7.75104512,0,0.210526,-0.369682349,0.1366650391,-0.0,0.0,32,0,0,1
1843779609789378824,2024-10-08,2024,10,22,2024-Q4,9.78594199,0,0.210526,-0.369682349,0.1366650391,-0.0,0.0,43,0,0,1
1843405888624963775,2024-10-07,2024,10,21,2024-Q4,9.28126471,0,0.210526,-0.369682349,0.1366650391,-0.0,0.0,40,0,0,1
1842315701081530795,2024-10-04,2024,10,21,2024-Q4,8.5961892,0,0.210526,-0.369682349,0.1366650391,-0.0,0.0,102,0,0,1
1841548608854016300,2024-10-02,2024,10,18,2024-Q4,11.40662006,0,0.210526,-0.369682349,0.1366650391,-0.0,0.0,44,0,0,1
1841265943395082611,2024-10-01,2024,10,23,2024-Q4,7.215975,1,0.157895,-0.422313349,0.1783485647,-0.422313349,0.1783485647,83,0,0,1
1839768956812378574,2024-09-27,2024,9,20,2024-Q3,7.32712329,1,0.425,-0.155208349,0.0240896316,-0.155208349,0.0240896316,3,0,0,1
1839411514715090949,2024-09-26,2024,9,21,2024-Q3,7.20340552,0,0.45,-0.130208349,0.0169542141,-0.0,0.0,91,0,0,1
1839266928679845920,2024-09-26,2024,9,11,2024-Q3,4.34380542,0,0.45,-0.130208349,0.0169542141,-0.0,0.0,95,0,2,1
1836585948496162855,2024-09-19,2024,9,1,2024-Q3,5.73334128,1,0.425,-0.155208349,0.0240896316,-0.155208349,0.0240896316,117,1,0,1
1835137149286379953,2024-09-15,2024,9,2,2024-Q3,2.48490665,0,0.45,-0.130208349,0.0169542141,-0.0,0.0,70,0,1,1
