id,tweet_url,text,created_year,created_month,created_day,created_time,created_hour,created_date,year_month,year_quarter,pred_humor_final_050,p_humor_final_tfidf_logreg,reply_count,favorite_count,retweet_count,quote_count,bookmark_count,view_count,engagement_total,engagement_favorite_retweet,log1p_engagement_total,log1p_engagement_favorite_retweet,log1p_favorite_count,log1p_retweet_count,log1p_reply_count,log1p_quote_count,log1p_bookmark_count,log1p_view_count,humor_intensity_month,humor_intensity_quarter,humor_intensity_month_loo,humor_intensity_quarter_loo,month_total_posts,month_humor_posts,month_non_humor_posts,humor_frequency_month,humor_proportion_month,humor_proportion_month_loo,quarter_total_posts,quarter_humor_posts,quarter_non_humor_posts,humor_frequency_quarter,humor_proportion_quarter,humor_proportion_quarter_loo,pred_humor_type_group_model,p_type_aggressive_model,p_type_other_humor_model,pred_humor_type_group_model_050,is_aggressive_humor,is_other_humor,is_non_humor,is_predicted_humor,quarter_aggressive_posts,quarter_other_humor_posts,quarter_predicted_humor_posts,aggressive_humor_frequency_quarter,other_humor_frequency_quarter,aggressive_humor_proportion_quarter,other_humor_proportion_quarter,aggressive_humor_proportion_quarter_loo,other_humor_proportion_quarter_loo,aggressive_share_among_humor_quarter,aggressive_share_among_humor_quarter_loo,in_h3_aggressive_filtered,no,final_humor_binary,final_humor_source,final_humor_label_available,model_humor,p_humor,p_humor_ml,log1p_p_humor_final_tfidf_logreg,prediction_set,text_length,hashtag_count,mention_count,emoji_count
2054257059399389281,https://x.com/Wendys/status/2054257059399389281,Did you know? One cookie dough frosty is the equivalent of 12 dancing fruit videos?,2026,5,12,17:47:03,17,2026-05-12,2026-05,2026-Q2,1,0.583553,36,86,6,1,4,37369,133,92,4.89784,4.532599,4.465908,1.94591,3.610918,0.693147,1.609438,10.528624,0.695652,0.59322,0.681818,0.586207,23,16,7,16,0.695652,0.681818,59,35,24,35,0.59322,0.586207,other_humor,0.4787,0.5213,other_humor,0,1,0,1,9,26,35,9,26,0.15254237,0.44067797,0.15517241,0.43103448,0.25714286,0.26470588,1,21,1,human,1,1,0.6083,0.493219,0.459671,labeled,83,0,0,0
2052863834503700774,https://x.com/Wendys/status/2052863834503700774,Their love story is almost as fresh as our beef ❤️ https://t.co/OydNIkjSGV,2026,5,8,21:30:53,21,2026-05-08,2026-05,2026-Q2,1,0.646958,283,29200,2668,265,3228,3011951,35644,31868,10.481364,10.369389,10.281958,7.889459,5.648974,5.583496,8.079928,14.918099,0.695652,0.59322,0.681818,0.586207,23,16,7,16,0.695652,0.681818,59,35,24,35,0.59322,0.586207,aggressive,0.5726,0.4274,aggressive,1,0,0,1,9,26,35,9,26,0.15254237,0.44067797,0.13793103,0.44827586,0.25714286,0.23529412,1,22,1,human,1,1,0.6244,0.307728,0.498930,labeled,74,0,0,1
2052727809756348567,https://x.com/Wendys/status/2052727809756348567,"Sir, this is a banana https://t.co/mtSrVrahpo",2026,5,8,12:30:22,12,2026-05-08,2026-05,2026-Q2,0,0.428437,168,1710,126,24,82,273730,2110,1836,7.654917,7.515889,7.444833,4.844187,5.129899,3.218876,4.418841,12.519901,0.695652,0.59322,0.727273,0.603448,23,16,7,16,0.695652,0.727273,59,35,24,35,0.59322,0.603448,non_humor,0.5938,0.4062,non_humor,0,0,1,0,9,26,35,9,26,0.15254237,0.44067797,0.15517241,0.44827586,0.25714286,0.25714286,1,23,1,human,1,1,0.5260,0.08009,0.356581,labeled,45,0,0,0
2052536825336729602,https://x.com/Wendys/status/2052536825336729602,"Rick Devens after last night’s tribal council 
@Rick_Devens @MrBeast #Survivor50",2026,5,7,23:51:28,23,2026-05-07,2026-05,2026-Q2,1,0.548029,17,1930,62,4,39,176919,2052,1992,7.627057,7.597396,7.565793,4.143135,2.890372,1.609438,3.688879,12.083453,0.695652,0.59322,0.681818,0.586207,23,16,7,16,0.695652,0.681818,59,35,24,35,0.59322,0.586207,aggressive,0.5114,0.4886,aggressive,1,0,0,1,9,26,35,9,26,0.15254237,0.44067797,0.13793103,0.44827586,0.25714286,0.23529412,1,24,1,human,1,1,0.5785,0.467293,0.436982,labeled,80,1,2,0
2052513071906619715,https://x.com/Wendys/status/2052513071906619715,The necklace of every mom’s dreams is here. Tag a mom and tell us why she deserves one below and we might just surprise a few ❤️ https://t.co/p9208Rvu4D,2026,5,7,22:17:04,22,2026-05-07,2026-05,2026-Q2,0,0.490687,462,1124,111,16,75,129205,1788,1235,7.489412,7.119636,7.025538,4.718499,6.137727,2.833213,4.330733,11.769163,0.695652,0.59322,0.727273,0.603448,23,16,7,16,0.695652,0.727273,59,35,24,35,0.59322,0.603448,non_humor,0.4175,0.5825,non_humor,0,0,1,0,9,26,35,9,26,0.15254237,0.44067797,0.15517241,0.44827586,0.25714286,0.25714286,1,25,0,human,1,0,0.4289,0.242508,0.399237,labeled,152,0,0,1
2050328345645133837,https://x.com/Wendys/status/2050328345645133837,new spicy chicken sandwich slaps https://t.co/nDUnSsL79R,2026,5,1,21:35:45,21,2026-05-01,2026-05,2026-Q2,0,0.303148,1462,11796,1213,326,1446,3249308,16243,13009,9.695479,9.473474,9.375601,7.101676,7.288244,5.78996,7.277248,14.993953,0.695652,0.59322,0.727273,0.603448,23,16,7,16,0.695652,0.727273,59,35,24,35,0.59322,0.603448,non_humor,0.3007,0.6993,non_humor,0,0,1,0,9,26,35,9,26,0.15254237,0.44067797,0.15517241,0.44827586,0.25714286,0.25714286,1,26,0,human,1,0,0.3378,0.298357,0.264783,labeled,56,0,0,0
2050307931778732264,https://x.com/Wendys/status/2050307931778732264,I'm trying to get as crispy as the bacon on our Baconator this Girls Trip 😎☀️🌺 https://t.co/8oGyl5S3GO,2026,5,1,20:14:38,20,2026-05-01,2026-05,2026-Q2,1,0.666157,43,446,41,2,20,46571,552,487,6.315358,6.190315,6.102559,3.73767,3.78419,1.098612,3.044522,10.748755,0.695652,0.59322,0.681818,0.586207,23,16,7,16,0.695652,0.681818,59,35,24,35,0.59322,0.586207,other_humor,0.4686,0.5314,other_humor,0,1,0,1,9,26,35,9,26,0.15254237,0.44067797,0.15517241,0.43103448,0.25714286,0.26470588,1,27,1,human,1,1,0.6207,0.311594,0.510520,labeled,102,0,0,2
2050243908991328359,https://x.com/Wendys/status/2050243908991328359,"that bow is not just blue, it's not turquoise, it's not lapis, it's actually cerulean. https://t.co/mswbnGHkgg",2026,5,1,16:00:14,16,2026-05-01,2026-05,2026-Q2,1,0.692349,139,1510,86,18,38,80264,1791,1596,7.491088,7.375882,7.320527,4.465908,4.941642,2.944439,3.663562,11.293089,0.695652,0.59322,0.681818,0.586207,23,16,7,16,0.695652,0.681818,59,35,24,35,0.59322,0.586207,aggressive,0.6732,0.3268,aggressive,1,0,0,1,9,26,35,9,26,0.15254237,0.44067797,0.13793103,0.44827586,0.25714286,0.23529412,1,28,1,human,1,1,0.6642,0.281008,0.526118,labeled,110,0,0,0
2048730947017654333,https://x.com/Wendys/status/2048730947017654333,"Sweet &amp; Sour is BACK… but only for a limited time unless y’all get loud. Go get the sauce in-restaurant + like, comment and share this post to save it. SWEET &amp; SOUR ARMY DO UR THING. https://t.co/ndF0vOrTpo",2026,4,27,11:48:16,11,2026-04-27,2026-04,2026-Q2,1,0.501264,410,1009,249,128,81,462515,1877,1258,7.537963,7.138073,6.917706,5.521461,6.018593,4.859812,4.406719,13.044436,0.516129,0.59322,0.5,0.586207,31,16,15,16,0.516129,0.5,59,35,24,35,0.59322,0.586207,other_humor,0.3911,0.6089,other_humor,0,1,0,1,9,26,35,9,26,0.15254237,0.44067797,0.15517241,0.43103448,0.25714286,0.26470588,1,29,0,human,1,0,0.4310,0.44272,0.406307,labeled,214,0,0,0
2047463502583869524,https://x.com/Wendys/status/2047463502583869524,THIS would happen at Wendy's 👀 https://t.co/lNjM2bD6pb,2026,4,23,23:51:53,23,2026-04-23,2026-04,2026-Q2,1,0.618780,406,11821,894,174,617,4298623,13912,12715,9.540579,9.450616,9.377717,6.796824,6.008813,5.164786,6.426488,15.273806,0.516129,0.59322,0.5,0.586207,31,16,15,16,0.516129,0.5,59,35,24,35,0.59322,0.586207,other_humor,0.4077,0.5923,other_humor,0,1,0,1,9,26,35,9,26,0.15254237,0.44067797,0.15517241,0.43103448,0.25714286,0.26470588,1,30,1,human,1,1,0.5958,0.287961,0.481673,labeled,54,0,0,1
2042359791239024659,https://x.com/Wendys/status/2042359791239024659,She a baddie with her baddie friend (I'm the baddie friend),2026,4,9,21:51:34,21,2026-04-09,2026-04,2026-Q2,1,0.588033,169,1339,139,16,56,188105,1719,1478,7.45008,7.299121,7.200425,4.941642,5.135798,2.833213,4.043051,12.144761,0.516129,0.59322,0.5,0.586207,31,16,15,16,0.516129,0.5,59,35,24,35,0.59322,0.586207,aggressive,0.5358,0.4642,aggressive,1,0,0,1,9,26,35,9,26,0.15254237,0.44067797,0.13793103,0.44827586,0.25714286,0.23529412,1,31,1,human,1,1,0.6251,0.40964,0.462496,labeled,59,0,0,0
2042345361310957745,https://x.com/Wendys/status/2042345361310957745,still rich still craving @wendys new spicy chicken sandwich #wendyspartner,2026,4,9,20:54:13,20,2026-04-09,2026-04,2026-Q2,0,0.404467,371,6819,468,119,290,890197,8067,7287,8.995661,8.893984,8.827615,6.150603,5.918894,4.787492,5.673323,13.699199,0.516129,0.59322,0.533333,0.603448,31,16,15,16,0.516129,0.533333,59,35,24,35,0.59322,0.603448,non_humor,0.3275,0.6725,non_humor,0,0,1,0,9,26,35,9,26,0.15254237,0.44067797,0.15517241,0.44827586,0.25714286,0.25714286,1,32,0,human,1,0,0.3448,0.399699,0.339658,labeled,74,1,1,0
2042276646711894177,https://x.com/Wendys/status/2042276646711894177,WE’VE GOT OUR WINNER🏆 the Pretzel Bacon Pub Burger is coming back to the menu soon https://t.co/jdeIQgJBnp,2026,4,9,16:21:10,16,2026-04-09,2026-04,2026-Q2,0,0.367830,412,4930,266,169,577,10366059,6354,5196,8.756997,8.555837,8.503297,5.587249,6.023448,5.135798,6.359574,16.154048,0.516129,0.59322,0.533333,0.603448,31,16,15,16,0.516129,0.533333,59,35,24,35,0.59322,0.603448,non_humor,0.4852,0.5148,non_humor,0,0,1,0,9,26,35,9,26,0.15254237,0.44067797,0.15517241,0.44827586,0.25714286,0.25714286,1,33,0,human,1,0,0.4344,0.274562,0.313225,labeled,106,0,0,1
2041987332509782141,https://x.com/Wendys/status/2041987332509782141,The universe called. It said add me on Co-Star. @ wendys_official https://t.co/7HYmQbBfv7,2026,4,8,21:11:33,21,2026-04-08,2026-04,2026-Q2,1,0.601398,33,185,21,4,19,60714,262,206,5.572154,5.332719,5.225747,3.091042,3.526361,1.609438,2.995732,11.013946,0.516129,0.59322,0.5,0.586207,31,16,15,16,0.516129,0.5,59,35,24,35,0.59322,0.586207,other_humor,0.4895,0.5105,other_humor,0,1,0,1,9,26,35,9,26,0.15254237,0.44067797,0.15517241,0.43103448,0.25714286,0.26470588,1,34,1,human,1,1,0.6382,0.617407,0.470877,labeled,89,0,0,0
