"id","tweet_url","text","final_humor_binary","final_humor_source","final_humor_label_available","final_humor_type","final_humor_type_source","final_humor_type_available","final_humor_type_group","aggressive_humor","other_humor_flag","non_humor_flag","humor_missing_type","reply_count","favorite_count","retweet_count","quote_count","bookmark_count","engagement_total","engagement_favorite_retweet","log1p_engagement_total","log1p_engagement_favorite_retweet","log1p_favorite_count","log1p_retweet_count","log1p_reply_count","log1p_quote_count","log1p_bookmark_count"
"2047463502583869524","https://x.com/Wendys/status/2047463502583869524","THIS would happen at Wendy's 👀 https://t.co/lNjM2bD6pb","1","human","1","","missing","0","missing","0","0","0","1","406.0","11821.0","894.0","174.0","617.0","13912.0","12715.0","9.540578933841877","9.450616322030694","9.377717481384314","6.796823718274855","6.008813185442595","5.1647859739235145","6.42648845745769"
"2042359791239024659","https://x.com/Wendys/status/2042359791239024659","She a baddie with her baddie friend (I'm the baddie friend)","1","human","1","","missing","0","missing","0","0","0","1","169.0","1339.0","139.0","16.0","56.0","1719.0","1478.0","7.450079569807499","7.2991214627108","7.200424892944957","4.941642422609304","5.135798437050262","2.833213344056216","4.04305126783455"
"2042345361310957745","https://x.com/Wendys/status/2042345361310957745","still rich still craving @wendys new spicy chicken sandwich #wendyspartner","0","human","1","non_humor","non_humor","0","non_humor","0","0","1","0","371.0","6819.0","468.0","119.0","290.0","8067.0","7287.0","8.995660899074103","8.893984438939794","8.827614750837508","6.150602768446279","5.918893854273146","4.787491742782046","5.673323267171493"
"2042276646711894177","https://x.com/Wendys/status/2042276646711894177","WE’VE GOT OUR WINNER🏆 the Pretzel Bacon Pub Burger is coming back to the menu soon https://t.co/jdeIQgJBnp","0","human","1","non_humor","non_humor","0","non_humor","0","0","1","0","412.0","4930.0","266.0","169.0","577.0","6354.0","5196.0","8.756997183623554","8.555836815008442","8.503297086224126","5.58724865840025","6.023447592961033","5.135798437050262","6.359573868672378"
"2041987332509782141","https://x.com/Wendys/status/2041987332509782141","The universe called. It said add me on Co-Star. @ wendys_official https://t.co/7HYmQbBfv7","1","human","1","","missing","0","missing","0","0","0","1","33.0","185.0","21.0","4.0","19.0","262.0","206.0","5.572154032177765","5.332718793265369","5.225746673713202","3.091042453358316","3.5263605246161616","1.6094379124341003","2.995732273553991"
"2041526924149690528","https://x.com/Wendys/status/2041526924149690528","Offer only available in-restaurant upon request at participating U.S. Wendy’s on April 7, 2026. No purchase necessary. Limit one (1) free Small Fry and Small Frosty Classic per person. A la carte only. While supplies last.","0","human","1","non_humor","non_humor","0","non_humor","0","0","1","0","45.0","322.0","14.0","3.0","27.0","411.0","336.0","6.021023349349527","5.820082930352362","5.777652323222656","2.70805020110221","3.828641396489095","1.3862943611198906","3.332204510175204"
"2041526852036988999","https://x.com/Wendys/status/2041526852036988999","🫵 YOU GET A FREE FRY AND FROSTY 🫵 AND YOU GET A FREE FRY AND FROSTY 🫵 AND YOU GET A FREE FRY AND FROSTY 🫵 https://t.co/OQ2OI18i5U","0","human","1","non_humor","non_humor","0","non_humor","0","0","1","0","190.0","4762.0","257.0","80.0","774.0","6063.0","5019.0","8.710124927322207","8.521185212685776","8.46863300080086","5.552959584921617","5.25227342804663","4.394449154672439","6.652863029353347"
"2041332734883201293","https://x.com/Wendys/status/2041332734883201293","Offer only available in-restaurant upon request at participating U.S. Wendy’s on April 7, 2026. No purchase necessary. Limit one (1) free Small Fry and Small Frosty Classic per person. A la carte only. While supplies last.","0","human","1","non_humor","non_humor","0","non_humor","0","0","1","0","24.0","357.0","16.0","2.0","60.0","459.0","373.0","6.131226489483141","5.924255797414532","5.8805329864007","2.833213344056216","3.2188758248682006","1.0986122886681096","4.110873864173311"
"2041332610928951432","https://x.com/Wendys/status/2041332610928951432","WE HAVE A DUNK 🚨that means all of America gets free small fry and Frosty on April 7th. Not to be dramatic, but that was the greatest moment in dunk history.","1","human","1","","missing","0","missing","0","0","0","1","75.0","5342.0","313.0","46.0","648.0","6424.0","5655.0","8.76795190976342","8.640472207576408","8.583542571957771","5.749392985908253","4.330733340286331","3.8501476017100584","6.47543271670409"
"2041332103036412007","https://x.com/Wendys/status/2041332103036412007","GET UP RODDY GAYLE 🤯 https://t.co/Yz0SkHVdwC","1","human","1","","missing","0","missing","0","0","0","1","39.0","1067.0","126.0","23.0","57.0","1312.0","1193.0","7.180069874302796","7.085064293952548","6.97354301952014","4.844187086458591","3.6888794541139363","3.1780538303479458","4.060443010546419"
