source_file,file_type,raw_rows,detected_label_columns,detected_text_columns,detected_id_columns,detected_date_columns,usable_for_h1_presence,reason_if_not_usable
20260615wendy's/result/wendys_h1_time_fe_fullsample_binary_primary_dv_detail.csv,csv,8,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h1_time_fe_fullsample_binary_results.csv,csv,28,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h1_time_fe_human_vs_fullsample_comparison.csv,csv,8,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h1_time_fe_primary_human_results.csv,csv,28,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h1_time_fe_probability_primary_dv_detail.csv,csv,8,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h1_time_fe_probability_results.csv,csv,28,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h1_ttest_primary_human_label.csv,csv,14,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h1_ttest_supplemental_model_prediction.csv,csv,14,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h2_coder1_priority_diagnostics.csv,csv,1,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h2_coder1_priority_ols_full_labeled.csv,csv,7,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h2_coder1_priority_ols_humor_only.csv,csv,7,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h2_coder1_priority_ttest_aggressive_vs_other.csv,csv,14,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h2_diagnostics.csv,csv,1,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h2_existing_variable_candidates.csv,csv,25,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h2_four_type_diagnostics.csv,csv,1,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h2_four_type_distribution.csv,csv,4,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h2_four_type_mean_comparison.csv,csv,16,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h2_four_type_ols_affiliative_base.csv,csv,8,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h2_four_type_ols_pairwise_contrasts.csv,csv,24,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h2_four_type_pairwise_ttests.csv,csv,24,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h2_four_type_pooled_h2_recheck.csv,csv,8,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h2_full_sample_four_type_diagnostics.csv,csv,20,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h2_full_sample_four_type_distribution.csv,csv,5,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h2_full_sample_four_type_full_ols.csv,csv,8,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h2_full_sample_four_type_pairwise_ttests.csv,csv,24,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h2_full_sample_four_type_pooled_ols.csv,csv,8,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h2_full_sample_four_type_pooled_ttest.csv,csv,8,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h2_full_sample_four_type_probability_robustness.csv,csv,16,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h2_model_based_type_diagnostics.csv,csv,1,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h2_model_based_type_ols_full_predicted.csv,csv,8,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h2_model_based_type_ols_humor_only.csv,csv,8,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h2_model_based_type_probability_robustness.csv,csv,8,,,,,no,no explicit H1 presence label column
