tweet_id,fortune_rank,company_name,source_x_handle,humor_presence,humor_presence_score,humor_type,humor_type_score,aggressive_humor,affiliative_humor,self_enhancing_humor,self_defeating_humor,non_humorous,classification_source,model_name,classification_confidence,classification_version
1722985302921265231,1,Amazon,@amazon,1,0.722786,self_enhancing,0.350000,0,0,1,0,0,ml,existing_repository_full_chain_classifier,0.722786,existing_data_derived_humor_full_chain
1725514125738995740,1,Amazon,@amazon,0,0.502273,non_humorous,1.000000,0,0,0,0,1,ml,existing_repository_full_chain_classifier,0.497727,existing_data_derived_humor_full_chain
1859824817580466222,1,Amazon,@amazon,0,0.453201,non_humorous,1.000000,0,0,0,0,1,rule,existing_repository_full_chain_classifier,0.546799,existing_data_derived_humor_full_chain
1859844903741817286,1,Amazon,@amazon,0,0.416147,non_humorous,1.000000,0,0,0,0,1,ml,existing_repository_full_chain_classifier,0.583853,existing_data_derived_humor_full_chain
1859983029445493152,1,Amazon,@amazon,1,0.671930,self_enhancing,0.350000,0,0,1,0,0,rule,existing_repository_full_chain_classifier,0.671930,existing_data_derived_humor_full_chain
1860069938079367274,1,Amazon,@amazon,1,0.719544,self_enhancing,0.350000,0,0,1,0,0,ml,existing_repository_full_chain_classifier,0.719544,existing_data_derived_humor_full_chain
1727854626140012761,1,Amazon,@amazon,,0.632939,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.632939,existing_data_derived_humor_full_chain
1728005605883867380,1,Amazon,@amazon,0,0.587080,non_humorous,1.000000,0,0,0,0,1,rule,existing_repository_full_chain_classifier,0.587080,existing_data_derived_humor_full_chain
1728092140939669892,1,Amazon,@amazon,,0.594327,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.594327,existing_data_derived_humor_full_chain
1728108311978078300,1,Amazon,@amazon,,0.538384,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.538384,existing_data_derived_humor_full_chain
1994390822310056303,1,Amazon,@amazon,0,0.430368,non_humorous,1.000000,0,0,0,0,1,ml,existing_repository_full_chain_classifier,0.569632,existing_data_derived_humor_full_chain
1862557203162702104,1,Amazon,@amazon,1,0.692537,self_enhancing,0.350000,0,0,1,0,0,ml,existing_repository_full_chain_classifier,0.692537,existing_data_derived_humor_full_chain
1974225288859889831,1,Amazon,@amazon,0,0.517965,non_humorous,1.000000,0,0,0,0,1,ml,existing_repository_full_chain_classifier,0.482035,existing_data_derived_humor_full_chain
1710291520807399899,1,Amazon,@amazon,1,0.684817,self_defeating,0.800000,0,0,0,1,0,ml,existing_repository_full_chain_classifier,0.684817,existing_data_derived_humor_full_chain
1710291531326759258,1,Amazon,@amazon,1,0.712285,affiliative,0.350000,0,1,0,0,0,ml,existing_repository_full_chain_classifier,0.712285,existing_data_derived_humor_full_chain
1710291533038051683,1,Amazon,@amazon,0,0.596052,non_humorous,1.000000,0,0,0,0,1,rule,existing_repository_full_chain_classifier,0.596052,existing_data_derived_humor_full_chain
1710439206571405793,1,Amazon,@amazon,1,0.716475,self_enhancing,0.350000,0,0,1,0,0,ml,existing_repository_full_chain_classifier,0.716475,existing_data_derived_humor_full_chain
