file_path,matched_pattern,match_level,total_rows,humor_count,non_humor_count,unknown_or_excluded_count,aggressive_count,affiliative_count,self_enhancing_count,self_defeating_count,four_type_total,difference_from_slide_total,notes
20260618expand/classifier_improvement/data/labeling_candidates/fortune100_labeling_candidates_batch2.csv,none,no_match,1500,0,0,0,0,0,0,0,0,513,cols=candidate_id;sampling_stratum;fortune_rank;company_name;source_x_handle;tweet_id
20260618expand/classifier_improvement/h1_presence_only/expanded_h1_presence_training/data/expanded_h1_presence_training_dataset.csv,none,no_match,1550,685,865,0,0,0,0,0,0,563,cols=row_id;source;original_file;company_name;tweet_id;tweet_url
data/derived/humor/evaluation/humor_type_human_review_priority_sample.csv,none,no_match,346,0,0,0,0,0,0,0,0,641,cols=priority;segment;global_post_id;company_name;source_x_handle;text
20260615wendy's/result/wendys_final_humor_type_coder1_priority_audit.csv,none,no_match,310,309,1,0,108,127,65,16,316,677,cols=no;id;final_humor_binary;final_humor_source;coder1_type;human_type
20260615wendy's/data/wendys_full_sample_four_type_humor_classifier_dataset.csv,none,no_match,278,0,0,0,95,106,62,15,278,709,cols=no;id;text;label
20260615wendy's/data/wendys_h2_four_type_humor_dataset.csv,none,no_match,278,278,0,0,95,106,62,15,278,709,cols=id;tweet_url;text;created_year;created_month;created_day
20260615wendy's/data/wendys_model_based_humor_type_dataset.csv,none,no_match,278,278,0,0,95,106,62,15,278,709,cols=id;tweet_url;text;final_humor_label_available;final_humor_binary;final_humor_type_group
20260615wendy's/result/wendys_full_sample_four_type_humor_oof_error_audit.csv,none,no_match,278,0,0,0,0,0,0,0,0,709,cols=no;id;text;true_label;oof_pred;error_type
20260615wendy's/result/wendys_model_based_humor_type_oof_error_audit.csv,none,no_match,278,0,0,0,0,0,0,0,0,709,cols=id;tweet_url;text;final_humor_type_group;p_type_aggressive_model_oof;pred_humor_type_group_oof
20260618expand/classifier_improvement/h1_presence_only/wendys_all_labels_integration/diagnostics/wendys_label_source_inventory.csv,none,no_match,254,0,0,0,0,0,0,0,0,733,cols=source_file;file_type;raw_rows;detected_label_columns;detected_text_columns;detected_id_columns
20260618expand/classifier_improvement/h1_presence_only/wendys_all_labels_model/diagnostics/wendys_all_source_inventory.csv,none,no_match,254,0,0,0,0,0,0,0,0,733,cols=source_file;file_type;raw_rows;detected_label_columns;detected_text_columns;detected_id_columns
20260615wendy's/result/wendys_existing_variable_inventory.csv,none,no_match,226,0,0,0,0,0,0,0,0,761,cols=source_file;variable_name;inferred_variable_group;dtype;non_missing_n;missing_n
20260615wendy's/result/wendys_human168_tfidf_logreg_error_audit.csv,none,no_match,167,0,0,0,13,21,3,1,38,820,cols=id;tweet_url;text;human_humor_binary;oof_p_humor;oof_pred_humor
dashboard/data/analysis/sampling_audit_candidates.csv,none,no_match,150,0,0,0,0,0,0,0,0,837,cols=audit_reason;brand;post_id;created_at;tweet_url;text
data/analysis/sampling_audit_candidates.csv,none,no_match,150,0,0,0,0,0,0,0,0,837,cols=audit_reason;brand;post_id;created_at;tweet_url;text
20260618expand/classifier_improvement/h1_presence_only/integrated_collected_corpus/data/integrated_h1_presence_by_firm_summary.csv,none,no_match,146,0,0,0,0,0,0,0,0,841,cols=company_name;source_dataset;source_x_handle;total_posts;mean_humor_probability;humor_rate_t40
20260615wendy's/result/wendys_full_sample_four_type_humor_feature_weights.csv,none,no_match,140,0,0,0,0,0,0,0,0,847,cols=class;rank;feature;weight
20260618expand/classifier_improvement/h1_presence_only/integrated_collected_corpus/results/year_month_distribution.csv,none,no_match,133,0,0,0,0,0,0,0,0,854,cols=year_month;total_posts;humor_posts_t50;non_humor_posts_t50;humor_rate_t50;mean_humor_probability
20260618expand/classifier_improvement/h1_presence_only/temporal_distribution/results/year_month_distribution.csv,none,no_match,130,0,0,0,0,0,0,0,0,857,cols=year_month;total_posts;humor_posts_t50;non_humor_posts_t50;humor_rate_t50;mean_humor_probability
20260615wendy's/result/wendys_blind_human_humor_coding_key.csv,none,no_match,120,0,0,0,0,0,0,0,0,867,cols=coding_id;id;tweet_url;review_priority;humor_score;log1p_humor_score
20260615wendy's/result/wendys_blind_human_humor_coding_sheet.csv,none,no_match,120,0,0,0,0,0,0,0,0,867,cols=coding_id;id;tweet_url;created_year;created_month;created_day
20260615wendy's/result/wendys_fast_weak_supervised_human_review_sample.csv,none,no_match,120,0,0,0,0,0,0,0,0,867,cols=id;tweet_url;created_year;created_month;created_day;created_time
20260615wendy's/result/wendys_h1_three_post_format_diagnostics.csv,none,no_match,107,0,0,0,0,0,0,0,0,880,cols=metric;value
20260615wendy's/result/wendys_final_humor_presence_feature_weights.csv,none,no_match,100,0,0,0,0,0,0,0,0,887,cols=rank;direction;feature;coefficient
20260615wendy's/result/wendys_model_based_humor_type_feature_weights.csv,none,no_match,100,0,0,0,0,0,0,0,0,887,cols=feature;coefficient;direction
20260618expand/classifier_improvement/h1_presence_only/wendys_all_labels_model/diagnostics/top_feature_weights_model_c.csv,none,no_match,100,0,0,0,0,0,0,0,0,887,cols=model_id;direction;rank;feature;weight
20260618expand/data/diagnostics/fortune100_humor_classification_coverage.csv,none,no_match,100,0,0,0,0,0,0,0,0,887,cols=company_name;source_x_handle;post_count;classified_count;classification_missing_count;classification_available_rate
data/derived/humor/humor_presence_local_smoke_results.csv,none,no_match,100,2,18,80,0,0,0,0,0,887,cols=global_post_id;tweet_id;sample_group;company_name;text;humor_presence
data/derived/humor/humor_presence_local_smoke_review_sample.csv,none,no_match,100,2,18,80,0,0,0,0,0,887,cols=global_post_id;tweet_id;sample_group;company_name;text;humor_presence
data/derived/humor/humor_presence_local_smoke_v2_results.csv,none,no_match,100,7,22,71,0,0,0,0,0,887,cols=global_post_id;tweet_id;sample_group;company_name;text;humor_presence
data/audit/full_chain/humor_full_chain_company_summary.csv,none,no_match,99,0,0,0,0,0,0,0,0,888,cols=company_name;row_count;humor_count;non_humor_count;ambiguous_count;humor_rate
