sample_type,model_name,dv,iv,n,aggressive_n,other_humor_n,aggressive_mean,other_humor_mean,mean_difference,coefficient,p_value,r_squared,adj_r_squared,aic,bic,included_time_fe,number_of_time_variables,interpretation_flag
model_based_n564,M7_year_month_hour_fe,log1p_reply_count,is_aggressive_humor,564,200,364,4.908,4.706,0.202,0.223,0.1212,0.1769,0.1122,512.6643,694.7366,year_FE+month_FE+hour_FE,3,positive_not_significant
model_based_n564,M0_baseline,log1p_quote_count,is_aggressive_humor,564,200,364,3.2164,2.8869,0.3295,0.3295,0.0468,0.007,0.0052,713.57,722.2401,none,0,supports_H2
model_based_n564,M1_year_fe,log1p_quote_count,is_aggressive_humor,564,200,364,3.2164,2.8869,0.3295,0.4044,0.0153,0.0549,0.0396,701.6799,745.0304,year_FE,1,supports_H2
model_based_n564,M2_month_fe,log1p_quote_count,is_aggressive_humor,564,200,364,3.2164,2.8869,0.3295,0.2271,0.1587,0.1058,0.0863,676.4715,732.8272,month_FE,1,positive_not_significant
model_based_n564,M3_hour_fe,log1p_quote_count,is_aggressive_humor,564,200,364,3.2164,2.8869,0.3295,0.4295,0.0099,0.0881,0.0511,707.499,807.2052,hour_FE,1,supports_H2
model_based_n564,M4_year_month_fe,log1p_quote_count,is_aggressive_humor,564,200,364,3.2164,2.8869,0.3295,0.3312,0.043,0.1398,0.1081,670.5898,761.6259,year_FE+month_FE,2,supports_H2
model_based_n564,M5_year_hour_fe,log1p_quote_count,is_aggressive_humor,564,200,364,3.2164,2.8869,0.3295,0.4998,0.0029,0.1312,0.0823,696.187,830.5737,year_FE+hour_FE,2,supports_H2
model_based_n564,M6_month_hour_fe,log1p_quote_count,is_aggressive_humor,564,200,364,3.2164,2.8869,0.3295,0.3163,0.051,0.1786,0.1274,670.5859,817.9777,month_FE+hour_FE,2,weak_support
model_based_n564,M7_year_month_hour_fe,log1p_quote_count,is_aggressive_humor,564,200,364,3.2164,2.8869,0.3295,0.4178,0.0117,0.2018,0.1391,670.406,852.4783,year_FE+month_FE+hour_FE,3,supports_H2
model_based_n564,M0_baseline,log1p_bookmark_count,is_aggressive_humor,564,200,364,2.8861,2.394,0.492,0.492,0.0008,0.02,0.0182,568.3959,577.066,none,0,supports_H2
model_based_n564,M1_year_fe,log1p_bookmark_count,is_aggressive_humor,564,200,364,2.8861,2.394,0.492,0.4401,0.0029,0.054,0.0386,564.458,607.8085,year_FE,1,supports_H2
model_based_n564,M2_month_fe,log1p_bookmark_count,is_aggressive_humor,564,200,364,2.8861,2.394,0.492,0.4055,0.0046,0.1046,0.0851,539.4702,595.8259,month_FE,1,supports_H2
model_based_n564,M3_hour_fe,log1p_bookmark_count,is_aggressive_humor,564,200,364,2.8861,2.394,0.492,0.556,0.0002,0.0919,0.055,567.3909,667.0971,hour_FE,1,supports_H2
model_based_n564,M4_year_month_fe,log1p_bookmark_count,is_aggressive_humor,564,200,364,2.8861,2.394,0.492,0.3572,0.0133,0.1473,0.1159,527.8776,618.9137,year_FE+month_FE,2,supports_H2
model_based_n564,M5_year_hour_fe,log1p_bookmark_count,is_aggressive_humor,564,200,364,2.8861,2.394,0.492,0.4985,0.0009,0.1227,0.0734,563.9072,698.2939,year_FE+hour_FE,2,supports_H2
model_based_n564,M6_month_hour_fe,log1p_bookmark_count,is_aggressive_humor,564,200,364,2.8861,2.394,0.492,0.4718,0.0012,0.1636,0.1115,543.0392,690.431,month_FE+hour_FE,2,supports_H2
model_based_n564,M7_year_month_hour_fe,log1p_bookmark_count,is_aggressive_humor,564,200,364,2.8861,2.394,0.492,0.4064,0.0057,0.1997,0.1368,534.1391,716.2114,year_FE+month_FE+hour_FE,3,supports_H2
