h3_test_type,model_name,dv,predictor,squared_predictor,n,quarter_count,predictor_min,predictor_max,predictor_mean,predictor_std,beta_linear,p_linear,beta_quadratic,p_quadratic,turning_point,turning_point_in_range,included_time_variables,number_of_time_variables,r_squared,adj_r_squared,aic,bic,interpretation_flag
H3-main,M5,log1p_engagement_favorite_retweet,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-7.322408,0.033865,14.383869,0.089912,0.254535,True,created_year+created_hour,2,0.100606,0.071562,3803.1605,3954.0354,not_support
H3-main,M5,log1p_favorite_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-7.555891,0.064048,14.276621,0.154544,0.264625,True,created_year+created_hour,2,0.07586,0.046017,4125.1504,4276.0254,not_support
H3-main,M5,log1p_retweet_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-6.406307,0.068081,11.006214,0.202149,0.291031,True,created_year+created_hour,2,0.082898,0.053282,3836.9132,3987.7882,not_support
H3-main,M5,log1p_reply_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-3.841041,0.235829,3.68221,0.643815,0.521567,False,created_year+created_hour,2,0.092327,0.063016,3683.5468,3834.4217,not_support
H3-main,M5,log1p_quote_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-6.028933,0.098499,10.123174,0.258999,0.297779,True,created_year+created_hour,2,0.075824,0.045979,3911.1096,4061.9846,not_support
H3-main,M5,log1p_bookmark_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-9.90866,0.002629,19.55733,0.015652,0.253323,True,created_year+created_hour,2,0.128198,0.100046,3711.2642,3862.1391,not_support
H3-main,M6,log1p_engagement_total,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,2.268657,0.490383,-8.205049,0.297648,0.138248,True,created_month+created_hour,2,0.118664,0.086269,3765.1661,3935.5088,directional_only
H3-main,M6,log1p_engagement_favorite_retweet,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,2.470804,0.458735,-8.279451,0.299897,0.149213,True,created_month+created_hour,2,0.118895,0.086508,3791.4377,3961.7804,directional_only
H3-main,M6,log1p_favorite_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,1.945166,0.619059,-9.830562,0.294159,0.098935,True,created_month+created_hour,2,0.10879,0.076032,4098.318,4268.6606,directional_only
H3-main,M6,log1p_retweet_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,0.52504,0.876644,-3.330327,0.680968,0.078827,True,created_month+created_hour,2,0.107324,0.074513,3818.9978,3989.3404,directional_only
H3-main,M6,log1p_reply_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,1.480249,0.63518,-9.818852,0.188949,0.075378,True,created_month+created_hour,2,0.118211,0.0858,3663.7723,3834.115,directional_only
H3-main,M6,log1p_quote_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-0.336155,0.923362,-4.684015,0.57567,-0.035883,False,created_month+created_hour,2,0.11134,0.078675,3881.4894,4051.832,not_support
H3-main,M6,log1p_bookmark_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-11.416843,0.000391,19.116187,0.012991,0.298617,True,created_month+created_hour,2,0.129771,0.097784,3717.5312,3887.8738,not_support
H3-main,M7,log1p_engagement_total,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-3.381042,0.33859,0.797445,0.92775,2.119922,False,created_year+created_month+created_hour,3,0.155803,0.1181,3737.8352,3942.2464,not_support
H3-main,M7,log1p_engagement_favorite_retweet,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-3.816419,0.285147,2.0071,0.821328,0.95073,False,created_year+created_month+created_hour,3,0.16137,0.123915,3758.0065,3962.4177,not_support
H3-main,M7,log1p_favorite_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-3.468452,0.412724,0.957468,0.927623,1.811263,False,created_year+created_month+created_hour,3,0.133248,0.094537,4085.6039,4290.0151,not_support
H3-main,M7,log1p_retweet_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-3.616275,0.320925,-0.649409,0.942912,-2.784281,False,created_year+created_month+created_hour,3,0.140354,0.10196,3796.8032,4001.2143,not_support
H3-main,M7,log1p_reply_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,0.167149,0.960577,-8.772725,0.297561,0.009527,True,created_year+created_month+created_hour,3,0.139654,0.101229,3654.1387,3858.5499,directional_only
H3-main,M7,log1p_quote_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-1.350248,0.721045,-3.989486,0.671764,-0.169226,False,created_year+created_month+created_hour,3,0.135784,0.097186,3868.7124,4073.1236,not_support
H3-main,M7,log1p_bookmark_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-6.901352,0.043162,9.330937,0.271777,0.36981,False,created_year+created_month+created_hour,3,0.184052,0.14761,3669.701,3874.1122,not_support
