sample_type,model_name,dv,iv,n,coefficient,p_value,r_squared,adj_r_squared,aic,bic,included_time_fe,included_post_format_variables,number_of_post_format_variables,interpretation_flag
fullsample_binary_n978,M0_time_fe_only,log1p_retweet_count,pred_humor_final_050,978,0.3068,0.0091,0.1367,0.0989,1096.1057,1301.2971,year_FE+month_FE+hour_FE,none,0,supports_H1
fullsample_binary_n978,M1_text_length,log1p_retweet_count,pred_humor_final_050,978,0.3341,0.0044,0.1486,0.1104,1084.5444,1294.6213,year_FE+month_FE+hour_FE,text_length,1,supports_H1
fullsample_binary_n978,M2_hashtag,log1p_retweet_count,pred_humor_final_050,978,0.304,0.0098,0.1385,0.0998,1096.048,1306.1249,year_FE+month_FE+hour_FE,hashtag_count,1,supports_H1
fullsample_binary_n978,M3_mention,log1p_retweet_count,pred_humor_final_050,978,0.1643,0.1685,0.1599,0.1222,1071.4661,1281.543,year_FE+month_FE+hour_FE,mention_count,1,positive_not_significant
fullsample_binary_n978,M4_text_hashtag,log1p_retweet_count,pred_humor_final_050,978,0.3322,0.0046,0.1488,0.1096,1086.3256,1301.2881,year_FE+month_FE+hour_FE,text_length+hashtag_count,2,supports_H1
fullsample_binary_n978,M5_text_mention,log1p_retweet_count,pred_humor_final_050,978,0.2011,0.0939,0.1652,0.1267,1067.338,1282.3004,year_FE+month_FE+hour_FE,text_length+mention_count,2,weak_support
fullsample_binary_n978,M6_hashtag_mention,log1p_retweet_count,pred_humor_final_050,978,0.1642,0.1696,0.1599,0.1212,1073.4659,1288.4283,year_FE+month_FE+hour_FE,hashtag_count+mention_count,2,positive_not_significant
fullsample_binary_n978,M7_all_three,log1p_retweet_count,pred_humor_final_050,978,0.1994,0.0968,0.1654,0.1261,1069.0336,1288.8815,year_FE+month_FE+hour_FE,text_length+hashtag_count+mention_count,3,weak_support
fullsample_binary_n978,M0_time_fe_only,log1p_reply_count,pred_humor_final_050,978,0.436,0.0001,0.1452,0.1077,927.2108,1132.4022,year_FE+month_FE+hour_FE,none,0,supports_H1
fullsample_binary_n978,M1_text_length,log1p_reply_count,pred_humor_final_050,978,0.4579,0.0,0.1542,0.1162,918.8526,1128.9295,year_FE+month_FE+hour_FE,text_length,1,supports_H1
fullsample_binary_n978,M2_hashtag,log1p_reply_count,pred_humor_final_050,978,0.4291,0.0001,0.1581,0.1203,914.3552,1124.4321,year_FE+month_FE+hour_FE,hashtag_count,1,supports_H1
fullsample_binary_n978,M3_mention,log1p_reply_count,pred_humor_final_050,978,0.1362,0.1852,0.266,0.233,780.1773,990.2542,year_FE+month_FE+hour_FE,mention_count,1,positive_not_significant
fullsample_binary_n978,M4_text_hashtag,log1p_reply_count,pred_humor_final_050,978,0.4462,0.0,0.1625,0.124,911.1507,1126.1131,year_FE+month_FE+hour_FE,text_length+hashtag_count,2,supports_H1
fullsample_binary_n978,M5_text_mention,log1p_reply_count,pred_humor_final_050,978,0.1391,0.1799,0.2661,0.2323,782.1282,997.0906,year_FE+month_FE+hour_FE,text_length+mention_count,2,positive_not_significant
fullsample_binary_n978,M6_hashtag_mention,log1p_reply_count,pred_humor_final_050,978,0.1393,0.1763,0.2663,0.2325,781.8329,996.7953,year_FE+month_FE+hour_FE,hashtag_count+mention_count,2,positive_not_significant
fullsample_binary_n978,M7_all_three,log1p_reply_count,pred_humor_final_050,978,0.1405,0.1758,0.2663,0.2317,783.8229,1003.6709,year_FE+month_FE+hour_FE,text_length+hashtag_count+mention_count,3,positive_not_significant
fullsample_binary_n978,M0_time_fe_only,log1p_quote_count,pred_humor_final_050,978,0.2078,0.0893,0.1346,0.0967,1173.1925,1378.3839,year_FE+month_FE+hour_FE,none,0,weak_support
fullsample_binary_n978,M1_text_length,log1p_quote_count,pred_humor_final_050,978,0.2221,0.0696,0.1376,0.0989,1171.7307,1381.8076,year_FE+month_FE+hour_FE,text_length,1,weak_support
fullsample_binary_n978,M2_hashtag,log1p_quote_count,pred_humor_final_050,978,0.2066,0.0913,0.1348,0.096,1174.8857,1384.9626,year_FE+month_FE+hour_FE,hashtag_count,1,weak_support
fullsample_binary_n978,M3_mention,log1p_quote_count,pred_humor_final_050,978,0.0428,0.7295,0.1634,0.1258,1142.0782,1352.1552,year_FE+month_FE+hour_FE,mention_count,1,positive_not_significant
fullsample_binary_n978,M4_text_hashtag,log1p_quote_count,pred_humor_final_050,978,0.2219,0.0702,0.1376,0.0979,1173.7275,1388.6899,year_FE+month_FE+hour_FE,text_length+hashtag_count,2,weak_support
fullsample_binary_n978,M5_text_mention,log1p_quote_count,pred_humor_final_050,978,0.0492,0.6932,0.1635,0.125,1143.9033,1358.8657,year_FE+month_FE+hour_FE,text_length+mention_count,2,positive_not_significant
fullsample_binary_n978,M6_hashtag_mention,log1p_quote_count,pred_humor_final_050,978,0.0358,0.7727,0.1645,0.126,1142.8231,1357.7855,year_FE+month_FE+hour_FE,hashtag_count+mention_count,2,positive_not_significant
fullsample_binary_n978,M7_all_three,log1p_quote_count,pred_humor_final_050,978,0.0454,0.7157,0.1648,0.1255,1144.3724,1364.2203,year_FE+month_FE+hour_FE,text_length+hashtag_count+mention_count,3,positive_not_significant
fullsample_binary_n978,M0_time_fe_only,log1p_bookmark_count,pred_humor_final_050,978,0.1207,0.2744,0.1821,0.1463,973.9228,1179.1142,year_FE+month_FE+hour_FE,none,0,positive_not_significant
fullsample_binary_n978,M1_text_length,log1p_bookmark_count,pred_humor_final_050,978,0.1383,0.2099,0.1875,0.151,969.5172,1179.5941,year_FE+month_FE+hour_FE,text_length,1,positive_not_significant
fullsample_binary_n978,M2_hashtag,log1p_bookmark_count,pred_humor_final_050,978,0.1179,0.2852,0.184,0.1473,973.7238,1183.8008,year_FE+month_FE+hour_FE,hashtag_count,1,positive_not_significant
fullsample_binary_n978,M3_mention,log1p_bookmark_count,pred_humor_final_050,978,-0.0487,0.6611,0.2173,0.1822,932.9104,1142.9873,year_FE+month_FE+hour_FE,mention_count,1,not_support
fullsample_binary_n978,M4_text_hashtag,log1p_bookmark_count,pred_humor_final_050,978,0.1351,0.2211,0.1881,0.1507,970.8175,1185.7799,year_FE+month_FE+hour_FE,text_length+hashtag_count,2,positive_not_significant
fullsample_binary_n978,M5_text_mention,log1p_bookmark_count,pred_humor_final_050,978,-0.0361,0.7476,0.218,0.182,934.0725,1149.0349,year_FE+month_FE+hour_FE,text_length+mention_count,2,not_support
fullsample_binary_n978,M6_hashtag_mention,log1p_bookmark_count,pred_humor_final_050,978,-0.0508,0.6481,0.2174,0.1814,934.7724,1149.7348,year_FE+month_FE+hour_FE,hashtag_count+mention_count,2,not_support
fullsample_binary_n978,M7_all_three,log1p_bookmark_count,pred_humor_final_050,978,-0.0377,0.737,0.2183,0.1814,935.7375,1155.5854,year_FE+month_FE+hour_FE,text_length+hashtag_count+mention_count,3,not_support
