"id","tweet_url","text","human_humor_binary","oof_p_humor_tfidf_logreg","oof_pred_humor_tfidf_logreg","error_type","humor","type"
"1248677421588586496","https://x.com/Wendys/status/1248677421588586496","Come on now! You can't hit them with the old fruit and scoot! Might be out of oranges, but at least you've still got the Free Dave's Single in the app.","1","0.521071","1","true_positive","humor","affiliative"
"1248679862384185347","https://x.com/Wendys/status/1248679862384185347","Shout out to LostMermaid. It's never too late to reply back. Even if it has been like...a year. The internet can see you. Let's grab that Free Dave's Single while we wait.","1","0.621820","1","true_positive","humor","affiliative"
"1248693897263448071","https://x.com/Wendys/status/1248693897263448071","Um, hey, Cousin. Give the HDMI back. This is not a game. You have 48 hours. In the meantime we will enjoy a Free Dave's Single.","1","0.548621","1","true_positive","humor","aggressive"
"1248698613045366785","https://x.com/Wendys/status/1248698613045366785","Shout out to the girl that keeps ""losing"" her phone. Maybe while she downloads the findmyphone app you can enjoy a Free Dave's Single in our app.","1","0.549895","1","true_positive","humor","aggressive"
"1250053580716990467","https://x.com/Wendys/status/1250053580716990467","Had so much fun last week, we figured we’d do it again! Get your hands on a free Breakfast Baconator in the Wendy's app and help us solve this bad boy. https://t.co/KhIgxDbUYH","1","0.469893","0","false_negative","humor","affiliative"
"1252250012676997123","https://x.com/Wendys/status/1252250012676997123","Everyone could use some extra love right now, so we’re trading our usual roasting for a little toasting. Let’s use this thread to shout out the special people in our lives that we think deserve some shine right now.","1","0.541480","1","true_positive","humor","affiliative"
"1252355382657216512","https://x.com/Wendys/status/1252355382657216512","Not gonna lie, all this love y’all are showing has inspired us. We wish we could give you a hug, but instead…how about a nug? This Friday, we’ll be giving out free 4pc spicy and crispy nugs at every Wendy’s drive-thru. No purchase necessary, not a single string attached.","1","0.561223","1","true_positive","humor","affiliative"
"1252379047335608320","https://x.com/Wendys/status/1252379047335608320","We’re giving America a GroupNug this Friday. ♥ this tweet and we’ll remind you when to get your free 4pc nuggets! https://t.co/AKWHpSXdD6","1","0.518440","1","true_positive","humor","affiliative"
"1252980092113993730","https://x.com/Wendys/status/1252980092113993730","Everyone has become their own hairstylist. We all need a nug. This Friday ONLY, we’re giving America a big GroupNug. Get FREE 4pc nuggets when you visit our drive-thru. https://t.co/dXYeMJFsWu","1","0.524559","1","true_positive","humor","affiliative"
"1253342185157607433","https://x.com/Wendys/status/1253342185157607433","America, come get your GroupNug. Come to the Wendy’s drive-thru tomorrow and get your free 4pc. nuggets! https://t.co/GRTmEcX3Ar","0","0.520898","1","false_positive","non_humor","none"
"1254067898349428737","https://x.com/Wendys/status/1254067898349428737","We gave you a GroupNug, now send some to a friend. Use Postmates code: NUGHUG and send a loved one free 10pc. nugs with free delivery fee by ordering Wendy’s through Postmates! This weekend only.","0","0.544100","1","false_positive","non_humor","none"
"1254757690321932288","https://x.com/Wendys/status/1254757690321932288","Now that really honey butters my biscuit! https://t.co/xkZxxXsVwM","1","0.462593","0","false_negative","humor","affiliative"
"1255888429910577153","https://x.com/Wendys/status/1255888429910577153","Spicy, spicy! Very nice-y. Score yourself one FREE Spicy Chicken Sandwich with mobile purchase in the Wendy's app! 🔥🔥🔥 https://t.co/wIYUkeVVJA","0","0.491871","0","true_negative","non_humor","none"
"1255937272907776001","https://x.com/Wendys/status/1255937272907776001","Come and see the Wendy-est Mortys in the entire multiverse. We’re playing with Wendy Morty and Breakfast Morty in Pocket Mortys! Check out our stream right now: https://t.co/sQfjVH1iaa","0","0.484871","0","true_negative","non_humor","none"
"1256297367860625414","https://x.com/Wendys/status/1256297367860625414","Be on the lookout for this Honey Butter Chicken Biscuit. @wendys #ad https://t.co/71Cd9mpyi6","0","0.374227","0","true_negative","non_humor","none"
"1256977275754610688","https://x.com/Wendys/status/1256977275754610688","That Honey Butter Chicken Biscuit is one bad boi. See it in action during the Rick and Morty premiere tonight!","0","0.468909","0","true_negative","non_humor","none"
"1257082671118913537","https://x.com/Wendys/status/1257082671118913537","This week, we will be hiding codes. Lots of codes. Codes that will score you free Wendy's. Hidden across our entire internet presence. The clues start Monday. Think you can solve the Cyber Search? https://t.co/FB2IXQSyAq","1","0.524514","1","true_positive","humor","affiliative"
"1257152398566592516","https://x.com/Wendys/status/1257152398566592516","No, this is THE Wendy's.","1","0.463749","0","false_negative","humor","affiliative"
"1259528627017748480","https://x.com/Wendys/status/1259528627017748480","Since you’ve been asking. https://t.co/mZBOLo0daZ","0","0.499266","0","true_negative","non_humor","none"
"1259832419311661058","https://x.com/Wendys/status/1259832419311661058","Treat yo self. https://t.co/cHqfuIdNRK","0","0.499889","0","true_negative","non_humor","none"
"1260917780594884608","https://x.com/Wendys/status/1260917780594884608","Sorry, private meeting. Elite breakfast foods only. https://t.co/skbJUhiqgc","1","0.499647","0","false_negative","humor","self-enhancing"
"1261339056618835968","https://x.com/Wendys/status/1261339056618835968","2 for $5 is your Spicy Nugg hookup. https://t.co/YqGE1mbsex","0","0.447871","0","true_negative","non_humor","none"
"1263549059962408962","https://x.com/Wendys/status/1263549059962408962","Alright Wendys, your time has come. Do you have what it takes to be the Queen of the Hill? Suit up and enter our Super Smash Bros tournament on https://t.co/P0GZ7DIn5g. We’ll see ya at the top. https://t.co/PUgtPzPZ8e","1","0.511534","1","true_positive","humor","affiliative"
"1266084754832719872","https://x.com/Wendys/status/1266084754832719872","#NationalRoastDay starts right here tomorrow at 11am ET. For everyone that’s said “Roast Me Wendy’s,”...Tomorrow’s lookin’ good. Let’s roll, jabronis.","1","0.524433","1","true_positive","humor","aggressive"
"1266395345996652552","https://x.com/Wendys/status/1266395345996652552","We’re moving National Roast Day because there are going to be better times for it. Love you guys.","1","0.558106","1","true_positive","humor","affiliative"
"1268326640972595206","https://x.com/Wendys/status/1268326640972595206","We’re about putting our money where our mouth is. So here’s our money and here’s our mouth. We are committed to donating $500k to support social justice, the youth and education in the Black community starting with the Thurgood Marshall College Fund and we’ll have receipts.","1","0.541935","1","true_positive","humor","self-enhancing"
"1276283355768803330","https://x.com/Wendys/status/1276283355768803330","So much has happened over the past couple of weeks, including the death of Rayshard Brooks. We’ve taken the time to ensure we’re focused on the best ways to support positive change.","0","0.541413","1","false_positive","non_humor","none"
"1276283357219950593","https://x.com/Wendys/status/1276283357219950593","Today, we are announcing new partnerships with the Urban League (@CULempowering) and the YWCA(@ywcacolumbus). These two organizations are committed to fighting racism and empowering Black youth, and we’re eager to be a part of their mission.","0","0.493071","0","true_negative","non_humor","none"
"1276283357979164674","https://x.com/Wendys/status/1276283357979164674","We’ll also be chatting with @tmcf_hbcu next week to learn more about their history supporting students at #HBCUs. Check out the conversation on 7/2.","0","0.541536","1","false_positive","non_humor","none"
"1278697646312611841","https://x.com/Wendys/status/1278697646312611841","This acronym #HBCU might be new to some of our followers, what exactly does that stand for? https://t.co/afDXa92aiC","0","0.503198","1","false_positive","non_humor","none"
"1278698388054310913","https://x.com/Wendys/status/1278698388054310913","Black College Communities deserve to be honored and celebrated. Thanks @tmcf_hbcu for taking the time and sharing all of this great info today.","0","0.458172","0","true_negative","non_humor","none"
"1283561455787347973","https://x.com/Wendys/status/1283561455787347973","Sorry, Nick. No dice.","1","0.569943","1","true_positive","humor","aggressive"
"1285658885366386688","https://x.com/Wendys/status/1285658885366386688","We’re heading back to the island for a quick swim. Grab a Strawberry Lemonade to sip while we dip in the stream. https://t.co/P0GZ7DIn5g","1","0.510541","1","true_positive","humor","affiliative"
"1286650842225848321","https://x.com/Wendys/status/1286650842225848321","Wakey wakey, eggs and bac-y-nator.","1","0.483103","0","false_negative","humor","affiliative"
"1288908749411946497","https://x.com/Wendys/status/1288908749411946497","Real ones know. https://t.co/TRqxRULx4s","0","0.452059","0","true_negative","non_humor","none"
"1291462568511406081","https://x.com/Wendys/status/1291462568511406081","The burgers are square for a reason.","1","0.499652","0","false_negative","humor","aggressive"
"1291837518455779328","https://x.com/Wendys/status/1291837518455779328","4:44 on the clock I’m in my drop top getting some eats.","1","0.494483","0","false_negative","humor","affiliative"
"1292880058399567876","https://x.com/Wendys/status/1292880058399567876","Don’t know who needs to hear this but pepper isn’t spicy...this new 444 is thoughhhhh 🥵 https://t.co/H2tx5WJFVc","0","0.431728","0","true_negative","non_humor","none"
"1293256222922203138","https://x.com/Wendys/status/1293256222922203138","Hope your server maintenance is as active as your twitter 😉 (and make sure the crowns aren’t paper)","1","0.522497","1","true_positive","humor","aggressive"
