sample_type,model_name,dv,iv,n,coefficient,p_value,r_squared,adj_r_squared,aic,bic,included_time_fe,number_of_time_variables,interpretation_flag
probability_n978,M5_year_hour_fe,log1p_engagement_favorite_retweet,p_humor_final_tfidf_logreg,978,1.0321,0.0049,0.1001,0.0716,1094.7633,1246.2141,year_FE+hour_FE,2,supports_H1
probability_n978,M6_month_hour_fe,log1p_engagement_favorite_retweet,p_humor_final_tfidf_logreg,978,1.2452,0.0004,0.1298,0.0994,1067.915,1234.0223,month_FE+hour_FE,2,supports_H1
probability_n978,M7_year_month_hour_fe,log1p_engagement_favorite_retweet,p_humor_final_tfidf_logreg,978,1.0547,0.0034,0.1626,0.1259,1046.4151,1251.6065,year_FE+month_FE+hour_FE,3,supports_H1
probability_n978,M0_baseline,log1p_favorite_count,p_humor_final_tfidf_logreg,978,1.672,0.0001,0.0163,0.0153,1421.5559,1431.3269,none,0,supports_H1
probability_n978,M1_year_fe,log1p_favorite_count,p_humor_final_tfidf_logreg,978,1.4154,0.001,0.0436,0.0347,1410.0976,1458.9527,year_FE,1,supports_H1
probability_n978,M2_month_fe,log1p_favorite_count,p_humor_final_tfidf_logreg,978,1.6099,0.0001,0.0859,0.0745,1371.8495,1435.3611,month_FE,1,supports_H1
probability_n978,M3_hour_fe,log1p_favorite_count,p_humor_final_tfidf_logreg,978,1.6417,0.0001,0.056,0.0342,1423.3618,1535.7285,hour_FE,1,supports_H1
probability_n978,M4_year_month_fe,log1p_favorite_count,p_humor_final_tfidf_logreg,978,1.4098,0.0008,0.1099,0.0913,1361.8132,1464.4089,year_FE+month_FE,2,supports_H1
probability_n978,M5_year_hour_fe,log1p_favorite_count,p_humor_final_tfidf_logreg,978,1.4807,0.0006,0.0812,0.0521,1412.8725,1564.3233,year_FE+hour_FE,2,supports_H1
probability_n978,M6_month_hour_fe,log1p_favorite_count,p_humor_final_tfidf_logreg,978,1.6064,0.0001,0.1194,0.0886,1377.3722,1543.4795,month_FE+hour_FE,2,supports_H1
probability_n978,M7_year_month_hour_fe,log1p_favorite_count,p_humor_final_tfidf_logreg,978,1.4941,0.0004,0.1405,0.1028,1369.6424,1574.8338,year_FE+month_FE+hour_FE,3,supports_H1
probability_n978,M0_baseline,log1p_retweet_count,p_humor_final_tfidf_logreg,978,0.5028,0.1661,0.002,0.0009,1157.9529,1167.7239,none,0,positive_not_significant
probability_n978,M1_year_fe,log1p_retweet_count,p_humor_final_tfidf_logreg,978,0.3937,0.2934,0.0298,0.0208,1146.2627,1195.1178,year_FE,1,positive_not_significant
probability_n978,M2_month_fe,log1p_retweet_count,p_humor_final_tfidf_logreg,978,0.5164,0.1479,0.0695,0.0579,1111.4495,1174.9612,month_FE,1,positive_not_significant
probability_n978,M3_hour_fe,log1p_retweet_count,p_humor_final_tfidf_logreg,978,0.5302,0.1452,0.0492,0.0273,1152.4917,1264.8585,hour_FE,1,positive_not_significant
probability_n978,M4_year_month_fe,log1p_retweet_count,p_humor_final_tfidf_logreg,978,0.4477,0.2246,0.0935,0.0746,1101.8714,1204.4671,year_FE+month_FE,2,positive_not_significant
probability_n978,M5_year_hour_fe,log1p_retweet_count,p_humor_final_tfidf_logreg,978,0.5056,0.1771,0.0761,0.0468,1140.4752,1291.926,year_FE+hour_FE,2,positive_not_significant
probability_n978,M6_month_hour_fe,log1p_retweet_count,p_humor_final_tfidf_logreg,978,0.5601,0.1181,0.1097,0.0785,1110.2752,1276.3825,month_FE+hour_FE,2,positive_not_significant
probability_n978,M7_year_month_hour_fe,log1p_retweet_count,p_humor_final_tfidf_logreg,978,0.5736,0.1206,0.1327,0.0947,1100.6923,1305.8837,year_FE+month_FE+hour_FE,3,positive_not_significant
probability_n978,M0_baseline,log1p_reply_count,p_humor_final_tfidf_logreg,978,1.1775,0.0004,0.0127,0.0117,988.1619,997.9329,none,0,supports_H1
probability_n978,M1_year_fe,log1p_reply_count,p_humor_final_tfidf_logreg,978,1.118,0.0012,0.0414,0.0325,975.2915,1024.1466,year_FE,1,supports_H1
probability_n978,M2_month_fe,log1p_reply_count,p_humor_final_tfidf_logreg,978,1.192,0.0003,0.0672,0.0556,954.6449,1018.1566,month_FE,1,supports_H1
probability_n978,M3_hour_fe,log1p_reply_count,p_humor_final_tfidf_logreg,978,1.1763,0.0004,0.0705,0.0491,971.1163,1083.483,hour_FE,1,supports_H1
probability_n978,M4_year_month_fe,log1p_reply_count,p_humor_final_tfidf_logreg,978,1.1751,0.0006,0.0928,0.0739,943.3563,1045.952,year_FE+month_FE,2,supports_H1
probability_n978,M5_year_hour_fe,log1p_reply_count,p_humor_final_tfidf_logreg,978,1.1847,0.0005,0.0975,0.0689,958.2928,1109.7436,year_FE+hour_FE,2,supports_H1
probability_n978,M6_month_hour_fe,log1p_reply_count,p_humor_final_tfidf_logreg,978,1.2099,0.0002,0.1199,0.0892,939.679,1105.7864,month_FE+hour_FE,2,supports_H1
probability_n978,M7_year_month_hour_fe,log1p_reply_count,p_humor_final_tfidf_logreg,978,1.2521,0.0002,0.1428,0.1052,929.9721,1135.1635,year_FE+month_FE+hour_FE,3,supports_H1
probability_n978,M0_baseline,log1p_quote_count,p_humor_final_tfidf_logreg,978,0.5208,0.1674,0.002,0.0009,1232.6264,1242.3974,none,0,positive_not_significant
probability_n978,M1_year_fe,log1p_quote_count,p_humor_final_tfidf_logreg,978,0.318,0.413,0.0333,0.0243,1217.455,1266.3101,year_FE,1,positive_not_significant
probability_n978,M2_month_fe,log1p_quote_count,p_humor_final_tfidf_logreg,978,0.5118,0.1663,0.0749,0.0634,1180.4425,1243.9541,month_FE,1,positive_not_significant
probability_n978,M3_hour_fe,log1p_quote_count,p_humor_final_tfidf_logreg,978,0.546,0.1507,0.04,0.0179,1236.5772,1348.9439,hour_FE,1,positive_not_significant
probability_n978,M4_year_month_fe,log1p_quote_count,p_humor_final_tfidf_logreg,978,0.3648,0.3384,0.1023,0.0836,1166.9584,1269.5541,year_FE+month_FE,2,positive_not_significant
probability_n978,M5_year_hour_fe,log1p_quote_count,p_humor_final_tfidf_logreg,978,0.3975,0.3085,0.0701,0.0407,1221.4178,1372.8686,year_FE+hour_FE,2,positive_not_significant
probability_n978,M6_month_hour_fe,log1p_quote_count,p_humor_final_tfidf_logreg,978,0.5576,0.1342,0.1098,0.0787,1184.7674,1350.8748,month_FE+hour_FE,2,positive_not_significant
probability_n978,M7_year_month_hour_fe,log1p_quote_count,p_humor_final_tfidf_logreg,978,0.4552,0.2355,0.1332,0.0952,1174.7385,1379.9299,year_FE+month_FE+hour_FE,3,positive_not_significant
probability_n978,M0_baseline,log1p_bookmark_count,p_humor_final_tfidf_logreg,978,-0.7523,0.0317,0.0047,0.0037,1085.9407,1095.7117,none,0,not_support
probability_n978,M1_year_fe,log1p_bookmark_count,p_humor_final_tfidf_logreg,978,-0.0915,0.7939,0.0888,0.0804,1015.5696,1064.4247,year_FE,1,not_support
probability_n978,M2_month_fe,log1p_bookmark_count,p_humor_final_tfidf_logreg,978,-0.7644,0.0265,0.0704,0.0589,1041.123,1104.6346,month_FE,1,not_support
probability_n978,M3_hour_fe,log1p_bookmark_count,p_humor_final_tfidf_logreg,978,-0.5953,0.0911,0.0437,0.0216,1088.9092,1201.2759,hour_FE,1,not_support
probability_n978,M4_year_month_fe,log1p_bookmark_count,p_humor_final_tfidf_logreg,978,-0.0851,0.8043,0.1547,0.137,964.2403,1066.836,year_FE+month_FE,2,not_support
probability_n978,M5_year_hour_fe,log1p_bookmark_count,p_humor_final_tfidf_logreg,978,0.0053,0.988,0.1226,0.0948,1020.6085,1172.0593,year_FE+hour_FE,2,positive_not_significant
probability_n978,M6_month_hour_fe,log1p_bookmark_count,p_humor_final_tfidf_logreg,978,-0.5963,0.0858,0.1037,0.0723,1047.5446,1213.6519,month_FE+hour_FE,2,not_support
probability_n978,M7_year_month_hour_fe,log1p_bookmark_count,p_humor_final_tfidf_logreg,978,0.0191,0.956,0.1811,0.1452,975.1686,1180.36,year_FE+month_FE+hour_FE,3,positive_not_significant
