company_name,ticker,cik,cik_padded,target_report_year,filing_date,event_trading_date,naics_code,naics_sector_code,naics_sector_name,CAR_m1_p1,CAR_m3_p3,CAR_m5_p5,CAR_m1_p1_available,CAR_m3_p3_available,CAR_m5_p5_available,car_source,car_calculation_status,missing_car_reason,future_date_flag,date_alignment_warning,CAR_m3_p3_window_n,CAR_m3_p3_nonmissing_ar_n,CAR_m3_p3_complete_window,CAR_m5_p5_window_n,CAR_m5_p5_nonmissing_ar_n,CAR_m5_p5_complete_window,CAR_m1_p1_recomputed,ar_computation_status,crosscheck_pass
Exxon Mobil,XOM,34088,34088,2023,2024-02-28,2024-02-28,,31-33,Manufacturing,0.002358,-0.00240529,0.03416394,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.00235786,computed,True
Exxon Mobil,XOM,34088,34088,2024,2025-02-19,2025-02-19,,31-33,Manufacturing,0.033628,0.03694178,-0.00302767,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.03362772,computed,True
Exxon Mobil,XOM,34088,34088,2025,2026-02-18,2026-02-18,,31-33,Manufacturing,0.013516,-0.01920161,-0.01069382,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.01351586,computed,True
Cencora,COR,1140859,1140859,2023,2023-11-21,2023-11-21,,42,Wholesale Trade,0.019347,0.03611609,-0.01187113,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.01934727,computed,True
Cencora,COR,1140859,1140859,2024,2024-11-26,2024-11-26,,42,Wholesale Trade,0.016848,0.02263246,0.01525944,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.0168481,computed,True
Cencora,COR,1140859,1140859,2025,2025-11-25,2025-11-25,,42,Wholesale Trade,0.005102,-0.0094302,-0.09743762,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.00510217,computed,True
Microsoft,MSFT,789019,789019,2023,2023-07-27,2023-07-27,,51,Information,-0.042427,-0.03720075,-0.07113422,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,-0.0424265,computed,True
Microsoft,MSFT,789019,789019,2024,2024-07-30,2024-07-30,,51,Information,-0.031088,-0.03389399,-0.0366429,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,-0.03108761,computed,True
Microsoft,MSFT,789019,789019,2025,2025-07-30,2025-07-30,,51,Information,0.047264,0.05138578,0.03141427,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.04726365,computed,True
JPMorgan Chase,JPM,19617,19617,2023,2024-02-16,2024-02-16,,52,Finance and Insurance,0.024226,0.02574283,0.03008968,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.02422568,computed,True
