year_month,total_posts,humor_posts_t50,non_humor_posts_t50,humor_rate_t50,mean_humor_probability
2021-07,508,204,304,0.401575,0.480589
2021-08,576,235,341,0.407986,0.480373
2021-09,722,278,444,0.385042,0.480339
2021-10,734,286,448,0.389646,0.480967
2021-11,789,322,467,0.408112,0.479866
2021-12,728,325,403,0.446429,0.48502
2022-01,634,215,419,0.339117,0.473241
2022-02,738,245,493,0.331978,0.470668
2022-03,949,356,593,0.375132,0.475742
2022-04,967,313,654,0.323681,0.469505
2022-05,1027,341,686,0.332035,0.473875
2022-06,1117,419,698,0.375112,0.47783
2022-07,1058,427,631,0.403592,0.48095
2022-08,1087,429,658,0.394664,0.478374
2022-09,1406,510,896,0.362731,0.477792
2022-10,1728,615,1113,0.355903,0.475449
2022-11,1079,389,690,0.360519,0.473892
2022-12,733,277,456,0.377899,0.478175
2023-01,648,207,441,0.319444,0.466842
2023-02,826,299,527,0.361985,0.474933
2023-03,958,352,606,0.367432,0.474912
2023-04,807,275,532,0.340768,0.469261
2023-05,929,317,612,0.341227,0.472118
2023-06,935,345,590,0.368984,0.478164
2023-07,1472,733,739,0.497962,0.49692
2023-08,790,331,459,0.418987,0.480265
2023-09,946,364,582,0.384778,0.478557
2023-10,903,305,598,0.337763,0.470259
2023-11,867,365,502,0.420992,0.484574
2023-12,693,330,363,0.47619,0.49249
2024-01,681,268,413,0.393539,0.478829
2024-02,806,355,451,0.440447,0.489033
2024-03,568,230,338,0.40493,0.478153
2024-04,724,298,426,0.411602,0.478926
2024-05,749,273,476,0.364486,0.472552
2024-06,698,291,407,0.416905,0.478643
2024-07,769,309,460,0.401821,0.47828
2024-08,720,350,370,0.486111,0.492312
2024-09,787,290,497,0.368488,0.472626
2024-10,903,292,611,0.323367,0.468039
2024-11,757,332,425,0.438573,0.488789
2024-12,733,319,414,0.435198,0.484741
2025-01,678,208,470,0.306785,0.464334
2025-02,785,356,429,0.453503,0.486569
2025-03,825,351,474,0.425455,0.485239
2025-04,860,377,483,0.438372,0.480599
2025-05,903,375,528,0.415282,0.481861
2025-06,932,344,588,0.369099,0.473977
2025-07,928,332,596,0.357759,0.473951
2025-08,1023,331,692,0.323558,0.472701
2025-09,1066,387,679,0.363039,0.474774
2025-10,1389,471,918,0.339093,0.47004
2025-11,1256,405,851,0.322452,0.472419
2025-12,1084,457,627,0.421587,0.483763
2026-01,1151,365,786,0.317116,0.469664
2026-02,1161,476,685,0.409991,0.480056
2026-03,1343,509,834,0.379002,0.477152
2026-04,1654,663,991,0.400846,0.480412
2026-05,1802,733,1069,0.40677,0.483501
2026-06,1148,420,728,0.365854,0.476831
