variant,class_label,token,feature,weight,rank_abs_weight,leakage_flag
original_text,self-enhancing,free,word__free,0.043933,2,FAIL
original_text,self-enhancing,free,word__free honey,0.036799,3,FAIL
original_text,self-enhancing,app,word__happy,-0.072158,1,FAIL
original_text,self-enhancing,app,char__ happ,-0.053535,2,FAIL
original_text,self-enhancing,app,char__happ,-0.052993,3,FAIL
original_text,self-enhancing,drive thru,word__drive thru,-0.05666,1,FAIL
original_text,self-enhancing,breakfast,word__breakfast,0.103125,1,FAIL
original_text,self-enhancing,breakfast,word__breakfast sandwich,0.049687,2,FAIL
original_text,self-enhancing,breakfast,word__breakfast biscuit,0.033653,3,FAIL
original_text,self-enhancing,fries,word__fries,-0.068791,1,FAIL
original_text,self-enhancing,fries,word__soggy fries,0.049558,2,FAIL
original_text,self-enhancing,fries,word__french fries,-0.047029,3,FAIL
original_text,self-enhancing,chicken sandwich,word__chicken sandwich,0.014287,1,FAIL
original_text,self-enhancing,nuggets,word__nuggets,-0.032192,1,FAIL
original_text,self-enhancing,nuggets,word__4pc nuggets,-0.013977,2,FAIL
original_text,self-enhancing,nuggets,word__spicy nuggets,0.004147,3,FAIL
original_text,self-enhancing,deal,word__deals,0.04514,1,FAIL
original_text,self-enhancing,deal,word__the deals,0.034979,2,FAIL
original_text,self-enhancing,deal,word__big deal,0.019683,3,FAIL
original_text,self-enhancing,offer,word__to offer,0.006477,1,FAIL
original_text,self-enhancing,offer,char__offer,-0.006316,2,FAIL
original_text,self-enhancing,offer,word__offering,0.001743,3,FAIL
original_text,self-defeating,wendy,word__wendy,0.309622,1,FAIL
original_text,self-defeating,wendy,char__wendy,0.149837,2,FAIL
original_text,self-defeating,wendy,word__up wendy,0.097553,3,FAIL
original_text,self-defeating,wendys,word__wendysspicynuggs,-0.019488,1,FAIL
original_text,self-defeating,wendys,word__wendys,-0.018105,2,FAIL
original_text,self-defeating,wendys,word__verified wendysspicynuggs,-0.01296,3,FAIL
original_text,self-defeating,wendy,word__wendy,0.309622,1,FAIL
original_text,self-defeating,wendy,char__wendy,0.149837,2,FAIL
original_text,self-defeating,wendy,word__up wendy,0.097553,3,FAIL
original_text,self-defeating,wendys,word__wendysspicynuggs,-0.019488,1,FAIL
original_text,self-defeating,wendys,word__wendys,-0.018105,2,FAIL
original_text,self-defeating,wendys,word__verified wendysspicynuggs,-0.01296,3,FAIL
original_text,self-defeating,frosty,word__vanilla frosty,0.161949,1,FAIL
original_text,self-defeating,frosty,word__frosty,0.066593,2,FAIL
original_text,self-defeating,frosty,word__mints frosty,-0.012121,3,FAIL
original_text,self-defeating,baconator,word__baconator,-0.036167,1,FAIL
original_text,self-defeating,baconator,word__breakfast baconator,-0.01715,2,FAIL
original_text,self-defeating,baconator,word__baconator with,-0.008649,3,FAIL
original_text,self-defeating,nuggs,word__nuggs,-0.034824,1,FAIL
original_text,self-defeating,nuggs,char__nuggs,-0.022142,2,FAIL
original_text,self-defeating,nuggs,word__spicy nuggs,-0.021928,3,FAIL
original_text,self-defeating,nuggets,word__nuggets,-0.031316,1,FAIL
original_text,self-defeating,nuggets,word__spicy nuggets,-0.011402,2,FAIL
original_text,self-defeating,nuggets,word__4pc nuggets,-0.008692,3,FAIL
original_text,self-defeating,spicy nuggets,word__spicy nuggets,-0.011402,1,FAIL
original_text,self-defeating,dave,word__dave,-0.044333,1,FAIL
original_text,self-defeating,dave,word__dave single,-0.029412,2,FAIL
original_text,self-defeating,dave,word__free dave,-0.017873,3,FAIL
original_text,self-defeating,breakfast baconator,word__breakfast baconator,-0.01715,1,FAIL
original_text,self-defeating,burger king,word__burger king,-0.016947,1,FAIL
original_text,self-defeating,mcdonald,word__mcdonald,-0.016295,1,FAIL
original_text,self-defeating,mcdonald,word__mcdonald announced,-0.010076,2,FAIL
original_text,self-defeating,clown,word__clowns,-0.017148,1,FAIL
original_text,self-defeating,roast,word__nationalroastday,-0.06958,1,FAIL
original_text,self-defeating,roast,char__roast,-0.058961,2,FAIL
original_text,self-defeating,roast,word__roast,-0.043397,3,FAIL
original_text,self-defeating,roasting,word__roasting,-0.021426,1,FAIL
original_text,self-defeating,free,word__free pc,0.179994,1,FAIL
original_text,self-defeating,free,word__for free,0.170462,2,FAIL
original_text,self-defeating,free,word__free,-0.02888,3,FAIL
original_text,self-defeating,app,word__wendy app,0.091683,1,FAIL
original_text,self-defeating,app,word__happy,-0.066486,2,FAIL
original_text,self-defeating,app,word__apply,-0.054979,3,FAIL
original_text,self-defeating,drive thru,word__drive thru,0.102187,1,FAIL
original_text,self-defeating,breakfast,word__breakfast,-0.11698,1,FAIL
original_text,self-defeating,breakfast,word__breakfast biscuit,-0.02249,2,FAIL
original_text,self-defeating,breakfast,word__breakfast baconator,-0.01715,3,FAIL
original_text,self-defeating,fries,word__fries,0.173007,1,FAIL
original_text,self-defeating,fries,word__the fries,0.139076,2,FAIL
original_text,self-defeating,fries,word__french fries,0.117478,3,FAIL
original_text,self-defeating,chicken sandwich,word__chicken sandwich,-0.023442,1,FAIL
original_text,self-defeating,nuggets,word__nuggets,-0.031316,1,FAIL
original_text,self-defeating,nuggets,word__spicy nuggets,-0.011402,2,FAIL
original_text,self-defeating,nuggets,word__4pc nuggets,-0.008692,3,FAIL
original_text,self-defeating,deal,word__deal,0.061767,1,FAIL
original_text,self-defeating,deal,word__deals,-0.036139,2,FAIL
original_text,self-defeating,deal,word__the deals,-0.020689,3,FAIL
original_text,self-defeating,offer,word__offer,-0.025215,1,FAIL
original_text,self-defeating,offer,char__offer,-0.017789,2,FAIL
original_text,self-defeating,offer,word__to offer,-0.008551,3,FAIL
mask_wendys_brand,aggressive,wendy,word__wendysspicynuggs,-0.022768,1,FAIL
mask_wendys_brand,aggressive,wendy,word__verified wendysspicynuggs,-0.015784,2,FAIL
mask_wendys_brand,aggressive,wendys,word__wendysspicynuggs,-0.022768,1,FAIL
mask_wendys_brand,aggressive,wendys,word__verified wendysspicynuggs,-0.015784,2,FAIL
mask_wendys_brand,aggressive,wendy,word__wendysspicynuggs,-0.022768,1,FAIL
