fortune_rank,firm_name,direct_x_profile_url,attempted_at,status,direct_profile_exists,error_type,error_message,page_title,current_url,elapsed_seconds,notes
31,StoneX Group,https://x.com/stonexgroup,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,StoneX (@StoneXGroup) / X,https://x.com/stonexgroup,1.724,Direct X profile markers were detected. This does not prove official corporate ownership.
32,State Farm Insurance,https://x.com/statefarminsurance,2026-06-10T10:00:52+00:00,not_found,no,,,Profile / X,https://x.com/statefarminsurance,1.691,Direct X URL rendered a not-found/unavailable account message.
33,Freddie Mac,https://x.com/freddiemac,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,Freddie Mac (@FreddieMac) / X,https://x.com/freddiemac,1.787,Direct X profile markers were detected. This does not prove official corporate ownership.
34,Humana,https://x.com/humana,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,Humana (@Humana) / X,https://x.com/humana,1.892,Direct X profile markers were detected. This does not prove official corporate ownership.
35,AT&T,https://x.com/atandt,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,Profile / X,https://x.com/atandt,1.712,Direct X profile markers were detected. This does not prove official corporate ownership.
36,Goldman Sachs Group,https://x.com/goldmansachsgroup,2026-06-10T10:00:52+00:00,not_found,no,,,Profile / X,https://x.com/goldmansachsgroup,1.687,Direct X URL rendered a not-found/unavailable account message.
37,Comcast,https://x.com/comcast,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,Comcast (@comcast) / X,https://x.com/comcast,1.749,Direct X profile markers were detected. This does not prove official corporate ownership.
38,Wells Fargo,https://x.com/wellsfargo,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,Wells Fargo (@WellsFargo) / X,https://x.com/wellsfargo,1.764,Direct X profile markers were detected. This does not prove official corporate ownership.
39,Morgan Stanley,https://x.com/morganstanley,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,Morgan Stanley (@MorganStanley) / X,https://x.com/morganstanley,1.759,Direct X profile markers were detected. This does not prove official corporate ownership.
40,Valero Energy,https://x.com/valeroenergy,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,Valero (@ValeroEnergy) / X,https://x.com/valeroenergy,1.782,Direct X profile markers were detected. This does not prove official corporate ownership.
41,Dell Technologies,https://x.com/delltechnologies,2026-06-10T10:00:52+00:00,not_found,no,,,Profile / X,https://x.com/delltechnologies,1.702,Direct X URL rendered a not-found/unavailable account message.
42,Target,https://x.com/target,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,Target (@Target) / X,https://x.com/target,1.739,Direct X profile markers were detected. This does not prove official corporate ownership.
43,Tesla,https://x.com/tesla,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,Tesla (@Tesla) / X,https://x.com/tesla,1.974,Direct X profile markers were detected. This does not prove official corporate ownership.
44,Walt Disney,https://x.com/waltdisney,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,waltdisney (@waltdisney) / X,https://x.com/waltdisney,1.748,Direct X profile markers were detected. This does not prove official corporate ownership.
45,Johnson & Johnson,https://x.com/johnsonandjohnson,2026-06-10T10:00:52+00:00,not_found,no,,,Profile / X,https://x.com/johnsonandjohnson,1.689,Direct X URL rendered a not-found/unavailable account message.
46,PepsiCo,https://x.com/pepsico,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,PepsiCo (@PepsiCo) / X,https://x.com/pepsico,1.779,Direct X profile markers were detected. This does not prove official corporate ownership.
47,Boeing,https://x.com/boeing,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,The Boeing Company (@Boeing) / X,https://x.com/boeing,1.799,Direct X profile markers were detected. This does not prove official corporate ownership.
48,UPS,https://x.com/ups,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,UPS (@UPS) / X,https://x.com/ups,1.800,Direct X profile markers were detected. This does not prove official corporate ownership.
49,RTX,https://x.com/rtx,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,rtx (@rtx) / X,https://x.com/rtx,1.741,Direct X profile markers were detected. This does not prove official corporate ownership.
50,FedEx,https://x.com/fedex,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,FedEx (@FedEx) / X,https://x.com/fedex,1.787,Direct X profile markers were detected. This does not prove official corporate ownership.
51,Progressive,https://x.com/progressive,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,Progressive (@progressive) / X,https://x.com/progressive,1.780,Direct X profile markers were detected. This does not prove official corporate ownership.
52,Lowe's,https://x.com/lowes,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,Lowe's (@Lowes) / X,https://x.com/lowes,1.837,Direct X profile markers were detected. This does not prove official corporate ownership.
53,Energy Transfer,https://x.com/energytransfer,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,Energy Transfer (@EnergyTransfer) / X,https://x.com/energytransfer,1.807,Direct X profile markers were detected. This does not prove official corporate ownership.
54,Procter & Gamble,https://x.com/procterandgamble,2026-06-10T10:00:52+00:00,not_found,no,,,Profile / X,https://x.com/procterandgamble,1.722,Direct X URL rendered a not-found/unavailable account message.
55,Sysco,https://x.com/sysco,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,Sysco (@Sysco) / X,https://x.com/sysco,1.870,Direct X profile markers were detected. This does not prove official corporate ownership.
56,American Express,https://x.com/americanexpress,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,American Express (@AmericanExpress) / X,https://x.com/americanexpress,1.893,Direct X profile markers were detected. This does not prove official corporate ownership.
57,Albertsons,https://x.com/albertsons,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,Albertsons (@Albertsons) / X,https://x.com/albertsons,1.821,Direct X profile markers were detected. This does not prove official corporate ownership.
58,Archer Daniels Midland,https://x.com/archerdanielsmidland,2026-06-10T10:00:52+00:00,not_found,no,,,Profile / X,https://x.com/archerdanielsmidland,1.714,Direct X URL rendered a not-found/unavailable account message.
59,MetLife,https://x.com/metlife,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,MetLife (@MetLife) / X,https://x.com/metlife,1.780,Direct X profile markers were detected. This does not prove official corporate ownership.
60,HCA Healthcare,https://x.com/hcahealthcare,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,HCA Healthcare (@HCAhealthcare) / X,https://x.com/hcahealthcare,1.835,Direct X profile markers were detected. This does not prove official corporate ownership.
61,Lockheed Martin,https://x.com/lockheedmartin,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,Lockheed Martin (@LockheedMartin) / X,https://x.com/lockheedmartin,1.951,Direct X profile markers were detected. This does not prove official corporate ownership.
62,New York Life Insurance,https://x.com/newyorklifeinsurance,2026-06-10T10:00:52+00:00,not_found,no,,,Profile / X,https://x.com/newyorklifeinsurance,1.773,Direct X URL rendered a not-found/unavailable account message.
63,Capital One Financial,https://x.com/capitalonefinancial,2026-06-10T10:00:52+00:00,not_found,no,,,Profile / X,https://x.com/capitalonefinancial,1.697,Direct X URL rendered a not-found/unavailable account message.
64,Allstate,https://x.com/allstate,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,Allstate (@Allstate) / X,https://x.com/allstate,1.885,Direct X profile markers were detected. This does not prove official corporate ownership.
65,Caterpillar,https://x.com/caterpillar,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,良葛格 (@caterpillar) / X,https://x.com/caterpillar,2.060,Direct X profile markers were detected. This does not prove official corporate ownership.
66,IBM,https://x.com/ibm,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,IBM (@IBM) / X,https://x.com/ibm,1.875,Direct X profile markers were detected. This does not prove official corporate ownership.
67,Eli Lilly,https://x.com/elililly,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,Eli Lilly and Co. (@EliLilly) / X,https://x.com/elililly,1.780,Direct X profile markers were detected. This does not prove official corporate ownership.
68,Merck,https://x.com/merck,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,Merck (@Merck) / X,https://x.com/merck,1.804,Direct X profile markers were detected. This does not prove official corporate ownership.
69,Nationwide,https://x.com/nationwide,2026-06-10T10:00:52+00:00,rate_limited_or_transient,unknown,,,Nationwide (@Nationwide) / X,https://x.com/nationwide,1.762,X returned a transient/rate-limit style page.
70,Broadcom,https://x.com/broadcom,2026-06-10T10:00:52+00:00,rate_limited_or_transient,unknown,,,Broadcom (@Broadcom) / X,https://x.com/broadcom,1.750,X returned a transient/rate-limit style page.
71,Delta Air Lines,https://x.com/deltaairlines,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,Profile / X,https://x.com/deltaairlines,1.746,Direct X profile markers were detected. This does not prove official corporate ownership.
72,Publix Super Markets,https://x.com/publixsupermarkets,2026-06-10T10:00:52+00:00,not_found,no,,,Profile / X,https://x.com/publixsupermarkets,1.720,Direct X URL rendered a not-found/unavailable account message.
73,Pfizer,https://x.com/pfizer,2026-06-10T10:00:52+00:00,rate_limited_or_transient,unknown,,,Pfizer Inc. (@pfizer) / X,https://x.com/pfizer,1.732,X returned a transient/rate-limit style page.
74,TD Synnex,https://x.com/tdsynnex,2026-06-10T10:00:52+00:00,rate_limited_or_transient,unknown,,,TD SYNNEX (@TDSYNNEX) / X,https://x.com/tdsynnex,1.771,X returned a transient/rate-limit style page.
75,ConocoPhillips,https://x.com/conocophillips,2026-06-10T10:00:52+00:00,rate_limited_or_transient,unknown,,,ConocoPhillips (@conocophillips) / X,https://x.com/conocophillips,1.726,X returned a transient/rate-limit style page.
76,Galaxy Digital,https://x.com/galaxydigital,2026-06-10T10:00:52+00:00,rate_limited_or_transient,unknown,,,Galaxy Digital (@GalaxyDigital) / X,https://x.com/galaxydigital,1.747,X returned a transient/rate-limit style page.
77,AbbVie,https://x.com/abbvie,2026-06-10T10:00:52+00:00,rate_limited_or_transient,unknown,,,AbbVie (@abbvie) / X,https://x.com/abbvie,1.724,X returned a transient/rate-limit style page.
78,Prudential Financial,https://x.com/prudentialfinancial,2026-06-10T10:00:52+00:00,not_found,no,,,Profile / X,https://x.com/prudentialfinancial,1.685,Direct X URL rendered a not-found/unavailable account message.
79,TJX,https://x.com/tjx,2026-06-10T10:00:52+00:00,rate_limited_or_transient,unknown,,,TJ Sassani (@tjx) / X,https://x.com/tjx,1.711,X returned a transient/rate-limit style page.
80,Performance Food Group,https://x.com/performancefoodgroup,2026-06-10T10:00:52+00:00,not_found,no,,,Profile / X,https://x.com/performancefoodgroup,1.699,Direct X URL rendered a not-found/unavailable account message.
81,United Airlines Holdings,https://x.com/unitedairlinesholdings,2026-06-10T10:00:52+00:00,not_found,no,,,Profile / X,https://x.com/unitedairlinesholdings,1.813,Direct X URL rendered a not-found/unavailable account message.
82,Oracle,https://x.com/oracle,2026-06-10T10:00:52+00:00,rate_limited_or_transient,unknown,,,Oracle (@Oracle) / X,https://x.com/oracle,1.715,X returned a transient/rate-limit style page.
83,Cisco Systems,https://x.com/ciscosystems,2026-06-10T10:00:52+00:00,rate_limited_or_transient,unknown,,,Cisco Systems (@CiscoSystems) / X,https://x.com/ciscosystems,1.721,X returned a transient/rate-limit style page.
84,HP,https://x.com/hp,2026-06-10T10:00:52+00:00,rate_limited_or_transient,unknown,,,HP (@HP) / X,https://x.com/hp,1.723,X returned a transient/rate-limit style page.
85,Charter Communications,https://x.com/chartercommunications,2026-06-10T10:00:52+00:00,not_found,no,,,Profile / X,https://x.com/chartercommunications,1.901,Direct X URL rendered a not-found/unavailable account message.
86,American Airlines Group,https://x.com/americanairlinesgroup,2026-06-10T10:00:52+00:00,not_found,no,,,Profile / X,https://x.com/americanairlinesgroup,1.815,Direct X URL rendered a not-found/unavailable account message.
87,Tyson Foods,https://x.com/tysonfoods,2026-06-10T10:00:52+00:00,rate_limited_or_transient,unknown,,,Tyson Foods (@TysonFoods) / X,https://x.com/tysonfoods,1.717,X returned a transient/rate-limit style page.
88,Intel,https://x.com/intel,2026-06-10T10:00:52+00:00,rate_limited_or_transient,unknown,,,Intel (@intel) / X,https://x.com/intel,1.777,X returned a transient/rate-limit style page.
89,Enterprise Products Partners,https://x.com/enterpriseproductspartners,2026-06-10T10:00:52+00:00,not_found,no,,,Profile / X,https://x.com/enterpriseproductspartners,2.515,Direct X URL rendered a not-found/unavailable account message.
90,Ingram Micro Holding,https://x.com/ingrammicroholding,2026-06-10T10:00:52+00:00,not_found,no,,,Profile / X,https://x.com/ingrammicroholding,1.693,Direct X URL rendered a not-found/unavailable account message.
91,General Dynamics,https://x.com/generaldynamics,2026-06-10T10:00:52+00:00,rate_limited_or_transient,unknown,,,General Dynamics Corporation (@generaldynamics) / X,https://x.com/generaldynamics,1.714,X returned a transient/rate-limit style page.
92,Uber Technologies,https://x.com/ubertechnologies,2026-06-10T10:00:52+00:00,not_found,no,,,Profile / X,https://x.com/ubertechnologies,1.699,Direct X URL rendered a not-found/unavailable account message.
93,USAA,https://x.com/usaa,2026-06-10T10:00:52+00:00,rate_limited_or_transient,unknown,,,USAA (@USAA) / X,https://x.com/usaa,1.729,X returned a transient/rate-limit style page.
94,TIAA,https://x.com/tiaa,2026-06-10T10:00:52+00:00,rate_limited_or_transient,unknown,,,TIAA (@TIAA) / X,https://x.com/tiaa,1.741,X returned a transient/rate-limit style page.
95,Liberty Mutual Insurance Group,https://x.com/libertymutualinsurancegroup,2026-06-10T10:00:52+00:00,not_found,no,,,Page not found / X,https://x.com/libertymutualinsurancegroup,1.864,Direct X URL rendered a not-found/unavailable account message.
96,Travelers,https://x.com/travelers,2026-06-10T10:00:52+00:00,rate_limited_or_transient,unknown,,,Travelers (@Travelers) / X,https://x.com/travelers,1.711,X returned a transient/rate-limit style page.
97,Bristol-Myers Squibb,https://x.com/bristolmyerssquibb,2026-06-10T10:00:52+00:00,not_found,no,,,Profile / X,https://x.com/bristolmyerssquibb,1.687,Direct X URL rendered a not-found/unavailable account message.
98,Coca-Cola,https://x.com/cocacola,2026-06-10T10:00:52+00:00,rate_limited_or_transient,unknown,,,Coca-Cola (@CocaCola) / X,https://x.com/cocacola,1.737,X returned a transient/rate-limit style page.
99,Nike,https://x.com/nike,2026-06-10T10:00:52+00:00,rate_limited_or_transient,unknown,,,Nike (@Nike) / X,https://x.com/nike,1.715,X returned a transient/rate-limit style page.
100,Massachusetts Mutual Life,https://x.com/massachusettsmutuallife,2026-06-10T10:00:52+00:00,not_found,no,,,Profile / X,https://x.com/massachusettsmutuallife,1.809,Direct X URL rendered a not-found/unavailable account message.
