fortune_rank,firm_name,target_report_year,status,error_type,error_message,sec_cik,sec_company_name,sec_match_score,sec_filing_url,local_report_path,attempted_at
15,Cardinal Health,2024,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
15,Cardinal Health,2023,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
16,Nvidia,2025,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
16,Nvidia,2024,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
16,Nvidia,2023,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
17,Meta Platforms,2025,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
17,Meta Platforms,2024,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
17,Meta Platforms,2023,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
18,Elevance Health,2025,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
18,Elevance Health,2024,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
18,Elevance Health,2023,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
19,Centene,2025,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
19,Centene,2024,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
19,Centene,2023,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
20,Bank of America,2025,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
20,Bank of America,2024,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
20,Bank of America,2023,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
21,Chevron,2025,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
21,Chevron,2024,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
21,Chevron,2023,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
22,Ford Motor,2025,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
22,Ford Motor,2024,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
22,Ford Motor,2023,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
23,General Motors,2025,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
23,General Motors,2024,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
23,General Motors,2023,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
24,Citigroup,2025,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
24,Citigroup,2024,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
24,Citigroup,2023,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
25,Home Depot,2025,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
25,Home Depot,2024,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
25,Home Depot,2023,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
26,Fannie Mae,2025,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
26,Fannie Mae,2024,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
26,Fannie Mae,2023,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
27,Kroger,2025,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
27,Kroger,2024,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
27,Kroger,2023,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
28,Verizon Communications,2025,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
28,Verizon Communications,2024,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
28,Verizon Communications,2023,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
29,Phillips 66,2025,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
29,Phillips 66,2024,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
29,Phillips 66,2023,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
30,Marathon Petroleum,2025,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
30,Marathon Petroleum,2024,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
30,Marathon Petroleum,2023,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
31,StoneX Group,2025,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
31,StoneX Group,2024,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
31,StoneX Group,2023,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
32,State Farm Insurance,2025,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
32,State Farm Insurance,2024,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
32,State Farm Insurance,2023,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
33,Freddie Mac,2025,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
33,Freddie Mac,2024,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
33,Freddie Mac,2023,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
34,Humana,2025,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
34,Humana,2024,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
34,Humana,2023,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
35,AT&T,2025,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
35,AT&T,2024,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
35,AT&T,2023,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
36,Goldman Sachs Group,2025,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
36,Goldman Sachs Group,2024,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
36,Goldman Sachs Group,2023,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
37,Comcast,2025,sec_source_fetch_failed,RuntimeError,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,,,0.00,,,2026-06-10T10:21:49+00:00
