fortune_rank,company_name,handle,sample_group,status,attempts,previous_posts,final_posts,new_unique_posts,merge_added_posts,existing_id_count,new_posts_collected,known_posts_seen,stopped_on_existing,stop_reason,scrolls_completed,last_error
3,UnitedHealth Group,@UnitedHealthGrp,fortune_top100_ranked,success,1,155,155,0,0,155,0,45,True,existing_threshold_reached,3,
18,Elevance Health,@elevancehealth,fortune_top100_ranked,success,1,612,612,0,0,612,0,49,True,existing_threshold_reached,4,
30,Marathon Petroleum,@MarathonPetroCo,fortune_top100_ranked,success,1,377,379,2,2,377,2,45,True,existing_threshold_reached,5,
42,Target,@target,fortune_top100_ranked,failed_skipped,1,595,595,0,0,595,0,0,False,render_failure,0,"Command '['/opt/hostedtoolcache/Python/3.11.15/x64/bin/python', '/home/runner/work/x_scrapper/x_scrapper/scrape_x.py']' returned non-zero exit status 1."
54,Procter & Gamble,@ProcterGamble,fortune_top100_ranked,failed_skipped,1,268,268,0,0,268,0,0,False,render_failure,0,"Command '['/opt/hostedtoolcache/Python/3.11.15/x64/bin/python', '/home/runner/work/x_scrapper/x_scrapper/scrape_x.py']' returned non-zero exit status 1."
66,IBM,@ibm,fortune_top100_ranked,failed_skipped,1,541,541,0,0,541,0,0,False,render_failure,0,"Command '['/opt/hostedtoolcache/Python/3.11.15/x64/bin/python', '/home/runner/work/x_scrapper/x_scrapper/scrape_x.py']' returned non-zero exit status 1."
78,Prudential Financial,@Prudential,fortune_top100_ranked,failed_skipped,1,874,874,0,0,874,0,0,False,render_failure,0,"Command '['/opt/hostedtoolcache/Python/3.11.15/x64/bin/python', '/home/runner/work/x_scrapper/x_scrapper/scrape_x.py']' returned non-zero exit status 1."
90,Ingram Micro Holding,@IngramMicroInc,fortune_top100_ranked,success,1,931,935,4,4,931,4,61,True,existing_threshold_reached,10,
benchmark,MoonPie,@MoonPie,benchmark_self_defeating_moonpie,success,1,932,932,0,0,932,0,50,True,existing_threshold_reached,3,
5,Alphabet,@Alphabetlnc,fortune_top100_ranked,success,1,477,477,0,0,477,0,2,False,idle_limit_reached,60,
19,Centene,@centene,fortune_top100_ranked,failed_skipped,1,465,465,0,0,465,0,0,False,render_failure,0,"Command '['/opt/hostedtoolcache/Python/3.11.15/x64/bin/python', '/home/runner/work/x_scrapper/x_scrapper/scrape_x.py']' returned non-zero exit status 1."
31,StoneX Group,@StoneX_Official,fortune_top100_ranked,failed_skipped,1,848,848,0,0,848,0,0,False,render_failure,0,"Command '['/opt/hostedtoolcache/Python/3.11.15/x64/bin/python', '/home/runner/work/x_scrapper/x_scrapper/scrape_x.py']' returned non-zero exit status 1."
43,Tesla,@tesla,fortune_top100_ranked,failed_skipped,1,711,711,0,0,711,0,0,False,render_failure,0,"Command '['/opt/hostedtoolcache/Python/3.11.15/x64/bin/python', '/home/runner/work/x_scrapper/x_scrapper/scrape_x.py']' returned non-zero exit status 1."
55,Sysco,@sysco,fortune_top100_ranked,failed_skipped,1,863,863,0,0,863,0,0,False,render_failure,0,"Command '['/opt/hostedtoolcache/Python/3.11.15/x64/bin/python', '/home/runner/work/x_scrapper/x_scrapper/scrape_x.py']' returned non-zero exit status 1."
67,Eli Lilly,@EliLillyandCo,fortune_top100_ranked,success,1,564,564,0,0,564,0,40,True,existing_threshold_reached,6,
79,TJX,@tjmaxx,fortune_top100_ranked,success,1,909,909,0,0,909,0,43,True,existing_threshold_reached,3,
91,General Dynamics,@generaldynamics,fortune_top100_ranked,success,1,1493,1493,0,0,1493,0,35,True,existing_threshold_reached,3,
6,CVS Health,@cvshealth,fortune_top100_ranked,success,1,574,574,0,0,574,0,40,True,existing_threshold_reached,4,
20,Bank of America,@bankofamerica,fortune_top100_ranked,success,1,838,839,1,1,838,1,73,True,existing_threshold_reached,12,
32,State Farm Insurance,@StateFarm,fortune_top100_ranked,success,1,147,148,1,1,147,1,58,True,existing_threshold_reached,10,
44,Walt Disney,@Disney,fortune_top100_ranked,success,1,1353,1359,6,6,1353,6,71,True,existing_threshold_reached,5,
56,American Express,@americanexpress,fortune_top100_ranked,success,1,833,833,0,0,833,0,39,True,existing_threshold_reached,5,
68,Merck,@merck,fortune_top100_ranked,success,1,507,507,0,0,507,0,38,True,existing_threshold_reached,5,
80,Performance Food Group,@PFGCareers,fortune_top100_ranked,success,1,3,3,0,0,3,0,3,False,idle_limit_reached,60,
92,Uber Technologies,@Uber,fortune_top100_ranked,success,1,954,962,8,8,954,8,64,True,existing_threshold_reached,10,
8,McKesson,@mckesson,fortune_top100_ranked,success,1,840,840,0,0,840,0,42,True,existing_threshold_reached,5,
21,Chevron,@chevron,fortune_top100_ranked,success,1,805,805,0,0,805,0,36,True,existing_threshold_reached,5,
33,Freddie Mac,@FreddieMac,fortune_top100_ranked,success,1,216,221,5,5,216,5,55,True,existing_threshold_reached,9,
45,Johnson & Johnson,@JNJNews,fortune_top100_ranked,success,1,766,767,1,1,766,1,62,True,existing_threshold_reached,12,
57,Albertsons,@albertsons,fortune_top100_ranked,success,1,765,765,0,0,765,0,44,True,existing_threshold_reached,4,
69,Nationwide,@nationwide,fortune_top100_ranked,success,1,1149,1149,0,0,1149,0,30,True,existing_threshold_reached,3,
81,United Airlines Holdings,@united,fortune_top100_ranked,success,1,292,294,2,2,292,2,56,True,existing_threshold_reached,9,
93,USAA,@usaa,fortune_top100_ranked,success,1,899,899,0,0,899,0,39,True,existing_threshold_reached,6,
9,Exxon Mobil,@exxonmobil,fortune_top100_ranked,success,1,582,582,0,0,582,0,40,True,existing_threshold_reached,6,
22,Ford Motor,@Ford,fortune_top100_ranked,success,1,1146,1146,0,0,1146,0,54,True,existing_threshold_reached,4,
34,Humana,@humana,fortune_top100_ranked,success,1,758,758,0,0,758,0,38,True,existing_threshold_reached,3,
46,PepsiCo,@pepsico,fortune_top100_ranked,success,1,817,817,0,0,817,0,41,True,existing_threshold_reached,5,
58,Archer Daniels Midland,@ADMupdates,fortune_top100_ranked,success,1,795,795,0,0,795,0,44,True,existing_threshold_reached,5,
70,Broadcom,@broadcom,fortune_top100_ranked,success,1,184,185,1,1,184,1,63,True,existing_threshold_reached,12,
82,Oracle,@oracle,fortune_top100_ranked,success,1,909,913,4,4,909,4,65,True,existing_threshold_reached,9,
94,TIAA,@tiaa,fortune_top100_ranked,success,1,217,217,0,0,217,0,52,True,existing_threshold_reached,5,
10,Cencora,@CencoraGlobal,fortune_top100_ranked,success,1,479,479,0,0,479,0,41,True,existing_threshold_reached,5,
23,General Motors,@GM,fortune_top100_ranked,success,1,694,694,0,0,694,0,30,True,existing_threshold_reached,3,
35,AT&T,@ATT,fortune_top100_ranked,success,1,934,938,4,4,934,4,65,True,existing_threshold_reached,10,
47,Boeing,@boeing,fortune_top100_ranked,success,1,969,970,1,1,969,1,74,True,existing_threshold_reached,10,
59,MetLife,@metlife,fortune_top100_ranked,success,1,781,781,0,0,781,0,32,True,existing_threshold_reached,5,
71,Delta Air Lines,@Delta,fortune_top100_ranked,success,1,717,717,0,0,717,0,42,True,existing_threshold_reached,4,
83,Cisco Systems,@Cisco,fortune_top100_ranked,success,1,1007,1017,10,10,1007,10,60,True,existing_threshold_reached,12,
95,Liberty Mutual Insurance Group,@LibertyMutual,fortune_top100_ranked,success,1,1018,1018,0,0,1018,0,40,True,existing_threshold_reached,4,
11,Microsoft,@microsoft,fortune_top100_ranked,success,1,666,670,4,4,666,4,59,True,existing_threshold_reached,3,
24,Citigroup,@Citi,fortune_top100_ranked,success,1,400,403,3,3,400,3,60,True,existing_threshold_reached,9,
36,Goldman Sachs Group,@GoldmanSachs,fortune_top100_ranked,success,1,1012,1014,2,2,1012,2,67,True,existing_threshold_reached,10,
48,UPS,@ups,fortune_top100_ranked,success,1,200,202,2,2,200,2,68,True,existing_threshold_reached,11,
60,HCA Healthcare,@hcahealthcare,fortune_top100_ranked,success,1,584,585,1,1,584,1,59,True,existing_threshold_reached,11,
72,Publix Super Markets,@Publix,fortune_top100_ranked,success,1,851,852,1,1,851,1,59,True,existing_threshold_reached,10,
84,HP,@hp,fortune_top100_ranked,success,1,405,407,2,2,405,2,58,True,existing_threshold_reached,10,
96,Travelers,@travelers,fortune_top100_ranked,success,1,835,835,0,0,835,0,43,True,existing_threshold_reached,5,
12,JPMorgan Chase,@jpmorgan,fortune_top100_ranked,success,1,835,839,4,4,835,4,43,True,existing_threshold_reached,6,
25,Home Depot,@homedepot,fortune_top100_ranked,success,1,1392,1397,5,5,1392,5,71,True,existing_threshold_reached,10,
37,Comcast,@comcast,fortune_top100_ranked,success,1,1096,1107,11,11,1096,11,72,True,existing_threshold_reached,12,
49,RTX,@RTX_News,fortune_top100_ranked,success,1,866,866,0,0,866,0,38,True,existing_threshold_reached,3,
61,Lockheed Martin,@lockheedmartin,fortune_top100_ranked,success,1,861,867,6,6,861,6,74,True,existing_threshold_reached,10,
73,Pfizer,@pfizer,fortune_top100_ranked,success,1,384,385,1,1,384,1,38,True,existing_threshold_reached,27,
85,Charter Communications,@CharterNewsroom,fortune_top100_ranked,success,1,657,664,7,7,657,7,63,True,existing_threshold_reached,9,
97,Bristol-Myers Squibb,@bmsnews,fortune_top100_ranked,success,1,930,931,1,1,930,1,60,True,existing_threshold_reached,9,
