company_name,quarter,post_count,aggressive_count,aggressive_intensity,aggressive_intensity_sq,mean_log1p_engagement
Walt Disney,2026-Q1,7,0,0.0,0.0,7.941012
Allstate,2021-Q2,2,0,0.0,0.0,2.260894
Morgan Stanley,2023-Q2,4,0,0.0,0.0,3.201951
Prudential Financial,2019-Q3,7,0,0.0,0.0,4.277303
Cencora,2023-Q4,2,0,0.0,0.0,0.549306
Allstate,2020-Q3,7,0,0.0,0.0,2.054611
Cigna Group,2023-Q4,1,0,0.0,0.0,0.0
Cisco Systems,2025-Q2,3,0,0.0,0.0,2.721124
PepsiCo,2021-Q1,5,1,0.2,0.04,3.509815
Broadcom,2025-Q3,1,0,0.0,0.0,3.713572
MetLife,2021-Q1,2,0,0.0,0.0,3.396172
Amazon,2026-Q2,5,0,0.0,0.0,5.497434
Centene,2024-Q3,2,0,0.0,0.0,1.700598
Nationwide,2025-Q4,1,0,0.0,0.0,7.40367
AT&T,2024-Q3,2,0,0.0,0.0,3.571414
AbbVie,2024-Q4,4,0,0.0,0.0,1.348407
Coca-Cola,2023-Q2,2,0,0.0,0.0,7.369715
Progressive,2024-Q3,1,0,0.0,0.0,3.7612
Prudential Financial,2022-Q1,2,0,0.0,0.0,2.833213
McKesson,2025-Q4,1,0,0.0,0.0,2.079442
Kroger,2019-Q2,2,0,0.0,0.0,2.787974
TJX,2017-Q2,2,0,0.0,0.0,0.0
McKesson,2024-Q1,2,0,0.0,0.0,2.012676
PepsiCo,2022-Q1,2,0,0.0,0.0,8.436954
Lowe's,2025-Q1,1,0,0.0,0.0,5.493061
Morgan Stanley,2025-Q1,2,0,0.0,0.0,3.803691
Dell Technologies,2026-Q1,5,0,0.0,0.0,3.778536
Chevron,2022-Q3,2,0,0.0,0.0,3.936228
General Dynamics,2022-Q3,10,0,0.0,0.0,1.351332
United Airlines Holdings,2025-Q1,1,0,0.0,0.0,10.070569
Publix Super Markets,2024-Q3,3,0,0.0,0.0,3.952753
Procter & Gamble,2022-Q4,3,0,0.0,0.0,2.694443
AT&T,2025-Q3,3,1,0.333333333333,0.111111111111,5.856772
Amazon,2024-Q1,2,0,0.0,0.0,5.720919
Comcast,2025-Q2,5,0,0.0,0.0,5.892704
HCA Healthcare,2025-Q1,2,0,0.0,0.0,1.666102
Phillips 66,2022-Q3,4,0,0.0,0.0,2.063957
Walmart,2023-Q3,6,0,0.0,0.0,5.054254
HP,2022-Q4,3,0,0.0,0.0,4.216595
Eli Lilly,2020-Q4,3,0,0.0,0.0,2.779037
Centene,2023-Q4,1,0,0.0,0.0,3.135494
Cisco Systems,2024-Q4,3,1,0.333333333333,0.111111111111,3.463081
Oracle,2025-Q4,3,0,0.0,0.0,5.740955
ConocoPhillips,2023-Q1,1,0,0.0,0.0,2.772589
Archer Daniels Midland,2024-Q1,2,0,0.0,0.0,2.003667
Wells Fargo,2025-Q4,1,0,0.0,0.0,3.988984
Dell Technologies,2024-Q4,1,0,0.0,0.0,3.850148
Capital One Financial,2022-Q4,4,0,0.0,0.0,4.726957
Albertsons,2021-Q2,5,0,0.0,0.0,2.608144
ConocoPhillips,2024-Q4,1,0,0.0,0.0,2.397895
Liberty Mutual Insurance Group,2019-Q3,1,0,0.0,0.0,2.397895
Caterpillar,2021-Q3,7,0,0.0,0.0,2.739469
Boeing,2024-Q4,1,0,0.0,0.0,5.081404
Ford Motor,2023-Q2,3,0,0.0,0.0,6.758159
Intel,2025-Q3,2,0,0.0,0.0,5.146886
Boeing,2021-Q4,2,0,0.0,0.0,5.11998
Wells Fargo,2024-Q2,2,0,0.0,0.0,2.756715
Bank of America,2025-Q4,1,0,0.0,0.0,2.197225
Boeing,2023-Q1,2,0,0.0,0.0,7.813821
Walmart,2026-Q1,4,0,0.0,0.0,2.895183
Bank of America,2026-Q2,2,0,0.0,0.0,6.011573
Boeing,2022-Q4,1,0,0.0,0.0,4.770685
Meta Platforms,2024-Q4,1,0,0.0,0.0,7.147559
McKesson,2024-Q2,2,0,0.0,0.0,1.84444
United Airlines Holdings,2025-Q4,1,0,0.0,0.0,9.5808
Prudential Financial,2021-Q4,2,0,0.0,0.0,2.452637
AT&T,2024-Q2,1,0,0.0,0.0,2.833213
ConocoPhillips,2025-Q1,1,0,0.0,0.0,2.833213
USAA,2025-Q1,5,0,0.0,0.0,4.751957
Lockheed Martin,2025-Q1,2,0,0.0,0.0,8.495082
Delta Air Lines,2021-Q1,1,0,0.0,0.0,7.457609
Uber Technologies,2024-Q2,5,0,0.0,0.0,6.395978
Johnson & Johnson,2021-Q2,1,0,0.0,0.0,3.555348
Morgan Stanley,2025-Q2,1,0,0.0,0.0,4.356709
Tyson Foods,2022-Q1,3,0,0.0,0.0,4.273266
MetLife,2023-Q1,2,0,0.0,0.0,2.047172
General Motors,2021-Q2,3,0,0.0,0.0,4.296679
Walt Disney,2024-Q3,8,0,0.0,0.0,6.873951
JPMorgan Chase,2026-Q2,2,0,0.0,0.0,3.597218
Walt Disney,2024-Q2,3,0,0.0,0.0,7.577725
Capital One Financial,2025-Q2,1,0,0.0,0.0,6.563856
MetLife,2021-Q4,1,0,0.0,0.0,1.098612
RTX,2024-Q4,3,1,0.333333333333,0.111111111111,3.642531
Cencora,2024-Q2,1,0,0.0,0.0,1.098612
Goldman Sachs Group,2024-Q2,5,1,0.2,0.04,3.969436
AT&T,2026-Q2,5,0,0.0,0.0,5.903682
JPMorgan Chase,2022-Q1,3,0,0.0,0.0,3.997627
Albertsons,2018-Q3,3,0,0.0,0.0,2.768494
Walt Disney,2025-Q1,14,1,0.071428571429,0.005102040816,8.604448
Wells Fargo,2024-Q4,3,0,0.0,0.0,3.675077
Exxon Mobil,2020-Q1,3,0,0.0,0.0,6.077855
Cardinal Health,2024-Q3,2,0,0.0,0.0,2.524928
Bank of America,2023-Q3,11,2,0.181818181818,0.03305785124,3.453536
Home Depot,2023-Q3,2,2,1.0,1.0,4.425044
AT&T,2025-Q2,4,0,0.0,0.0,3.456316
Morgan Stanley,2022-Q4,5,0,0.0,0.0,3.137608
Capital One Financial,2022-Q3,2,0,0.0,0.0,4.24563
Nationwide,2024-Q1,5,0,0.0,0.0,4.044674
Performance Food Group,2015-Q4,1,0,0.0,0.0,3.332205
Publix Super Markets,2025-Q1,1,0,0.0,0.0,3.496508
Delta Air Lines,2023-Q3,2,0,0.0,0.0,5.723094
Home Depot,2017-Q2,6,0,0.0,0.0,0.115524
