tweet_id,company_name,source_x_handle,period,year,month,log_total_engagement,humor_type,aggressive_humor,affiliative_humor,self_enhancing_humor,self_defeating_humor,non_humorous,text_length,hashtag_count,mention_count,h2_sample_inclusion_flag
1972714545337745877,Amazon,@amazon,2025-09,2025,09,4.574711,affiliative,0,1,0,0,0,86,0,2,1
1865197142320513311,Amazon,@amazon,2024-12,2024,12,4.532599,non_humorous,0,0,0,0,1,23,0,0,1
1873046936946909620,Amazon,@amazon,2024-12,2024,12,6.812345,non_humorous,0,0,0,0,1,359,0,1,1
1873046941434822789,Amazon,@amazon,2024-12,2024,12,5.342334,non_humorous,0,0,0,0,1,23,0,0,1
1878194439878832419,Amazon,@amazon,2025-01,2025,01,6.234411,non_humorous,0,0,0,0,1,831,0,0,1
1814634641191510427,Amazon,@amazon,2024-07,2024,07,4.510860,non_humorous,0,0,0,0,1,23,0,0,1
1933965008804725244,Amazon,@amazon,2025-06,2025,06,5.429346,non_humorous,0,0,0,0,1,145,0,0,1
1933971091137126429,Amazon,@amazon,2025-06,2025,06,3.367296,non_humorous,0,0,0,0,1,140,0,1,1
1852742478153252992,Amazon,@amazon,2024-11,2024,11,5.855072,non_humorous,0,0,0,0,1,368,0,0,1
1852742480284062087,Amazon,@amazon,2024-11,2024,11,4.584967,non_humorous,0,0,0,0,1,36,0,0,1
1723339828429742298,Amazon,@amazon,2023-11,2023,11,5.598422,non_humorous,0,0,0,0,1,299,1,0,1
1728503847784436037,Amazon,@amazon,2023-11,2023,11,4.812184,self_defeating,0,0,0,1,0,159,0,0,1
1710449686706819571,Amazon,@amazon,2023-10,2023,10,4.532599,non_humorous,0,0,0,0,1,140,0,2,1
1908731438490673310,Amazon,@amazon,2025-04,2025,04,6.198479,non_humorous,0,0,0,0,1,227,0,1,1
1908958742529597552,Amazon,@amazon,2025-04,2025,04,4.290459,non_humorous,0,0,0,0,1,140,0,2,1
2043368784472482300,Amazon,@amazon,2026-04,2026,04,5.484797,non_humorous,0,0,0,0,1,548,0,1,1
1883393130294095911,Amazon,@amazon,2025-01,2025,01,9.469391,non_humorous,0,0,0,0,1,31,0,0,1
1797246399702003791,Amazon,@amazon,2024-06,2024,06,5.236442,non_humorous,0,0,0,0,1,444,1,1,1
1728821008935604701,Amazon,@amazon,2023-11,2023,11,5.010635,non_humorous,0,0,0,0,1,169,1,1,1
1842931969543606425,Amazon,@amazon,2024-10,2024,10,4.189655,non_humorous,0,0,0,0,1,23,0,0,1
2042183941793173972,Amazon,@amazon,2026-04,2026,04,4.615121,non_humorous,0,0,0,0,1,95,0,0,1
