company_name,period,post_count,humor_post_count,aggressive_humor_post_count,aggressive_humor_usage_intensity,aggressive_humor_usage_intensity_sq,mean_log_total_engagement,mean_total_engagement,median_total_engagement,mean_text_length,mean_hashtag_count,mean_mention_count,h3_sample_inclusion_flag
CVS Health,2022-02,24,0,0,0.0,0.0,2.435913,13.583333,10.5,262.9583,1.25,0.7083,1
CVS Health,2026-02,1,0,0,0.0,0.0,3.988984,53.0,53.0,279.0,0.0,0.0,1
CVS Health,2022-01,21,1,0,0.0,0.0,2.655397,36.47619,9.0,250.8095,1.2381,0.619,1
CVS Health,2021-07,34,2,0,0.0,0.0,2.030404,11.058824,6.0,255.0882,1.4412,0.7353,1
CVS Health,2021-06,25,1,0,0.0,0.0,2.305932,14.2,8.0,251.48,1.68,1.32,1
CVS Health,2022-06,18,0,0,0.0,0.0,2.13117,8.722222,8.5,216.2222,1.0556,0.8333,1
CVS Health,2022-03,19,0,0,0.0,0.0,2.292157,12.842105,10.0,260.8947,1.2632,0.9474,1
CVS Health,2022-05,13,1,0,0.0,0.0,2.647221,14.230769,16.0,260.3077,1.2308,1.1538,1
CVS Health,2021-05,38,1,0,0.0,0.0,2.437852,15.789474,10.0,249.0263,1.6579,1.1316,1
CVS Health,2022-11,15,0,0,0.0,0.0,3.823777,88.533333,33.0,265.8,1.2667,0.3333,1
CVS Health,2021-11,23,7,0,0.0,0.0,2.475934,12.608696,11.0,237.4348,1.3913,0.4783,1
CVS Health,2021-10,24,2,0,0.0,0.0,2.333034,12.083333,9.5,234.0,1.75,0.75,1
CVS Health,2022-10,25,3,0,0.0,0.0,2.848517,19.68,17.0,248.08,0.92,0.8,1
CVS Health,2022-09,20,3,0,0.0,0.0,2.828335,58.65,12.0,264.7,0.85,1.15,1
CVS Health,2021-09,33,4,0,0.0,0.0,2.508827,14.393939,9.0,250.0606,1.3636,0.5455,1
CVS Health,2022-08,12,0,0,0.0,0.0,2.811689,16.833333,15.5,266.6667,0.9167,0.9167,1
CVS Health,2022-07,14,1,0,0.0,0.0,2.840071,17.357143,16.0,249.7143,1.3571,0.7857,1
CVS Health,2021-03,6,3,0,0.0,0.0,2.680874,15.166667,14.5,220.0,1.1667,0.6667,1
CVS Health,2026-03,3,0,0,0.0,0.0,2.424133,12.333333,9.0,216.0,0.0,0.6667,1
CVS Health,2026-05,3,0,0,0.0,0.0,2.573487,19.0,6.0,224.0,0.0,0.0,1
McKesson,2026-04,10,0,0,0.0,0.0,1.40058,3.4,3.5,266.6,0.7,0.4,1
McKesson,2024-04,18,0,0,0.0,0.0,2.050223,7.0,6.5,280.5556,1.2778,0.2778,1
McKesson,2023-04,15,0,0,0.0,0.0,1.968555,6.666667,5.0,268.5333,0.3333,0.1333,1
McKesson,2022-04,8,1,0,0.0,0.0,2.209764,8.5,8.0,256.125,0.625,0.5,1
McKesson,2023-08,17,0,0,0.0,0.0,1.890267,5.941176,6.0,269.8235,0.9412,0.3529,1
McKesson,2024-08,15,0,0,0.0,0.0,2.011406,6.933333,7.0,275.0667,0.8667,0.1333,1
McKesson,2022-08,16,0,0,0.0,0.0,1.949516,6.3125,6.0,241.875,0.375,0.25,1
McKesson,2022-12,19,1,0,0.0,0.0,1.733852,5.105263,5.0,261.4211,0.4211,0.2105,1
McKesson,2021-12,21,1,0,0.0,0.0,2.087217,9.047619,7.0,251.0,0.2381,0.3333,1
McKesson,2025-12,11,0,0,0.0,0.0,1.647601,4.818182,4.0,281.6364,0.2727,0.8182,1
McKesson,2023-02,19,0,0,0.0,0.0,1.698319,5.0,5.0,267.2105,0.6316,0.1579,1
McKesson,2022-02,14,0,0,0.0,0.0,2.219809,8.785714,9.0,247.0714,0.5714,0.2143,1
McKesson,2026-02,11,0,0,0.0,0.0,1.090486,2.272727,2.0,281.1818,0.3636,0.4545,1
McKesson,2025-02,9,0,0,0.0,0.0,1.874222,5.777778,6.0,281.3333,0.5556,0.2222,1
McKesson,2024-01,15,0,0,0.0,0.0,1.994105,6.8,7.0,275.2,1.2667,0.1333,1
McKesson,2023-01,16,1,0,0.0,0.0,1.970636,6.875,6.0,265.3125,0.4375,0.0625,1
McKesson,2026-01,7,0,0,0.0,0.0,1.081786,2.0,2.0,291.0,0.0,0.0,1
McKesson,2022-01,13,1,0,0.0,0.0,2.413139,10.615385,10.0,262.6923,0.3846,0.3077,1
McKesson,2025-01,9,0,0,0.0,0.0,1.982087,6.666667,6.0,286.2222,1.1111,0.0,1
McKesson,2022-07,12,1,0,0.0,0.0,2.030378,6.916667,6.0,251.25,0.5,0.0,1
McKesson,2025-07,6,0,0,0.0,0.0,2.059999,7.833333,8.0,272.0,0.5,0.3333,1
McKesson,2023-07,13,0,0,0.0,0.0,1.707907,5.0,4.0,271.7692,0.6923,0.0,1
McKesson,2022-06,14,0,0,0.0,0.0,2.194668,8.785714,7.5,269.0714,0.5,0.2857,1
McKesson,2026-06,9,0,0,0.0,0.0,0.629218,1.222222,1.0,284.4444,0.4444,0.1111,1
McKesson,2024-06,17,0,0,0.0,0.0,2.112275,7.705882,7.0,277.5882,1.0588,0.2941,1
McKesson,2023-06,17,0,0,0.0,0.0,1.629892,4.470588,4.0,272.8235,0.7647,0.2353,1
McKesson,2026-03,10,1,0,0.0,0.0,1.422894,3.6,3.0,279.5,0.6,0.4,1
McKesson,2024-03,17,0,0,0.0,0.0,2.15808,8.058824,8.0,285.8235,0.9412,0.1765,1
McKesson,2023-03,15,0,0,0.0,0.0,2.020102,6.8,7.0,259.8,0.7333,0.0667,1
McKesson,2022-03,26,1,0,0.0,0.0,2.272917,10.461538,8.5,250.4615,0.5,0.3077,1
McKesson,2022-05,10,0,0,0.0,0.0,2.014671,6.8,6.0,255.1,0.5,0.2,1
McKesson,2026-05,10,0,0,0.0,0.0,0.872323,1.9,1.0,282.5,1.0,0.7,1
McKesson,2025-05,5,1,0,0.0,0.0,2.018755,6.8,6.0,276.8,1.2,0.8,1
McKesson,2024-05,14,0,0,0.0,0.0,2.15226,7.642857,8.0,271.7143,1.1429,0.1429,1
McKesson,2023-05,13,1,0,0.0,0.0,1.734362,5.076923,5.0,256.2308,0.4615,0.0769,1
McKesson,2022-11,21,0,0,0.0,0.0,1.953791,6.857143,6.0,279.381,0.5238,0.0476,1
McKesson,2023-11,10,0,0,0.0,0.0,1.891677,5.9,5.0,270.9,1.0,0.1,1
McKesson,2022-10,19,0,0,0.0,0.0,2.136177,7.894737,7.0,273.2632,0.8947,0.1579,1
McKesson,2025-10,13,1,0,0.0,0.0,1.748086,5.307692,5.0,288.9231,0.1538,0.1538,1
McKesson,2024-10,16,0,0,0.0,0.0,2.200644,8.25,8.0,294.375,1.1875,0.25,1
McKesson,2023-10,15,1,0,0.0,0.0,2.248057,10.333333,8.0,290.9333,2.1333,0.1333,1
McKesson,2023-09,15,0,0,0.0,0.0,1.824359,5.4,5.0,293.5333,1.4,0.4,1
McKesson,2024-09,15,1,0,0.0,0.0,2.166634,8.0,7.0,280.4,1.1333,0.0667,1
McKesson,2022-09,15,0,0,0.0,0.0,1.812204,5.533333,6.0,270.5333,0.8667,0.1333,1
McKesson,2025-09,8,1,0,0.0,0.0,1.968596,6.5,6.0,275.875,0.125,0.375,1
McKesson,2025-04,6,0,0,0.0,0.0,2.350185,9.666667,10.5,287.6667,0.5,0.5,1
McKesson,2025-08,6,0,0,0.0,0.0,1.97792,6.833333,6.5,269.6667,0.3333,0.5,1
McKesson,2023-12,8,1,0,0.0,0.0,1.983371,6.375,6.0,260.875,1.0,0.125,1
McKesson,2024-02,16,1,0,0.0,0.0,1.932662,6.0625,6.0,275.5625,1.0,0.125,1
McKesson,2024-07,13,0,0,0.0,0.0,2.069457,7.153846,7.0,280.8462,1.1538,0.0769,1
McKesson,2025-06,9,1,0,0.0,0.0,1.988867,6.777778,5.0,288.5556,0.5556,0.6667,1
McKesson,2024-11,5,0,0,0.0,0.0,2.581794,12.6,11.0,297.4,1.2,0.2,1
McKesson,2025-11,4,0,0,0.0,0.0,1.543446,3.75,3.5,280.5,0.25,0.5,1
McKesson,2025-03,4,0,0,0.0,0.0,2.042122,6.75,6.5,281.0,0.0,0.25,1
Exxon Mobil,2020-04,17,1,0,0.0,0.0,4.819745,191.176471,103.0,215.2353,0.2353,0.1176,1
Exxon Mobil,2023-04,10,1,0,0.0,0.0,3.858517,51.4,49.0,254.8,0.7,0.3,1
Exxon Mobil,2019-04,7,1,0,0.0,0.0,5.31192,356.714286,163.0,200.8571,0.5714,0.4286,1
Exxon Mobil,2022-04,6,1,0,0.0,0.0,4.364373,113.666667,58.5,249.8333,0.0,0.0,1
Exxon Mobil,2019-08,7,2,0,0.0,0.0,5.183437,371.428571,165.0,177.5714,0.2857,0.1429,1
Exxon Mobil,2020-08,5,0,0,0.0,0.0,4.143545,81.6,71.0,103.4,0.0,0.0,1
Exxon Mobil,2022-12,10,0,0,0.0,0.0,3.581124,38.7,36.0,202.5,0.4,0.0,1
Exxon Mobil,2019-12,6,2,0,0.0,0.0,4.738711,137.5,107.5,183.6667,0.0,0.0,1
Exxon Mobil,2023-02,4,0,0,0.0,0.0,3.838134,46.25,43.5,263.25,1.25,0.25,1
Exxon Mobil,2021-02,8,0,0,0.0,0.0,4.640616,148.0,85.5,256.875,0.0,0.625,1
Exxon Mobil,2020-01,11,1,0,0.0,0.0,4.12915,72.0,82.0,154.4545,0.7273,0.5455,1
Exxon Mobil,2022-01,15,0,0,0.0,0.0,3.596322,48.6,33.0,218.5333,0.0667,0.4667,1
Exxon Mobil,2023-01,9,0,0,0.0,0.0,4.303433,94.777778,61.0,256.6667,0.7778,0.2222,1
Exxon Mobil,2021-07,10,0,0,0.0,0.0,4.426603,126.5,90.5,245.7,0.1,0.6,1
Exxon Mobil,2020-07,8,2,0,0.0,0.0,4.461646,285.625,67.5,216.25,0.125,0.75,1
Exxon Mobil,2019-06,9,0,0,0.0,0.0,4.553907,127.777778,126.0,197.5556,0.7778,0.8889,1
Exxon Mobil,2021-06,4,0,0,0.0,0.0,3.969667,53.75,48.5,212.25,0.25,0.75,1
Exxon Mobil,2022-03,6,0,0,0.0,0.0,4.070151,59.5,55.5,261.8333,0.0,0.1667,1
Exxon Mobil,2019-03,5,1,0,0.0,0.0,4.823404,180.0,168.0,180.0,0.2,1.0,1
Exxon Mobil,2020-03,6,0,0,0.0,0.0,4.260447,71.166667,71.5,252.1667,0.1667,0.0,1
Exxon Mobil,2019-05,20,0,0,0.0,0.0,3.650399,87.0,26.0,211.45,0.65,0.8,1
Exxon Mobil,2020-05,16,0,0,0.0,0.0,4.615957,582.1875,65.5,177.625,0.9375,0.5,1
Exxon Mobil,2022-05,5,0,0,0.0,0.0,4.354057,79.0,73.0,233.8,0.2,0.0,1
Exxon Mobil,2019-11,9,1,0,0.0,0.0,4.912261,146.777778,141.0,213.3333,0.3333,0.3333,1
Exxon Mobil,2022-11,3,0,0,0.0,0.0,3.840747,48.666667,43.0,276.6667,0.6667,0.0,1
Exxon Mobil,2021-11,7,0,0,0.0,0.0,3.623381,41.857143,42.0,241.7143,0.5714,0.4286,1
Exxon Mobil,2019-10,7,2,0,0.0,0.0,5.220852,238.714286,123.0,190.8571,0.1429,0.2857,1
Exxon Mobil,2020-10,7,4,0,0.0,0.0,4.216854,146.0,75.0,173.0,0.4286,0.2857,1
Exxon Mobil,2023-10,8,0,0,0.0,0.0,4.397823,85.875,77.5,214.25,0.75,0.25,1
Exxon Mobil,2022-10,8,1,0,0.0,0.0,3.98341,57.125,56.0,248.125,0.625,0.25,1
Exxon Mobil,2021-10,6,0,0,0.0,0.0,4.000959,66.666667,59.5,241.1667,0.0,0.5,1
Exxon Mobil,2020-09,5,2,0,0.0,0.0,4.600998,122.6,115.0,177.4,0.4,0.6,1
Exxon Mobil,2019-09,9,3,0,0.0,0.0,5.334,313.111111,167.0,158.6667,0.3333,0.3333,1
Exxon Mobil,2023-09,6,0,0,0.0,0.0,4.023068,56.333333,60.0,244.6667,0.3333,0.1667,1
Exxon Mobil,2022-08,8,0,0,0.0,0.0,3.910808,51.125,47.0,235.5,0.375,0.0,1
Exxon Mobil,2021-12,10,0,0,0.0,0.0,3.711009,45.4,42.5,251.1,0.2,0.6,1
Exxon Mobil,2020-12,9,1,0,0.0,0.0,4.847767,485.666667,63.0,195.6667,0.2222,0.1111,1
Exxon Mobil,2020-02,5,1,0,0.0,0.0,3.999561,62.6,69.0,175.4,1.0,0.2,1
