model_id,hypothesis,dependent_variable,dv_window,dv_role,independent_variable,coefficient,std_error,t_stat,p_value,ci_lower,ci_upper,n_obs,fixed_effects,sample_filter,interpretation_scope
H1a_lag3m_m3p3,H1,CAR_m3_p3,"[-3,+3]",robustness_dv,humor_share,0.00643405,0.02209212,0.2912,0.771089,-0.03705712,0.04992522,290,"target_report_year_FE, naics_sector_code_FE",prefiling_lag_3m only,correlational — no causal interpretation warranted
H1a_samemon_m3p3,H1,CAR_m3_p3,"[-3,+3]",robustness_dv,humor_share,-0.03533632,0.04287472,-0.8242,0.411283,-0.12012368,0.04945104,150,"target_report_year_FE, naics_sector_code_FE",same_month only (simultaneity caution),correlational — caution: same_month alignment carries simultaneity risk
H1a_compFE_m3p3,H1,CAR_m3_p3,"[-3,+3]",robustness_dv,humor_share,0.00656171,0.02210123,0.2969,0.766726,-0.0369084,0.05003183,430,"target_report_year_FE, company_name_FE","primary (lag1m+lag3m, join_ready_for_CAR_m3_p3) [company FE robustness]",correlational — no causal interpretation warranted
H1a_m5p5,H1,CAR_m5_p5,"[-5,+5]",robustness_dv,humor_share,-0.00831323,0.0228833,-0.3633,0.716575,-0.05329486,0.03666839,430,"target_report_year_FE, naics_sector_code_FE","primary (lag1m+lag3m, join_ready_for_CAR_m5_p5)",correlational — no causal interpretation warranted
H1b_m5p5,H1,CAR_m5_p5,"[-5,+5]",robustness_dv,humor_presence_any,0.00067681,0.01197243,0.0565,0.954946,-0.02285736,0.02421098,430,"target_report_year_FE, naics_sector_code_FE","primary (lag1m+lag3m, join_ready_for_CAR_m5_p5)",correlational — no causal interpretation warranted
H2a_m5p5,H2,CAR_m5_p5,"[-5,+5]",robustness_dv,aggressive_share,0.54290177,0.70954767,0.7651,0.444626,-0.85187353,1.93767706,430,"target_report_year_FE, naics_sector_code_FE","primary (lag1m+lag3m, join_ready_for_CAR_m5_p5) [affiliative_share=ref]",correlational — no causal interpretation warranted
H2a_m5p5,H2,CAR_m5_p5,"[-5,+5]",robustness_dv,self_enhancing_share,-0.00109911,0.02782847,-0.0395,0.968514,-0.05580221,0.05360399,430,"target_report_year_FE, naics_sector_code_FE","primary (lag1m+lag3m, join_ready_for_CAR_m5_p5) [affiliative_share=ref]",correlational — no causal interpretation warranted
H2a_m5p5,H2,CAR_m5_p5,"[-5,+5]",robustness_dv,self_defeating_share,-0.10718772,0.74788507,-0.1433,0.886106,-1.57732378,1.36294833,430,"target_report_year_FE, naics_sector_code_FE","primary (lag1m+lag3m, join_ready_for_CAR_m5_p5) [affiliative_share=ref]",correlational — no causal interpretation warranted
H2b_m5p5,H2,CAR_m5_p5,"[-5,+5]",robustness_dv,rare_negative_humor_share,0.23616365,0.51954608,0.4546,0.649665,-0.78510637,1.25743367,430,"target_report_year_FE, naics_sector_code_FE","primary (lag1m+lag3m, join_ready_for_CAR_m5_p5)",correlational — no causal interpretation warranted
H3_m5p5,H3,CAR_m5_p5,"[-5,+5]",robustness_dv,aggressive_humor_usage_intensity,0.62230536,3.716182,0.1675,0.867091,-6.68263303,7.92724375,430,"target_report_year_FE, naics_sector_code_FE","primary (lag1m+lag3m, join_ready_for_CAR_m5_p5) [EXPLORATORY — extreme sparsity]",exploratory correlational — H3 has only 5 nonzero aggressive intensity rows (98.8% zero); interpret with extreme caution
H3_m5p5,H3,CAR_m5_p5,"[-5,+5]",robustness_dv,aggressive_humor_usage_intensity_sq,-1.45004022,69.36333753,-0.0209,0.983332,-137.79828889,134.89820845,430,"target_report_year_FE, naics_sector_code_FE","primary (lag1m+lag3m, join_ready_for_CAR_m5_p5) [EXPLORATORY — extreme sparsity]",exploratory correlational — H3 has only 5 nonzero aggressive intensity rows (98.8% zero); interpret with extreme caution
H1a_lag1m_m5p5,H1,CAR_m5_p5,"[-5,+5]",robustness_dv,humor_share,0.03420019,0.07495674,0.4563,0.648991,-0.1141485,0.18254888,140,"target_report_year_FE, naics_sector_code_FE",prefiling_lag_1m only,correlational — no causal interpretation warranted
H1a_lag3m_m5p5,H1,CAR_m5_p5,"[-5,+5]",robustness_dv,humor_share,-0.01528931,0.02550034,-0.5996,0.549285,-0.06549,0.03491137,290,"target_report_year_FE, naics_sector_code_FE",prefiling_lag_3m only,correlational — no causal interpretation warranted
H1a_samemon_m5p5,H1,CAR_m5_p5,"[-5,+5]",robustness_dv,humor_share,-0.00735599,0.04948096,-0.1487,0.88204,-0.1052076,0.09049562,150,"target_report_year_FE, naics_sector_code_FE",same_month only (simultaneity caution),correlational — caution: same_month alignment carries simultaneity risk
H1a_compFE_m5p5,H1,CAR_m5_p5,"[-5,+5]",robustness_dv,humor_share,-0.00199779,0.02460519,-0.0812,0.935335,-0.05039285,0.04639726,430,"target_report_year_FE, company_name_FE","primary (lag1m+lag3m, join_ready_for_CAR_m5_p5) [company FE robustness]",correlational — no causal interpretation warranted
