model_id,hypothesis,dv,focal_iv,n_obs,n_companies,n_periods,r_squared,adj_r_squared,f_stat,f_pvalue,fixed_effects,controls,iv_nonzero_n,iv_nonzero_pct,focal_iv_vif_approx,convergence_ok
H2a_logv2_CAR_m1_p1,H2,CAR_m1_p1,hc_log_v2_aggressive_candidate,430,78,3,0.0581,0.0263,2.887,0.0003,target_report_year+naics_sector_code,"ambiguity_rate,high_ambiguity_flag,source_x_handle_count,log_humor_count",259,60.23,,1
H2a_logv2_CAR_m3_p3,H2,CAR_m3_p3,hc_log_v2_aggressive_candidate,430,78,3,0.0556,0.0237,4.1587,0.0,target_report_year+naics_sector_code,"ambiguity_rate,high_ambiguity_flag,source_x_handle_count,log_humor_count",259,60.23,,1
H2a_logv2_CAR_m5_p5,H2,CAR_m5_p5,hc_log_v2_aggressive_candidate,430,78,3,0.0784,0.0473,2.5087,0.0019,target_report_year+naics_sector_code,"ambiguity_rate,high_ambiguity_flag,source_x_handle_count,log_humor_count",259,60.23,,1
H2a_binary_CAR_m1_p1,H2,CAR_m1_p1,hc_v2_aggressive_candidate_presence,430,78,3,0.0547,0.0228,2.5847,0.0014,target_report_year+naics_sector_code,"ambiguity_rate,high_ambiguity_flag,source_x_handle_count,log_humor_count",259,60.23,,1
H2a_binary_CAR_m3_p3,H2,CAR_m3_p3,hc_v2_aggressive_candidate_presence,430,78,3,0.0548,0.0229,3.9116,0.0,target_report_year+naics_sector_code,"ambiguity_rate,high_ambiguity_flag,source_x_handle_count,log_humor_count",259,60.23,,1
H2a_binary_CAR_m5_p5,H2,CAR_m5_p5,hc_v2_aggressive_candidate_presence,430,78,3,0.0775,0.0463,2.6323,0.0011,target_report_year+naics_sector_code,"ambiguity_rate,high_ambiguity_flag,source_x_handle_count,log_humor_count",259,60.23,,1
H2b_scoresum_CAR_m1_p1,H2,CAR_m1_p1,aggressive_candidate_score_sum,430,78,3,0.0523,0.0204,2.5097,0.0019,target_report_year+naics_sector_code,"ambiguity_rate,high_ambiguity_flag,source_x_handle_count,log_humor_count",399,92.79,,1
H2b_scoresum_CAR_m3_p3,H2,CAR_m3_p3,aggressive_candidate_score_sum,430,78,3,0.0523,0.0203,3.4951,0.0,target_report_year+naics_sector_code,"ambiguity_rate,high_ambiguity_flag,source_x_handle_count,log_humor_count",399,92.79,,1
H2b_scoresum_CAR_m5_p5,H2,CAR_m5_p5,aggressive_candidate_score_sum,430,78,3,0.0761,0.0449,2.2525,0.0059,target_report_year+naics_sector_code,"ambiguity_rate,high_ambiguity_flag,source_x_handle_count,log_humor_count",399,92.79,,1
H2b_scoremean_CAR_m1_p1,H2,CAR_m1_p1,aggressive_candidate_score_mean,430,78,3,0.0517,0.0197,2.4932,0.0021,target_report_year+naics_sector_code,"ambiguity_rate,high_ambiguity_flag,source_x_handle_count,log_humor_count",399,92.79,,1
H2b_scoremean_CAR_m3_p3,H2,CAR_m3_p3,aggressive_candidate_score_mean,430,78,3,0.0503,0.0183,3.6532,0.0,target_report_year+naics_sector_code,"ambiguity_rate,high_ambiguity_flag,source_x_handle_count,log_humor_count",399,92.79,,1
H2b_scoremean_CAR_m5_p5,H2,CAR_m5_p5,aggressive_candidate_score_mean,430,78,3,0.0723,0.0411,1.8972,0.025,target_report_year+naics_sector_code,"ambiguity_rate,high_ambiguity_flag,source_x_handle_count,log_humor_count",399,92.79,,1
H2b_scoremax_CAR_m1_p1,H2,CAR_m1_p1,aggressive_candidate_score_max,430,78,3,0.0525,0.0205,2.5191,0.0018,target_report_year+naics_sector_code,"ambiguity_rate,high_ambiguity_flag,source_x_handle_count,log_humor_count",399,92.79,,1
H2b_scoremax_CAR_m3_p3,H2,CAR_m3_p3,aggressive_candidate_score_max,430,78,3,0.0503,0.0183,3.8022,0.0,target_report_year+naics_sector_code,"ambiguity_rate,high_ambiguity_flag,source_x_handle_count,log_humor_count",399,92.79,,1
H2b_scoremax_CAR_m5_p5,H2,CAR_m5_p5,aggressive_candidate_score_max,430,78,3,0.0727,0.0415,1.9405,0.0211,target_report_year+naics_sector_code,"ambiguity_rate,high_ambiguity_flag,source_x_handle_count,log_humor_count",399,92.79,,1
H2c_rare_CAR_m1_p1,H2,CAR_m1_p1,hc_rare_class_candidate_count,430,78,3,0.0518,0.0198,2.447,0.0025,target_report_year+naics_sector_code,"ambiguity_rate,high_ambiguity_flag,source_x_handle_count,log_humor_count",85,19.77,,1
H2c_rare_CAR_m3_p3,H2,CAR_m3_p3,hc_rare_class_candidate_count,430,78,3,0.0568,0.025,3.8161,0.0,target_report_year+naics_sector_code,"ambiguity_rate,high_ambiguity_flag,source_x_handle_count,log_humor_count",85,19.77,,1
H2c_rare_CAR_m5_p5,H2,CAR_m5_p5,hc_rare_class_candidate_count,430,78,3,0.0875,0.0567,2.8147,0.0005,target_report_year+naics_sector_code,"ambiguity_rate,high_ambiguity_flag,source_x_handle_count,log_humor_count",85,19.77,,1
H2c_rarelogg_CAR_m1_p1,H2,CAR_m1_p1,hc_log_rare_class_candidate,430,78,3,0.052,0.02,2.4414,0.0026,target_report_year+naics_sector_code,"ambiguity_rate,high_ambiguity_flag,source_x_handle_count,log_humor_count",85,19.77,,1
H2c_rarelogg_CAR_m3_p3,H2,CAR_m3_p3,hc_log_rare_class_candidate,430,78,3,0.0559,0.024,3.7271,0.0,target_report_year+naics_sector_code,"ambiguity_rate,high_ambiguity_flag,source_x_handle_count,log_humor_count",85,19.77,,1
H2c_rarelogg_CAR_m5_p5,H2,CAR_m5_p5,hc_log_rare_class_candidate,430,78,3,0.0878,0.057,2.6931,0.0008,target_report_year+naics_sector_code,"ambiguity_rate,high_ambiguity_flag,source_x_handle_count,log_humor_count",85,19.77,,1
H2c_rarebinary_CAR_m1_p1,H2,CAR_m1_p1,hc_rare_class_candidate_presence,430,78,3,0.0527,0.0208,2.4395,0.0026,target_report_year+naics_sector_code,"ambiguity_rate,high_ambiguity_flag,source_x_handle_count,log_humor_count",85,19.77,,1
H2c_rarebinary_CAR_m3_p3,H2,CAR_m3_p3,hc_rare_class_candidate_presence,430,78,3,0.0535,0.0216,3.6181,0.0,target_report_year+naics_sector_code,"ambiguity_rate,high_ambiguity_flag,source_x_handle_count,log_humor_count",85,19.77,,1
H2c_rarebinary_CAR_m5_p5,H2,CAR_m5_p5,hc_rare_class_candidate_presence,430,78,3,0.087,0.0562,2.4659,0.0023,target_report_year+naics_sector_code,"ambiguity_rate,high_ambiguity_flag,source_x_handle_count,log_humor_count",85,19.77,,1
