model,term,coefficient,std_error,t_statistic,p_value,stars,n,r_squared,adj_r_squared,df_residual
Human_coded_H3_CD,company_17,-1.509567,0.457324,-3.3009,0.001005,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_18,-1.621546,0.407107,-3.9831,7.4e-05,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_19,0.32725,0.419384,0.7803,0.435431,,925,0.769243,0.741552,825
Human_coded_H3_CD,company_20,-0.551675,0.456458,-1.2086,0.227163,,925,0.769243,0.741552,825
Human_coded_H3_CD,company_21,-2.413292,0.50701,-4.7598,2e-06,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_22,-2.622921,0.420449,-6.2384,0.0,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_23,-3.238646,0.486585,-6.6559,0.0,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_24,-2.16468,0.39732,-5.4482,0.0,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_25,2.486643,0.688136,3.6136,0.00032,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_26,-3.420043,0.444997,-7.6855,0.0,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_27,-3.491981,0.567451,-6.1538,0.0,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_28,-4.762701,0.615487,-7.7381,0.0,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_29,-1.392247,0.567451,-2.4535,0.014353,**,925,0.769243,0.741552,825
Human_coded_H3_CD,company_30,-3.262816,0.615487,-5.3012,0.0,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_31,-3.911113,0.533028,-7.3375,0.0,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_32,-0.491865,0.436937,-1.1257,0.260615,,925,0.769243,0.741552,825
Human_coded_H3_CD,company_33,-1.552738,0.435878,-3.5623,0.000389,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_34,-0.986074,0.456458,-2.1603,0.031039,**,925,0.769243,0.741552,825
Human_coded_H3_CD,company_35,-1.845682,0.486585,-3.7931,0.00016,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_36,-1.593253,0.426878,-3.7323,0.000203,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_37,-3.110019,0.615487,-5.0529,1e-06,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_38,-0.931798,0.510413,-1.8256,0.068275,*,925,0.769243,0.741552,825
Human_coded_H3_CD,company_39,2.174878,0.465879,4.6683,4e-06,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_40,3.593992,0.617122,5.8238,0.0,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_41,2.425607,0.456539,5.313,0.0,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_42,-2.093578,0.456458,-4.5866,5e-06,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_43,-1.616214,0.445113,-3.631,0.0003,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_44,0.537817,0.401942,1.338,0.18125,,925,0.769243,0.741552,825
Human_coded_H3_CD,company_45,-0.470038,0.615487,-0.7637,0.445274,,925,0.769243,0.741552,825
Human_coded_H3_CD,company_46,-1.413875,0.426981,-3.3113,0.000969,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_47,-1.285466,0.420481,-3.0571,0.002307,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_48,-0.825315,0.512569,-1.6102,0.107747,,925,0.769243,0.741552,825
Human_coded_H3_CD,company_49,-1.602607,0.427289,-3.7506,0.000189,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_50,-3.622666,0.568035,-6.3775,0.0,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_51,-2.448796,0.534131,-4.5846,5e-06,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_52,-3.496503,0.412881,-8.4685,0.0,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_53,-1.523315,0.456458,-3.3373,0.000884,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_54,-2.74657,0.426851,-6.4345,0.0,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_55,-2.835312,0.426764,-6.6438,0.0,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_56,-3.537552,0.426851,-8.2876,0.0,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_57,-3.894979,0.456458,-8.5331,0.0,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_58,1.557465,0.486585,3.2008,0.001423,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_59,-3.139753,0.50701,-6.1927,0.0,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_60,0.047253,0.487266,0.097,0.92277,,925,0.769243,0.741552,825
Human_coded_H3_CD,company_61,-2.251919,0.510631,-4.4101,1.2e-05,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_62,-1.711647,0.486851,-3.5158,0.000462,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_63,-0.717794,0.470086,-1.5269,0.127159,,925,0.769243,0.741552,825
Human_coded_H3_CD,company_64,-2.16292,0.444997,-4.8605,1e-06,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_65,-1.757445,0.533028,-3.2971,0.001019,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_66,-0.991497,0.413916,-2.3954,0.016824,**,925,0.769243,0.741552,825
Human_coded_H3_CD,company_67,-2.809243,0.615487,-4.5643,6e-06,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_68,0.489861,0.407107,1.2033,0.229216,,925,0.769243,0.741552,825
Human_coded_H3_CD,company_69,-0.912832,0.421074,-2.1679,0.030454,**,925,0.769243,0.741552,825
Human_coded_H3_CD,company_70,-0.948781,0.688136,-1.3788,0.168339,,925,0.769243,0.741552,825
Human_coded_H3_CD,company_71,-4.254189,0.456704,-9.315,0.0,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_72,-3.247876,0.407107,-7.978,0.0,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_73,-3.26317,0.615487,-5.3018,0.0,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_74,-4.2452,0.435215,-9.7543,0.0,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_75,-2.25528,0.420491,-5.3634,0.0,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_76,-3.580414,0.456458,-7.8439,0.0,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_77,-3.772321,0.814213,-4.6331,4e-06,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_78,1.743141,0.454305,3.8369,0.000134,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_79,-0.313984,0.486585,-0.6453,0.518924,,925,0.769243,0.741552,825
Human_coded_H3_CD,company_80,-2.552087,0.50888,-5.0151,1e-06,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_81,-0.318908,0.486585,-0.6554,0.512393,,925,0.769243,0.741552,825
Human_coded_H3_CD,company_82,-3.580433,0.470086,-7.6165,0.0,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_83,0.306445,0.486585,0.6298,0.529009,,925,0.769243,0.741552,825
Human_coded_H3_CD,company_84,-2.640331,0.426878,-6.1852,0.0,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_85,-0.002557,0.615487,-0.0042,0.996686,,925,0.769243,0.741552,825
Human_coded_H3_CD,company_86,-5.438424,1.109585,-4.9013,1e-06,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_87,-4.596846,0.426764,-10.7714,0.0,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_88,-3.28356,0.435553,-7.5388,0.0,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_89,-0.044635,0.457476,-0.0976,0.922299,,925,0.769243,0.741552,825
Human_coded_H3_CD,company_90,-0.553565,0.435465,-1.2712,0.204015,,925,0.769243,0.741552,825
Human_coded_H3_CD,company_91,-3.346558,0.615487,-5.4372,0.0,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_92,-2.407456,0.427058,-5.6373,0.0,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_93,-3.638793,0.486743,-7.4758,0.0,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_94,-2.950981,0.426764,-6.9148,0.0,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_95,0.417682,0.567451,0.7361,0.4619,,925,0.769243,0.741552,825
Human_coded_H3_CD,company_96,3.57437,0.533614,6.6984,0.0,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_97,-3.81533,0.437027,-8.7302,0.0,***,925,0.769243,0.741552,825
Human_coded_H3_CD,company_98,2.281003,0.38256,5.9625,0.0,***,925,0.769243,0.741552,825
