model,term,coefficient,std_error,t_statistic,p_value,stars,n,r_squared,adj_r_squared,df_residual
Full_sample_H3_CD,company_18,-1.882039,0.288464,-6.5243,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_19,-0.527214,0.28838,-1.8282,0.067746,*,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_20,-1.244457,0.295929,-4.2053,2.8e-05,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_21,-3.166799,0.343771,-9.2119,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_22,-2.215138,0.259412,-8.5391,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_23,-3.381695,0.282517,-11.9699,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_24,-1.950943,0.264788,-7.3679,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_25,-0.125838,0.371617,-0.3386,0.734949,,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_26,-3.72847,0.317408,-11.7466,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_27,-3.945009,0.391012,-10.0892,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_28,-4.130328,0.416941,-9.9063,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_29,-1.594594,0.391364,-4.0745,4.9e-05,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_30,-3.688518,0.453135,-8.14,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_31,-3.640269,0.35608,-10.2232,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_32,-1.12401,0.311823,-3.6046,0.000324,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_33,-1.921373,0.317187,-6.0575,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_34,-1.745221,0.333314,-5.236,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_35,-1.856783,0.310757,-5.975,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_36,-2.225013,0.295975,-7.5176,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_37,-3.080257,0.310957,-9.9057,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_38,-1.390099,0.347722,-3.9977,6.7e-05,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_39,1.150894,0.318937,3.6085,0.000319,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_40,3.070777,0.391363,7.8464,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_41,1.298766,0.333295,3.8967,0.000102,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_42,-2.124895,0.275123,-7.7235,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_43,-1.601633,0.285313,-5.6136,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_44,-0.510343,0.275207,-1.8544,0.063905,*,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_45,-1.787939,0.453566,-3.942,8.5e-05,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_46,-1.800771,0.26934,-6.6859,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_47,-1.393177,0.292795,-4.7582,2e-06,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_48,-2.219103,0.335074,-6.6227,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_49,-1.936646,0.277336,-6.983,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_50,-3.770741,0.416863,-9.0455,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_51,-2.989889,0.390975,-7.6473,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_52,-3.868944,0.285252,-13.5632,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_53,-1.654339,0.279586,-5.9171,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_54,-2.795621,0.277204,-10.0851,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_55,-3.657102,0.282434,-12.9485,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_56,-3.390888,0.292162,-11.6062,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_57,-4.07148,0.324778,-12.5362,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_58,0.169938,0.356062,0.4773,0.633248,,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_59,-3.175475,0.285215,-11.1336,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_60,-1.548675,0.305112,-5.0758,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_61,-2.688443,0.285127,-9.4289,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_62,-2.129268,0.333208,-6.3902,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_63,-1.371814,0.343509,-3.9935,6.9e-05,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_64,-2.258484,0.279854,-8.0702,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_65,-2.601119,0.288579,-9.0135,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_66,-2.409967,0.289742,-8.3176,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_67,-2.8059,0.391132,-7.1738,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_68,0.002829,0.278237,0.0102,0.99189,,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_69,-1.36291,0.292556,-4.6586,4e-06,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_70,-1.827437,0.291904,-6.2604,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_71,-4.366347,0.29189,-14.9589,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_72,-3.515632,0.277372,-12.6748,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_73,-4.017402,0.371375,-10.8176,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_74,-4.161928,0.31733,-13.1155,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_75,-2.981447,0.295797,-10.0794,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_76,-2.399806,0.264474,-9.0739,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_77,-4.61883,0.601837,-7.6746,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_78,0.815076,0.313098,2.6033,0.009338,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_79,-1.665076,0.356153,-4.6752,3e-06,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_80,-2.33048,0.371376,-6.2753,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_81,-1.117877,0.295917,-3.7777,0.000165,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_82,-3.835015,0.288516,-13.2922,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_83,-0.020986,0.324525,-0.0647,0.948448,,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_84,-2.582402,0.277273,-9.3136,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_85,-1.019104,0.45293,-2.25,0.024611,**,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_86,-4.296218,0.601837,-7.1385,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_87,-4.681468,0.305391,-15.3294,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_88,-3.13184,0.288497,-10.8557,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_89,-0.662024,0.325341,-2.0349,0.042064,**,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_90,-1.123012,0.30031,-3.7395,0.000192,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_91,-3.522035,0.371524,-9.48,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_92,-2.665059,0.282905,-9.4203,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_93,-3.593924,0.343526,-10.4619,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_94,-3.053116,0.288586,-10.5796,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_95,0.046127,0.274428,0.1681,0.866541,,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_96,1.725782,0.37378,4.6171,4e-06,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_97,-3.92937,0.311202,-12.6264,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_98,1.451828,0.27555,5.2688,0.0,***,1420,0.809725,0.795299,1319
Full_sample_H3_CD,company_99,1.791007,0.282404,6.342,0.0,***,1420,0.809725,0.795299,1319
