company_name,period,source_x_handle_count,source_x_handle_list,total_posts,humor_count,humor_share,log_humor_count,humor_presence_any,humor_share_ambiguity_as_zero,humor_share_ambiguity_excluded,humor_share_ambiguity_as_missing,ambiguity_rate,high_ambiguity_flag
Albertsons,2023-01,1,@albertsons,1,1,1.0,0.693147,1,1.0,1.0,1.0,0.0,0
Albertsons,2023-02,1,@albertsons,1,0,0.0,0.0,0,0.0,,,1.0,1
Albertsons,2023-03,1,@albertsons,3,0,0.0,0.0,0,0.0,0.0,0.0,0.333333,0
Albertsons,2023-04,1,@albertsons,1,0,0.0,0.0,0,0.0,,,1.0,1
Albertsons,2023-05,1,@albertsons,1,1,1.0,0.693147,1,1.0,1.0,1.0,0.0,0
Albertsons,2023-08,1,@albertsons,3,2,0.666667,1.098612,1,0.666667,0.666667,0.666667,0.0,0
Albertsons,2023-09,1,@albertsons,1,0,0.0,0.0,0,0.0,,,1.0,1
Albertsons,2023-12,1,@albertsons,4,0,0.0,0.0,0,0.0,0.0,0.0,0.25,0
Allstate,2019-11,1,@allstate,4,0,0.0,0.0,0,0.0,0.0,,0.75,1
Allstate,2019-12,1,@allstate,3,0,0.0,0.0,0,0.0,0.0,,0.666667,1
Allstate,2020-02,1,@allstate,6,0,0.0,0.0,0,0.0,0.0,,0.833333,1
Allstate,2020-03,1,@allstate,11,2,0.181818,1.098612,1,0.181818,0.4,,0.545455,1
Allstate,2020-04,1,@allstate,20,3,0.15,1.386294,1,0.15,0.5,,0.7,1
Allstate,2020-05,1,@allstate,7,0,0.0,0.0,0,0.0,0.0,,0.714286,1
Allstate,2020-06,1,@allstate,5,1,0.2,0.693147,1,0.2,0.333333,0.2,0.4,0
Allstate,2020-07,1,@allstate,8,1,0.125,0.693147,1,0.125,0.333333,,0.625,1
Allstate,2020-08,1,@allstate,15,2,0.133333,1.098612,1,0.133333,0.5,,0.733333,1
Allstate,2020-09,1,@allstate,45,3,0.066667,1.386294,1,0.066667,0.15,,0.555556,1
Allstate,2020-10,1,@allstate,36,7,0.194444,2.079442,1,0.194444,0.388889,,0.5,1
Allstate,2020-11,1,@allstate,15,1,0.066667,0.693147,1,0.066667,0.1,0.066667,0.333333,0
Allstate,2020-12,1,@allstate,33,5,0.151515,1.791759,1,0.151515,0.25,0.151515,0.393939,0
Allstate,2021-01,1,@allstate,10,2,0.2,1.098612,1,0.2,0.333333,0.2,0.4,0
Allstate,2021-02,1,@allstate,23,1,0.043478,0.693147,1,0.043478,0.111111,,0.608696,1
Allstate,2021-03,1,@allstate,24,1,0.041667,0.693147,1,0.041667,0.1,,0.583333,1
Allstate,2021-04,1,@allstate,21,2,0.095238,1.098612,1,0.095238,0.181818,0.095238,0.47619,0
Allstate,2021-05,1,@allstate,15,1,0.066667,0.693147,1,0.066667,0.166667,,0.6,1
Allstate,2021-06,1,@allstate,6,0,0.0,0.0,0,0.0,0.0,,0.666667,1
Allstate,2021-07,1,@allstate,6,1,0.166667,0.693147,1,0.166667,1.0,,0.833333,1
Allstate,2021-08,1,@allstate,18,2,0.111111,1.098612,1,0.111111,0.222222,,0.5,1
Allstate,2021-09,1,@allstate,16,3,0.1875,1.386294,1,0.1875,0.25,0.1875,0.25,0
Allstate,2021-10,1,@allstate,6,0,0.0,0.0,0,0.0,0.0,,0.833333,1
Allstate,2021-11,1,@allstate,2,0,0.0,0.0,0,0.0,,,1.0,1
Allstate,2021-12,1,@allstate,6,4,0.666667,1.609438,1,0.666667,0.8,0.666667,0.166667,0
Allstate,2022-01,1,@allstate,4,1,0.25,0.693147,1,0.25,1.0,,0.75,1
Allstate,2022-03,1,@allstate,9,0,0.0,0.0,0,0.0,0.0,0.0,0.444444,0
Allstate,2022-04,1,@allstate,5,0,0.0,0.0,0,0.0,0.0,,0.8,1
Allstate,2022-05,1,@allstate,10,2,0.2,1.098612,1,0.2,0.5,,0.6,1
Allstate,2022-06,1,@allstate,14,6,0.428571,1.94591,1,0.428571,0.75,0.428571,0.428571,0
Allstate,2022-07,1,@allstate,3,0,0.0,0.0,0,0.0,0.0,,0.666667,1
Allstate,2022-08,1,@allstate,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
Allstate,2022-09,1,@allstate,20,5,0.25,1.791759,1,0.25,0.416667,0.25,0.4,0
Allstate,2022-10,1,@allstate,6,3,0.5,1.386294,1,0.5,1.0,,0.5,1
Allstate,2022-11,1,@allstate,10,3,0.3,1.386294,1,0.3,1.0,,0.7,1
Allstate,2022-12,1,@allstate,9,3,0.333333,1.386294,1,0.333333,0.6,0.333333,0.444444,0
Allstate,2023-01,1,@allstate,5,1,0.2,0.693147,1,0.2,0.2,0.2,0.0,0
Allstate,2023-02,1,@allstate,6,0,0.0,0.0,0,0.0,,,1.0,1
Allstate,2023-03,1,@allstate,8,2,0.25,1.098612,1,0.25,1.0,,0.75,1
Allstate,2023-04,1,@allstate,5,1,0.2,0.693147,1,0.2,1.0,,0.8,1
Allstate,2023-05,1,@allstate,6,1,0.166667,0.693147,1,0.166667,0.25,0.166667,0.333333,0
Allstate,2023-06,1,@allstate,5,1,0.2,0.693147,1,0.2,0.5,,0.6,1
Allstate,2023-07,1,@allstate,2,0,0.0,0.0,0,0.0,,,1.0,1
Allstate,2023-08,1,@allstate,7,1,0.142857,0.693147,1,0.142857,0.2,0.142857,0.285714,0
Allstate,2023-09,1,@allstate,7,1,0.142857,0.693147,1,0.142857,0.333333,,0.571429,1
Allstate,2023-10,1,@allstate,2,1,0.5,0.693147,1,0.5,1.0,,0.5,1
Allstate,2023-11,1,@allstate,18,1,0.055556,0.693147,1,0.055556,0.125,,0.555556,1
Allstate,2023-12,1,@allstate,20,5,0.25,1.791759,1,0.25,0.625,,0.6,1
