company_name,period,source_x_handle_count,source_x_handle_list,total_posts,humor_count,non_humor_count,ambiguous_count,ambiguity_rate,humor_share,humor_share_ambiguity_as_zero,humor_share_ambiguity_excluded,humor_share_ambiguity_as_missing,log_humor_count,humor_presence_any,affiliative_count,self_enhancing_count,aggressive_count,self_defeating_count,affiliative_share,self_enhancing_share,aggressive_share,self_defeating_share,rare_negative_humor_count,rare_negative_humor_share,aggressive_minus_other_humor_share,aggressive_humor_usage_intensity,aggressive_humor_usage_intensity_sq,log_aggressive_count,aggressive_presence_any,aggressive_share_ambiguity_excluded,rare_negative_humor_usage_intensity,rare_negative_humor_usage_intensity_sq,humor_share_x_aggressive_intensity,humor_share_x_aggressive_intensity_sq,aggressive_presence_x_aggressive_intensity,aggressive_presence_x_aggressive_intensity_sq,v2_aggressive_candidate_count,v1_v2_disagreement_candidate_count,rare_class_candidate_count,high_ambiguity_flag,no_human_label_flag
AT&T,2026-05,1,@ATT,63,11,18,34,0.539683,0.174603,0.174603,0.37931,,2.484907,1,5,5,1,0,0.079365,0.079365,0.015873,0.0,1,0.015873,-0.142857,0.015873,0.000251952,0.693147,1,0.034483,0.015873,0.000251952,0.002771473,4.3992e-05,0.015873,0.000251952,1,7,0,1,1
AT&T,2026-06,1,@ATT,6,0,3,3,0.5,0.0,0.0,0.0,,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0,1,1
AbbVie,2023-09,1,@abbvie,61,1,27,33,0.540984,0.016393,0.016393,0.035714,,0.693147,1,1,0,0,0,0.016393,0.0,0.0,0.0,0,0.0,-0.016393,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,1,1
AbbVie,2023-10,1,@abbvie,69,10,31,28,0.405797,0.144928,0.144928,0.243902,0.144928,2.397895,1,3,7,0,0,0.043478,0.101449,0.0,0.0,0,0.0,-0.144927,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,1
AbbVie,2023-11,1,@abbvie,32,5,11,16,0.5,0.15625,0.15625,0.3125,,1.791759,1,4,1,0,0,0.125,0.03125,0.0,0.0,0,0.0,-0.15625,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,1,1
AbbVie,2023-12,1,@abbvie,27,2,17,8,0.296296,0.074074,0.074074,0.105263,0.074074,1.098612,1,1,1,0,0,0.037037,0.037037,0.0,0.0,0,0.0,-0.074074,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,1
AbbVie,2024-01,1,@abbvie,23,4,11,8,0.347826,0.173913,0.173913,0.266667,0.173913,1.609438,1,2,2,0,0,0.086957,0.086957,0.0,0.0,0,0.0,-0.173914,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,1
AbbVie,2024-02,1,@abbvie,31,2,21,8,0.258065,0.064516,0.064516,0.086957,0.064516,1.098612,1,1,1,0,0,0.032258,0.032258,0.0,0.0,0,0.0,-0.064516,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,1
AbbVie,2024-03,1,@abbvie,4,0,2,2,0.5,0.0,0.0,0.0,,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,1,1
AbbVie,2024-04,1,@abbvie,31,4,17,10,0.322581,0.129032,0.129032,0.190476,0.129032,1.609438,1,1,3,0,0,0.032258,0.096774,0.0,0.0,0,0.0,-0.129032,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,1
