task,weight_setting,class_label,diagnostic_token,feature,weight,rank_abs_weight,leakage_flag
type_4class,W25,aggressive,nuggs,word__spicy nuggs,-0.006501,3,FAIL
type_4class,W25,aggressive,nuggs,word__wendysspicynuggs,-0.00574,4,FAIL
type_4class,W25,aggressive,nuggs,word__verified wendysspicynuggs,-0.003965,5,FAIL
type_4class,W25,aggressive,roast,word__nationalroastday,0.163024,1,FAIL
type_4class,W25,aggressive,roast,char__roast,0.092167,2,FAIL
type_4class,W25,aggressive,roast,word__roasting,0.091338,3,FAIL
type_4class,W25,aggressive,roast,word__roast,0.051456,4,FAIL
type_4class,W25,aggressive,roast,word__to roast,0.04925,5,FAIL
type_4class,W25,affiliative,wendy,word__wendy,-0.0229,1,FAIL
type_4class,W25,affiliative,wendy,word__is wendy,-0.018044,2,FAIL
type_4class,W25,affiliative,wendy,word__the wendy,0.015184,3,FAIL
type_4class,W25,affiliative,wendy,word__wendysspicynuggs,-0.009898,4,FAIL
type_4class,W25,affiliative,wendy,char__wendy,-0.009669,5,FAIL
type_4class,W25,affiliative,wendys,word__wendysspicynuggs,-0.009898,1,FAIL
type_4class,W25,affiliative,wendys,word__verified wendysspicynuggs,-0.006893,2,FAIL
type_4class,W25,affiliative,wendys,word__wendys,-0.004193,3,FAIL
type_4class,W25,affiliative,frosty,word__frosty,-0.019879,1,FAIL
type_4class,W25,affiliative,frosty,word__vanilla frosty,-0.008275,2,FAIL
type_4class,W25,affiliative,frosty,word__mints frosty,-0.005872,3,FAIL
type_4class,W25,affiliative,baconator,word__baconator,0.00825,1,FAIL
type_4class,W25,affiliative,baconator,word__breakfast baconator,-0.000339,2,FAIL
type_4class,W25,affiliative,baconator,word__baconator with,-1.1e-05,3,FAIL
type_4class,W25,affiliative,nuggs,word__wendysspicynuggs,-0.009898,1,FAIL
type_4class,W25,affiliative,nuggs,word__verified wendysspicynuggs,-0.006893,2,FAIL
type_4class,W25,affiliative,nuggs,word__spicy nuggs,-0.006229,3,FAIL
type_4class,W25,affiliative,nuggs,char__nuggs,-0.004254,4,FAIL
type_4class,W25,affiliative,nuggs,word__nuggs,-0.003503,5,FAIL
type_4class,W25,affiliative,roast,char__roast,-0.027703,1,FAIL
type_4class,W25,affiliative,roast,word__nationalroastday,-0.027099,2,FAIL
type_4class,W25,affiliative,roast,word__roast,-0.022609,3,FAIL
type_4class,W25,affiliative,roast,word__roasted,-0.021591,4,FAIL
type_4class,W25,affiliative,roast,word__roast marshmallows,0.016754,5,FAIL
type_4class,W25,self-enhancing,wendy,word__the wendy,-0.019887,1,FAIL
type_4class,W25,self-enhancing,wendy,word__wendy app,-0.014112,2,FAIL
type_4class,W25,self-enhancing,wendy,word__wendysspicynuggs,0.014105,3,FAIL
type_4class,W25,self-enhancing,wendy,word__to wendy,0.010116,4,FAIL
type_4class,W25,self-enhancing,wendy,word__verified wendysspicynuggs,0.009734,5,FAIL
type_4class,W25,self-enhancing,wendys,word__wendysspicynuggs,0.014105,1,FAIL
type_4class,W25,self-enhancing,wendys,word__verified wendysspicynuggs,0.009734,2,FAIL
type_4class,W25,self-enhancing,wendys,word__wendys,-0.001297,3,FAIL
type_4class,W25,self-enhancing,frosty,word__frosty,0.008512,1,FAIL
type_4class,W25,self-enhancing,frosty,word__mints frosty,-0.004937,2,FAIL
type_4class,W25,self-enhancing,frosty,word__vanilla frosty,0.001485,3,FAIL
type_4class,W25,self-enhancing,baconator,word__baconator,-0.007472,1,FAIL
type_4class,W25,self-enhancing,baconator,word__breakfast baconator,-0.002498,2,FAIL
type_4class,W25,self-enhancing,baconator,word__baconator with,0.001705,3,FAIL
type_4class,W25,self-enhancing,nuggs,word__wendysspicynuggs,0.014105,1,FAIL
type_4class,W25,self-enhancing,nuggs,word__spicy nuggs,0.010634,2,FAIL
type_4class,W25,self-enhancing,nuggs,word__nuggs,0.010261,3,FAIL
type_4class,W25,self-enhancing,nuggs,word__verified wendysspicynuggs,0.009734,4,FAIL
type_4class,W25,self-enhancing,nuggs,char__nuggs,0.008669,5,FAIL
type_4class,W25,self-enhancing,roast,word__roasted,0.041213,1,FAIL
type_4class,W25,self-enhancing,roast,word__nationalroastday,-0.03369,2,FAIL
type_4class,W25,self-enhancing,roast,word__to roast,-0.02297,3,FAIL
type_4class,W25,self-enhancing,roast,word__roasting,-0.017488,4,FAIL
type_4class,W25,self-enhancing,roast,word__roast marshmallows,-0.013374,5,FAIL
type_4class,W25,self-defeating,wendy,word__wendy,0.136674,1,FAIL
type_4class,W25,self-defeating,wendy,char__wendy,0.068062,2,FAIL
type_4class,W25,self-defeating,wendy,word__wendy app,0.038586,3,FAIL
type_4class,W25,self-defeating,wendy,word__is wendy,0.037661,4,FAIL
type_4class,W25,self-defeating,wendy,word__up wendy,0.037096,5,FAIL
type_4class,W25,self-defeating,wendys,word__wendysspicynuggs,-0.005015,1,FAIL
type_4class,W25,self-defeating,wendys,word__wendys,-0.004621,2,FAIL
type_4class,W25,self-defeating,wendys,word__verified wendysspicynuggs,-0.003402,3,FAIL
type_4class,W25,self-defeating,frosty,word__vanilla frosty,0.058796,1,FAIL
type_4class,W25,self-defeating,frosty,word__frosty,0.030307,2,FAIL
type_4class,W25,self-defeating,frosty,word__mints frosty,-0.00313,3,FAIL
type_4class,W25,self-defeating,baconator,word__baconator,-0.009418,1,FAIL
type_4class,W25,self-defeating,baconator,word__breakfast baconator,-0.00447,2,FAIL
type_4class,W25,self-defeating,baconator,word__baconator with,-0.002319,3,FAIL
type_4class,W25,self-defeating,nuggs,word__nuggs,-0.008977,1,FAIL
type_4class,W25,self-defeating,nuggs,char__nuggs,-0.005705,2,FAIL
type_4class,W25,self-defeating,nuggs,word__spicy nuggs,-0.005611,3,FAIL
type_4class,W25,self-defeating,nuggs,word__wendysspicynuggs,-0.005015,4,FAIL
type_4class,W25,self-defeating,nuggs,word__verified wendysspicynuggs,-0.003402,5,FAIL
type_4class,W25,self-defeating,roast,char__roast,-0.029653,1,FAIL
type_4class,W25,self-defeating,roast,word__roast,-0.027056,2,FAIL
type_4class,W25,self-defeating,roast,word__roasted,-0.026343,3,FAIL
type_4class,W25,self-defeating,roast,word__nationalroastday,-0.019023,4,FAIL
type_4class,W25,self-defeating,roast,word__to roast,-0.01099,5,FAIL
aggressive_detector,W25,aggressive,wendy,word__me wendy,0.028077,1,FAIL
aggressive_detector,W25,aggressive,wendy,word__wendy,0.020886,2,FAIL
aggressive_detector,W25,aggressive,wendy,word__wendys,0.018393,3,FAIL
aggressive_detector,W25,aggressive,wendy,word__is wendy,0.016951,4,FAIL
aggressive_detector,W25,aggressive,wendy,char__wendy,0.011088,5,FAIL
aggressive_detector,W25,aggressive,wendys,word__wendys,0.018393,1,FAIL
aggressive_detector,W25,aggressive,wendys,word__wendysspicynuggs,-0.00574,2,FAIL
