sample,combo,n,k_full,df_resid,R2,adjR2,b_aggressive,se_aggressive,t_aggressive,p_aggressive,stars_agg,b_affiliative,se_affiliative,p_affiliative,stars_aff,b_self_enhancing,se_self_enhancing,p_self_enhancing,stars_se,b_self_defeating,se_self_defeating,p_self_defeating,stars_sd,rank_deficient
Full_sample,month+date,68039,3601,64438,0.266804,0.225842,1.776847,0.040612,43.7515,0.0,***,0.781927,0.020343,0.0,***,1.316844,0.025017,0.0,***,2.058079,0.08639,0.0,***,True
Full_sample,month+hour,68039,39,68000,0.106941,0.106442,1.864317,0.041443,44.9854,0.0,***,0.768539,0.020789,0.0,***,1.389699,0.025737,0.0,***,2.139125,0.087532,0.0,***,False
Full_sample,week+date,68039,3601,64438,0.266804,0.225842,1.776847,0.040612,43.7515,0.0,***,0.781927,0.020343,0.0,***,1.316844,0.025017,0.0,***,2.058079,0.08639,0.0,***,True
Full_sample,week+hour,68039,80,67959,0.111891,0.110859,1.867561,0.041367,45.1464,0.0,***,0.774437,0.020775,0.0,***,1.395125,0.025702,0.0,***,2.146445,0.087352,0.0,***,False
Full_sample,date+hour,68039,3624,64415,0.276627,0.235941,1.733935,0.04043,42.8877,0.0,***,0.755028,0.020278,0.0,***,1.290698,0.024917,0.0,***,2.016165,0.085881,0.0,***,False
Full_sample,year+month+week,68039,81,67958,0.157621,0.15663,1.95067,0.040366,48.3246,0.0,***,0.822895,0.020241,0.0,***,1.357165,0.025043,0.0,***,2.268109,0.085234,0.0,***,False
Full_sample,year+month+date,68039,3601,64438,0.266804,0.225842,1.776847,0.040612,43.7515,0.0,***,0.781927,0.020343,0.0,***,1.316844,0.025017,0.0,***,2.058079,0.08639,0.0,***,True
Full_sample,year+month+hour,68039,52,67987,0.168991,0.168368,1.891696,0.040142,47.1254,0.0,***,0.779738,0.020146,0.0,***,1.309063,0.024915,0.0,***,2.217412,0.084641,0.0,***,False
Full_sample,year+week+date,68039,3601,64438,0.266804,0.225842,1.776847,0.040612,43.7515,0.0,***,0.781927,0.020343,0.0,***,1.316844,0.025017,0.0,***,2.058079,0.08639,0.0,***,True
Full_sample,year+week+hour,68039,93,67946,0.172098,0.170977,1.889822,0.040107,47.1195,0.0,***,0.781972,0.020147,0.0,***,1.313564,0.024903,0.0,***,2.21494,0.084548,0.0,***,False
Full_sample,year+date+hour,68039,3624,64415,0.276627,0.235941,1.733935,0.04043,42.8877,0.0,***,0.755028,0.020278,0.0,***,1.290698,0.024917,0.0,***,2.016165,0.085881,0.0,***,True
Full_sample,month+week+date,68039,3601,64438,0.266804,0.225842,1.776847,0.040612,43.7515,0.0,***,0.781927,0.020343,0.0,***,1.316844,0.025017,0.0,***,2.058079,0.08639,0.0,***,True
Full_sample,month+week+hour,68039,91,67948,0.112075,0.110899,1.86836,0.041375,45.1562,0.0,***,0.774458,0.020782,0.0,***,1.39596,0.025708,0.0,***,2.145972,0.087358,0.0,***,False
Full_sample,month+date+hour,68039,3624,64415,0.276627,0.235941,1.733935,0.04043,42.8877,0.0,***,0.755028,0.020278,0.0,***,1.290698,0.024917,0.0,***,2.016165,0.085881,0.0,***,True
Full_sample,week+date+hour,68039,3624,64415,0.276627,0.235941,1.733935,0.04043,42.8877,0.0,***,0.755028,0.020278,0.0,***,1.290698,0.024917,0.0,***,2.016165,0.085881,0.0,***,True
Full_sample,year+month+week+date,68039,3601,64438,0.266804,0.225842,1.776847,0.040612,43.7515,0.0,***,0.781927,0.020343,0.0,***,1.316844,0.025017,0.0,***,2.058079,0.08639,0.0,***,True
Full_sample,year+month+week+hour,68039,104,67935,0.172489,0.171235,1.890301,0.04011,47.1284,0.0,***,0.781597,0.02015,0.0,***,1.313514,0.024906,0.0,***,2.218491,0.084543,0.0,***,False
Full_sample,year+month+date+hour,68039,3624,64415,0.276627,0.235941,1.733935,0.04043,42.8877,0.0,***,0.755028,0.020278,0.0,***,1.290698,0.024917,0.0,***,2.016165,0.085881,0.0,***,True
Full_sample,year+week+date+hour,68039,3624,64415,0.276627,0.235941,1.733935,0.04043,42.8877,0.0,***,0.755028,0.020278,0.0,***,1.290698,0.024917,0.0,***,2.016165,0.085881,0.0,***,True
Full_sample,month+week+date+hour,68039,3624,64415,0.276627,0.235941,1.733935,0.04043,42.8877,0.0,***,0.755028,0.020278,0.0,***,1.290698,0.024917,0.0,***,2.016165,0.085881,0.0,***,True
Full_sample,year+month+week+date+hour,68039,3624,64415,0.276627,0.235941,1.733935,0.04043,42.8877,0.0,***,0.755028,0.020278,0.0,***,1.290698,0.024917,0.0,***,2.016165,0.085881,0.0,***,True
