sample,combo,n,k_full,df_resid,R2,adjR2,b_aggressive,se_aggressive,t_aggressive,p_aggressive,stars_agg,b_affiliative,se_affiliative,p_affiliative,stars_aff,b_self_enhancing,se_self_enhancing,p_self_enhancing,stars_se,b_self_defeating,se_self_defeating,p_self_defeating,stars_sd,rank_deficient
Human_coded,month+date,3574,1685,1889,0.624861,0.290433,2.276911,0.268643,8.4756,0.0,***,0.561126,0.153684,0.000268,***,0.743587,0.162526,5e-06,***,1.631531,0.526812,0.001984,***,True
Human_coded,month+hour,3574,39,3535,0.131887,0.122555,2.852345,0.210537,13.5479,0.0,***,0.879803,0.120419,0.0,***,1.116416,0.13445,0.0,***,2.211175,0.377429,0.0,***,False
Human_coded,week+date,3574,1685,1889,0.624861,0.290433,2.276911,0.268643,8.4756,0.0,***,0.561126,0.153684,0.000268,***,0.743587,0.162526,5e-06,***,1.631531,0.526812,0.001984,***,True
Human_coded,week+hour,3574,80,3494,0.147548,0.128274,2.836583,0.211503,13.4115,0.0,***,0.884397,0.120718,0.0,***,1.119453,0.134539,0.0,***,2.275721,0.37916,0.0,***,False
Human_coded,date+hour,3574,1708,1866,0.636237,0.303469,2.313215,0.268296,8.6219,0.0,***,0.557011,0.15321,0.000285,***,0.769628,0.161856,2e-06,***,1.559712,0.525443,0.003032,***,False
Human_coded,year+month+week,3574,79,3495,0.242633,0.22573,2.562851,0.200163,12.8038,0.0,***,0.768486,0.113848,0.0,***,0.860888,0.127271,0.0,***,2.209936,0.357347,0.0,***,False
Human_coded,year+month+date,3574,1685,1889,0.624861,0.290433,2.276911,0.268643,8.4756,0.0,***,0.561126,0.153684,0.000268,***,0.743587,0.162526,5e-06,***,1.631531,0.526812,0.001984,***,True
Human_coded,year+month+hour,3574,50,3524,0.247213,0.236746,2.584529,0.197834,13.0642,0.0,***,0.744477,0.112745,0.0,***,0.847777,0.126342,0.0,***,2.151512,0.352638,0.0,***,False
Human_coded,year+week+date,3574,1685,1889,0.624861,0.290433,2.276911,0.268643,8.4756,0.0,***,0.561126,0.153684,0.000268,***,0.743587,0.162526,5e-06,***,1.631531,0.526812,0.001984,***,True
Human_coded,year+week+hour,3574,91,3483,0.258193,0.239025,2.567578,0.19903,12.9005,0.0,***,0.74216,0.113304,0.0,***,0.854658,0.126687,0.0,***,2.211845,0.354961,0.0,***,False
Human_coded,year+date+hour,3574,1708,1866,0.636237,0.303469,2.313215,0.268296,8.6219,0.0,***,0.557011,0.15321,0.000285,***,0.769628,0.161856,2e-06,***,1.559712,0.525443,0.003032,***,True
Human_coded,month+week+date,3574,1685,1889,0.624861,0.290433,2.276911,0.268643,8.4756,0.0,***,0.561126,0.153684,0.000268,***,0.743587,0.162526,5e-06,***,1.631531,0.526812,0.001984,***,True
Human_coded,month+week+hour,3574,91,3483,0.151406,0.129478,2.821528,0.211575,13.3358,0.0,***,0.890745,0.12083,0.0,***,1.110106,0.134603,0.0,***,2.283074,0.379303,0.0,***,False
Human_coded,month+date+hour,3574,1708,1866,0.636237,0.303469,2.313215,0.268296,8.6219,0.0,***,0.557011,0.15321,0.000285,***,0.769628,0.161856,2e-06,***,1.559712,0.525443,0.003032,***,True
Human_coded,week+date+hour,3574,1708,1866,0.636237,0.303469,2.313215,0.268296,8.6219,0.0,***,0.557011,0.15321,0.000285,***,0.769628,0.161856,2e-06,***,1.559712,0.525443,0.003032,***,True
Human_coded,year+month+week+date,3574,1685,1889,0.624861,0.290433,2.276911,0.268643,8.4756,0.0,***,0.561126,0.153684,0.000268,***,0.743587,0.162526,5e-06,***,1.631531,0.526812,0.001984,***,True
Human_coded,year+month+week+hour,3574,102,3472,0.262083,0.240618,2.553861,0.199022,12.8321,0.0,***,0.752497,0.11337,0.0,***,0.84538,0.126689,0.0,***,2.213629,0.354978,0.0,***,False
Human_coded,year+month+date+hour,3574,1708,1866,0.636237,0.303469,2.313215,0.268296,8.6219,0.0,***,0.557011,0.15321,0.000285,***,0.769628,0.161856,2e-06,***,1.559712,0.525443,0.003032,***,True
Human_coded,year+week+date+hour,3574,1708,1866,0.636237,0.303469,2.313215,0.268296,8.6219,0.0,***,0.557011,0.15321,0.000285,***,0.769628,0.161856,2e-06,***,1.559712,0.525443,0.003032,***,True
Human_coded,month+week+date+hour,3574,1708,1866,0.636237,0.303469,2.313215,0.268296,8.6219,0.0,***,0.557011,0.15321,0.000285,***,0.769628,0.161856,2e-06,***,1.559712,0.525443,0.003032,***,True
Human_coded,year+month+week+date+hour,3574,1708,1866,0.636237,0.303469,2.313215,0.268296,8.6219,0.0,***,0.557011,0.15321,0.000285,***,0.769628,0.161856,2e-06,***,1.559712,0.525443,0.003032,***,True
