fortune_rank,company_name,normalized_company_name,raw_folder,posts_csv_exists,posts_csv_non_empty,post_count,collection_status,collection_error_type,collection_error_message,attempted,official_x_handle,final_manual_account_status,final_manual_scrape_eligible
51,Progressive,progressive,data/raw/fortune_x_2025_ranked/051_progressive,true,true,170,success,,,true,@progressive,confirmed_candidate_official,true
52,Lowe's,lowe_s,data/raw/fortune_x_2025_ranked/052_lowe_s,true,true,908,success,,,true,@lowes,confirmed_candidate_official,true
53,Energy Transfer,energy_transfer,data/raw/fortune_x_2025_ranked/053_energy_transfer,true,true,697,success,,,true,@energytransfer,confirmed_candidate_official,true
54,Procter & Gamble,procter_gamble,data/raw/fortune_x_2025_ranked/054_procter_gamble,true,true,268,success,,,true,@ProcterGamble,candidate_rejected_alternate_found,true
55,Sysco,sysco,data/raw/fortune_x_2025_ranked/055_sysco,true,true,863,success,,,true,@sysco,confirmed_candidate_official,true
56,American Express,american_express,data/raw/fortune_x_2025_ranked/056_american_express,true,true,833,success,,,true,@americanexpress,confirmed_candidate_official,true
57,Albertsons,albertsons,data/raw/fortune_x_2025_ranked/057_albertsons,true,true,765,success,,,true,@albertsons,confirmed_candidate_official,true
58,Archer Daniels Midland,archer_daniels_midland,data/raw/fortune_x_2025_ranked/058_archer_daniels_midland,true,true,795,success,,,true,@ADMupdates,candidate_rejected_alternate_found,true
59,MetLife,metlife,data/raw/fortune_x_2025_ranked/059_metlife,true,true,781,success,,,true,@metlife,confirmed_candidate_official,true
60,HCA Healthcare,hca_healthcare,data/raw/fortune_x_2025_ranked/060_hca_healthcare,true,true,584,success,,,true,@hcahealthcare,confirmed_candidate_official,true
61,Lockheed Martin,lockheed_martin,data/raw/fortune_x_2025_ranked/061_lockheed_martin,true,true,861,success,,,true,@lockheedmartin,confirmed_candidate_official,true
62,New York Life Insurance,new_york_life_insurance,data/raw/fortune_x_2025_ranked/062_new_york_life_insurance,true,true,456,success,,,true,@NewYorkLife,candidate_rejected_alternate_found,true
63,Capital One Financial,capital_one_financial,data/raw/fortune_x_2025_ranked/063_capital_one_financial,true,true,628,success,,,true,@CapitalOne,candidate_rejected_alternate_found,true
64,Allstate,allstate,data/raw/fortune_x_2025_ranked/064_allstate,true,true,569,success,,,true,@allstate,confirmed_candidate_official,true
65,Caterpillar,caterpillar,data/raw/fortune_x_2025_ranked/065_caterpillar,true,true,891,success,,,true,@CaterpillarInc,candidate_rejected_alternate_found,true
66,IBM,ibm,data/raw/fortune_x_2025_ranked/066_ibm,true,true,541,success,,,true,@ibm,confirmed_candidate_official,true
67,Eli Lilly,eli_lilly,data/raw/fortune_x_2025_ranked/067_eli_lilly,true,true,564,success,,,true,@EliLillyandCo,candidate_rejected_alternate_found,true
68,Merck,merck,data/raw/fortune_x_2025_ranked/068_merck,true,true,507,success,,,true,@merck,confirmed_candidate_official,true
69,Nationwide,nationwide,data/raw/fortune_x_2025_ranked/069_nationwide,true,true,1149,success,,,true,@nationwide,confirmed_candidate_official,true
70,Broadcom,broadcom,data/raw/fortune_x_2025_ranked/070_broadcom,true,true,184,success,,,true,@broadcom,confirmed_candidate_official,true
71,Delta Air Lines,delta_air_lines,data/raw/fortune_x_2025_ranked/071_delta_air_lines,true,true,717,success,,,true,@Delta,candidate_rejected_alternate_found,true
72,Publix Super Markets,publix_super_markets,data/raw/fortune_x_2025_ranked/072_publix_super_markets,true,true,851,success,,,true,@Publix,candidate_rejected_alternate_found,true
73,Pfizer,pfizer,data/raw/fortune_x_2025_ranked/073_pfizer,true,true,384,success,,,true,@pfizer,confirmed_candidate_official,true
74,TD Synnex,td_synnex,data/raw/fortune_x_2025_ranked/074_td_synnex,true,true,488,success,,,true,@tdsynnex,confirmed_candidate_official,true
75,ConocoPhillips,conocophillips,data/raw/fortune_x_2025_ranked/075_conocophillips,true,true,942,success,,,true,@conocophillips,confirmed_candidate_official,true
76,Galaxy Digital,galaxy_digital,data/raw/fortune_x_2025_ranked/076_galaxy_digital,true,true,137,success,,,true,@galaxydigital,confirmed_candidate_official,true
77,AbbVie,abbvie,data/raw/fortune_x_2025_ranked/077_abbvie,true,true,839,success,,,true,@abbvie,confirmed_candidate_official,true
78,Prudential Financial,prudential_financial,data/raw/fortune_x_2025_ranked/078_prudential_financial,true,true,874,success,,,true,@Prudential,candidate_rejected_alternate_found,true
79,TJX,tjx,data/raw/fortune_x_2025_ranked/079_tjx,true,true,909,success,,,true,@tjmaxx,candidate_rejected_alternate_found,true
80,Performance Food Group,performance_food_group,data/raw/fortune_x_2025_ranked/080_performance_food_group,true,true,3,success,,,true,@PFGCareers,candidate_rejected_alternate_found,true
81,United Airlines Holdings,united_airlines_holdings,data/raw/fortune_x_2025_ranked/081_united_airlines_holdings,true,true,292,success,,,true,@united,candidate_rejected_alternate_found,true
82,Oracle,oracle,data/raw/fortune_x_2025_ranked/082_oracle,true,true,909,success,,,true,@oracle,confirmed_candidate_official,true
83,Cisco Systems,cisco_systems,data/raw/fortune_x_2025_ranked/083_cisco_systems,true,true,1007,success,,,true,@Cisco,candidate_rejected_alternate_found,true
84,HP,hp,data/raw/fortune_x_2025_ranked/084_hp,true,true,405,success,,,true,@hp,confirmed_candidate_official,true
85,Charter Communications,charter_communications,data/raw/fortune_x_2025_ranked/085_charter_communications,true,true,657,success,,,true,@CharterNewsroom,candidate_rejected_alternate_found,true
86,American Airlines Group,american_airlines_group,data/raw/fortune_x_2025_ranked/086_american_airlines_group,true,true,188,success,,,true,@AmericanAir,candidate_rejected_alternate_found,true
87,Tyson Foods,tyson_foods,data/raw/fortune_x_2025_ranked/087_tyson_foods,true,true,1081,success,,,true,@tysonfoods,confirmed_candidate_official,true
88,Intel,intel,data/raw/fortune_x_2025_ranked/088_intel,true,true,288,success,,,true,@intel,confirmed_candidate_official,true
89,Enterprise Products Partners,enterprise_products_partners,data/raw/fortune_x_2025_ranked/089_enterprise_products_partners,true,true,761,success,,,true,@EProd_Careers,candidate_rejected_alternate_found,true
90,Ingram Micro Holding,ingram_micro_holding,data/raw/fortune_x_2025_ranked/090_ingram_micro_holding,true,true,931,success,,,true,@IngramMicroInc,candidate_rejected_alternate_found,true
91,General Dynamics,general_dynamics,data/raw/fortune_x_2025_ranked/091_general_dynamics,true,true,1493,success,,,true,@generaldynamics,confirmed_candidate_official,true
92,Uber Technologies,uber_technologies,data/raw/fortune_x_2025_ranked/092_uber_technologies,true,true,954,success,,,true,@Uber,candidate_rejected_alternate_found,true
93,USAA,usaa,data/raw/fortune_x_2025_ranked/093_usaa,true,true,899,success,,,true,@usaa,confirmed_candidate_official,true
94,TIAA,tiaa,data/raw/fortune_x_2025_ranked/094_tiaa,true,true,217,success,,,true,@tiaa,confirmed_candidate_official,true
95,Liberty Mutual Insurance Group,liberty_mutual_insurance_group,data/raw/fortune_x_2025_ranked/095_liberty_mutual_insurance_group,true,true,1018,success,,,true,@LibertyMutual,candidate_rejected_alternate_found,true
96,Travelers,travelers,data/raw/fortune_x_2025_ranked/096_travelers,true,true,835,success,,,true,@travelers,confirmed_candidate_official,true
97,Bristol-Myers Squibb,bristol_myers_squibb,data/raw/fortune_x_2025_ranked/097_bristol_myers_squibb,true,true,930,success,,,true,@bmsnews,candidate_rejected_alternate_found,true
98,Coca-Cola,coca_cola,data/raw/fortune_x_2025_ranked/098_coca_cola,true,true,158,success,,,true,@cocacola,confirmed_candidate_official,true
99,Nike,nike,data/raw/fortune_x_2025_ranked/099_nike,true,true,192,success,,,true,@nike,confirmed_candidate_official,true
100,Massachusetts Mutual Life,massachusetts_mutual_life,data/raw/fortune_x_2025_ranked/100_massachusetts_mutual_life,true,true,859,success,,,true,@massmutual,candidate_rejected_alternate_found,true
